timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV
946691353,20,3160,2927,1548,False,0.0,233,1612
946694957,20,2969,2740,1068,False,1.001111111111111,229,1901
946698562,20,2969,2746,1369,False,2.0025,223,1600
946702166,20,2962,2748,1134,False,3.0036111111111112,214,1828
946705771,20,2961,2736,1365,False,4.005,225,1596
946709375,20,2955,2735,1263,False,5.006111111111111,220,1692
946712980,20,2952,2725,1266,False,6.0075,227,1686
946716585,20,2954,2727,1427,False,7.0088888888888885,227,1527
946720189,20,2950,2727,1366,False,8.01,223,1584
946723794,20,2953,2723,1401,False,9.011388888888888,230,1552
946727398,20,2950,2715,1346,False,10.0125,235,1604
946731003,20,2940,2719,1437,False,11.01388888888889,221,1503
946734607,20,2938,2717,1365,False,12.015,221,1573
946738212,20,2943,2719,1396,False,13.016388888888889,224,1547
946741817,20,2941,2715,1370,False,14.017777777777777,226,1571
946745421,20,2942,2715,1468,False,15.018888888888888,227,1474
946749026,20,2939,2719,1402,False,16.02027777777778,220,1537
946752630,20,2937,2717,1414,False,17.02138888888889,220,1523
946756235,20,2935,2715,1374,False,18.022777777777776,220,1561
946759839,20,2937,2710,1457,False,19.023888888888887,227,1480
946763444,20,2934,2711,1392,False,20.025277777777777,223,1542
946767048,20,2926,2713,1454,False,21.02638888888889,213,1472
946770653,20,2930,2705,1437,False,22.02777777777778,225,1493
946774257,20,2929,2710,1458,False,23.02888888888889,219,1471
946777862,20,2935,2705,1438,False,24.030277777777776,230,1497
946781467,20,2915,2698,1423,False,25.031666666666666,217,1492
946785071,20,2920,2696,1446,False,26.032777777777778,224,1474
946788676,20,2910,2694,1478,False,27.034166666666668,216,1432
946792280,20,2895,2684,1292,False,28.03527777777778,211,1603
946795885,20,2894,2681,1400,False,29.036666666666665,213,1494
946799489,20,2893,2672,1343,False,30.037777777777777,221,1550
946803094,20,2883,2663,1337,False,31.039166666666667,220,1546
946806698,20,2882,2650,1333,False,32.040277777777774,232,1549
946810303,20,2865,2633,1396,False,33.041666666666664,232,1469
946813907,20,2851,2620,1152,False,34.04277777777778,231,1699
946817512,20,2839,2603,1233,False,35.04416666666667,236,1606
946821117,20,2826,2582,1161,False,36.04555555555555,244,1665
946824721,20,2810,2551,1021,False,37.04666666666667,259,1789
946828326,20,2784,2539,1057,False,38.04805555555556,245,1727
946831931,20,2764,2515,1038,False,39.04944444444445,249,1726
946835536,20,2761,2496,1027,False,40.05083333333334,265,1734
946839141,20,2762,2502,1017,False,41.05222222222222,260,1745
946842746,20,2778,2514,1030,False,42.05361111111111,264,1748
946846352,20,2782,2521,1009,False,43.055277777777775,261,1773
946849957,20,2794,2518,1052,False,44.056666666666665,276,1742
946853562,20,2742,2484,1018,False,45.058055555555555,258,1724
946857167,20,2761,2489,1014,False,46.059444444444445,272,1747
946860772,20,2769,2491,1005,False,47.060833333333335,278,1764
946864377,20,2775,2492,1015,False,48.062222222222225,283,1760
