timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685856,-16,3214,1073,1107,0,0.0,2141,2107,False,False,False,False,False
946687661,-18,2898,1077,1077,0,0.5013888888888889,1821,1821,False,False,False,False,False
946689465,-18,2847,1071,1053,0,1.0025,1776,1794,False,False,False,False,False
946691270,-18,2823,1070,1060,0,1.5038888888888888,1753,1763,False,False,False,False,False
946693075,-18,2824,1067,1048,0,2.0052777777777777,1757,1776,False,False,False,False,False
946694880,-18,2820,1060,1059,0,2.506666666666667,1760,1761,False,False,False,False,False
946696684,-18,2820,1068,1048,0,3.0077777777777777,1752,1772,False,False,False,False,False
946698489,-18,2819,1065,1052,0,3.5091666666666668,1754,1767,False,False,False,False,False
946700294,-18,2813,1063,1045,0,4.010555555555555,1750,1768,False,False,False,False,False
946702098,-18,2810,1060,1050,0,4.511666666666667,1750,1760,False,False,False,False,False
946703903,-18,2811,1060,1036,0,5.013055555555556,1751,1775,False,False,False,False,False
946705708,-18,2810,1056,1046,0,5.514444444444444,1754,1764,False,False,False,False,False
946707513,-18,2805,1058,1035,0,6.015833333333333,1747,1770,False,False,False,False,False
946709317,-18,2812,1054,1042,0,6.516944444444444,1758,1770,False,False,False,False,False
946711122,-18,2803,1057,1035,0,7.0183333333333335,1746,1768,False,False,False,False,False
946712927,-18,2799,1051,1040,0,7.519722222222223,1748,1759,False,False,False,False,False
946714732,-18,2799,1057,1033,0,8.02111111111111,1742,1766,False,False,False,False,False
946716536,-18,2802,1059,1039,0,8.522222222222222,1743,1763,False,False,False,False,False
946718341,-18,2799,1065,1031,0,9.02361111111111,1734,1768,False,False,False,False,False
946720146,-18,2798,1056,1041,0,9.525,1742,1757,False,False,False,False,False
946721951,-18,2796,1052,1032,0,10.026388888888889,1744,1764,False,False,False,False,False
946723755,-18,2796,1058,1037,0,10.5275,1738,1759,False,False,False,False,False
946725560,-18,2796,1056,1034,0,11.028888888888888,1740,1762,False,False,False,False,False
946727365,-18,2791,1052,1038,0,11.530277777777778,1739,1753,False,False,False,False,False
946729170,-18,2797,1063,1031,0,12.031666666666666,1734,1766,False,False,False,False,False
946730974,-18,2795,1057,1042,0,12.532777777777778,1738,1753,False,False,False,False,False
946732779,-18,2793,1050,1033,0,13.034166666666666,1743,1760,False,False,False,False,False
946734584,-18,2795,1054,1039,0,13.535555555555556,1741,1756,False,False,False,False,False
946736389,-18,2791,1047,1033,0,14.036944444444444,1744,1758,False,False,False,False,False
946738193,-18,2788,1028,1039,0,14.538055555555555,1760,1749,False,False,False,False,False
946739998,-18,2791,1047,1031,0,15.039444444444445,1744,1760,False,False,False,False,False
946741803,-18,2792,1056,1040,4,15.540833333333333,1736,1752,False,False,True,False,False
946743608,-18,2794,1059,1029,0,16.04222222222222,1735,1765,False,False,False,False,False
946745412,-18,2783,1056,1038,0,16.543333333333333,1727,1745,False,False,False,False,False
946747217,-18,2791,1045,1028,0,17.044722222222223,1746,1763,False,False,False,False,False
946749022,-18,2779,1058,1038,4,17.54611111111111,1721,1741,False,False,True,False,False
946750827,-18,2792,1067,1030,4,18.0475,1725,1762,False,False,True,False,False
946752631,-18,2783,1051,1037,0,18.54861111111111,1732,1746,False,False,False,False,False
946754436,-18,2791,1059,1027,4,19.05,1732,1764,False,False,True,False,False
946756241,-18,2784,1047,1033,0,19.551388888888887,1737,1751,False,False,False,False,False
946758046,-18,2785,1057,1025,0,20.052777777777777,1728,1760,False,False,False,False,False
946759850,-18,2779,1056,1036,0,20.55388888888889,1723,1743,False,False,False,False,False
