timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685813,-7,3207,2210,1222,0,51,0.0,997,1985,3,3,False,False,False,False,False
946687617,-8,2861,1994,1157,0,51,0.5011111111111111,867,1704,3,3,False,False,False,False,False
946689422,-8,2822,1930,1125,0,51,1.0025,892,1697,3,3,False,False,False,False,False
946691226,-8,2814,1928,1135,0,51,1.503611111111111,886,1679,3,3,False,False,False,False,False
946693031,-8,2805,1945,1126,0,51,2.005,860,1679,3,3,False,False,False,False,False
946694836,-8,2808,1964,1130,0,51,2.506388888888889,844,1678,3,3,False,False,False,False,False
946696641,-8,2803,1974,1125,0,51,3.0077777777777777,829,1678,3,3,False,False,False,False,False
946698445,-8,2802,1975,1129,0,51,3.508888888888889,827,1673,3,3,False,False,False,False,False
946700250,-8,2798,1992,1123,0,51,4.010277777777778,806,1675,3,3,False,False,False,False,False
946702055,-8,2794,1992,1130,0,51,4.511666666666667,802,1664,3,3,False,False,False,False,False
946703859,-8,2802,1998,1123,0,51,5.012777777777778,804,1679,3,3,False,False,False,False,False
946705664,-8,2793,1996,1127,0,51,5.514166666666667,797,1666,3,3,False,False,False,False,False
946707469,-8,2791,2007,1119,0,51,6.015555555555555,784,1672,3,3,False,False,False,False,False
946709274,-8,2792,2001,1132,0,51,6.516944444444444,791,1660,3,3,False,False,False,False,False
946711078,-8,2785,2009,1123,0,51,7.018055555555556,776,1662,3,3,False,False,False,False,False
946712883,-8,2787,2009,1141,0,51,7.519444444444445,778,1646,3,3,False,False,False,False,False
946714688,-8,2788,2014,1123,0,51,8.020833333333334,774,1665,3,3,False,False,False,False,False
946716492,-8,2787,2011,1138,0,51,8.521944444444445,776,1649,3,3,False,False,False,False,False
946718297,-8,2793,2015,1125,0,51,9.023333333333333,778,1668,3,3,False,False,False,False,False
946720102,-8,2780,2015,1141,0,51,9.524722222222222,765,1639,3,3,False,False,False,False,False
946721906,-8,2788,2016,1123,0,51,10.025833333333333,772,1665,3,3,False,False,False,False,False
946723711,-8,2781,2016,1142,0,51,10.527222222222223,765,1639,3,3,False,False,False,False,False
946725516,-8,2780,2010,1125,0,51,11.028611111111111,770,1655,3,3,False,False,False,False,False
946727321,-8,2778,1999,1135,0,51,11.53,779,1643,3,3,False,False,False,False,False
946729125,-8,2783,1995,1117,0,51,12.03111111111111,788,1666,3,3,False,False,False,False,False
946730930,-8,2781,1993,1132,0,51,12.5325,788,1649,3,3,False,False,False,False,False
946732735,-8,2777,1992,1122,0,51,13.033888888888889,785,1655,3,3,False,False,False,False,False
946734539,-8,2778,1988,1129,0,51,13.535,790,1649,3,3,False,False,False,False,False
946736344,-8,2782,1984,1111,0,51,14.036388888888888,798,1671,3,3,False,False,False,False,False
946738149,-8,2771,1977,1111,0,51,14.537777777777778,794,1660,3,3,False,False,False,False,False
