timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV
946687254,21,3164,3048,2299,False,0.0,116,865
946690857,20,2965,2847,2159,False,1.0008333333333332,118,806
946694461,20,2956,2837,2218,False,2.0019444444444443,119,738
946698065,20,2957,2837,2085,False,3.0030555555555556,120,872
946701668,20,2952,2834,2096,False,4.003888888888889,118,856
946705272,20,2950,2837,2059,False,5.005,113,891
946708876,20,2946,2834,2226,False,6.006111111111111,112,720
946712479,20,2947,2826,2098,False,7.006944444444445,121,849
946716083,20,2942,2826,2228,False,8.008055555555556,116,714
946719687,20,2940,2822,2208,False,9.009166666666667,118,732
946723290,20,2942,2829,2111,False,10.01,113,831
946726894,20,2943,2826,2046,False,11.011111111111111,117,897
946730497,20,2932,2821,2180,False,12.011944444444444,111,752
946734101,20,2939,2824,2113,False,13.013055555555555,115,826
946737705,20,2929,2818,2095,False,14.014166666666666,111,834
946741309,20,2928,2816,2096,False,15.015277777777778,112,832
946744912,20,2928,2818,2115,False,16.016111111111112,110,813
946748516,20,2921,2819,1976,False,17.017222222222223,102,945
946752120,20,2924,2819,2096,False,18.018333333333334,105,828
946755723,20,2924,2813,2193,False,19.019166666666667,111,731
946759327,20,2924,2816,2041,False,20.02027777777778,108,883
946762931,20,2921,2813,2081,False,21.02138888888889,108,840
946766534,20,2921,2814,2099,False,22.022222222222222,107,822
946770138,20,2919,2813,2158,False,23.023333333333333,106,761
946773742,20,2925,2814,2093,False,24.024444444444445,111,832
946777345,20,2917,2810,2076,False,25.025277777777777,107,841
946780949,20,2918,2805,2159,False,26.02638888888889,113,759
946784553,20,2913,2800,2157,False,27.0275,113,756
946788156,20,2912,2800,2023,False,28.028333333333332,112,889
946791760,20,2910,2796,2124,False,29.029444444444444,114,786
946795364,20,2903,2795,2138,False,30.030555555555555,108,765
946798967,20,2895,2783,2143,False,31.031388888888888,112,752
946802571,20,2891,2780,2094,False,32.0325,111,797
946806174,20,2885,2782,1994,False,33.03333333333333,103,891
946809778,20,2880,2767,2092,False,34.034444444444446,113,788
946813382,20,2871,2759,2123,False,35.035555555555554,112,748
946816985,20,2856,2749,1782,False,36.03638888888889,107,1074
946820589,20,2856,2735,1951,False,37.0375,121,905
946824193,20,2833,2722,1699,False,38.03861111111111,111,1134
946827797,20,2821,2706,1950,False,39.039722222222224,115,871
946831400,20,2814,2697,1622,False,40.04055555555556,117,1192
946835004,20,2799,2675,1737,False,41.041666666666664,124,1062
946838608,20,2780,2659,1478,False,42.04277777777778,121,1302
946842212,20,2753,2635,1483,False,43.04388888888889,118,1270
946845816,21,2739,2615,1369,False,44.045,124,1370
946849421,20,2722,2589,1479,False,45.04638888888889,133,1243
946853025,20,2694,2551,1357,False,46.0475,143,1337
946856629,20,2653,2495,1191,False,47.048611111111114,158,1462
946860234,20,2653,2496,1110,False,48.05,157,1543
946863838,20,2664,2500,1158,False,49.05111111111111,164,1506
946867443,20,2664,2495,1066,False,50.0525,169,1598
946871048,20,2668,2500,1106,False,51.05388888888889,168,1562
946874652,20,2671,2501,1029,False,52.055,170,1642
946878257,20,2682,2494,1024,False,53.05638888888889,188,1658
946881862,20,2654,2475,991,False,54.05777777777778,179,1663
946885467,20,2667,2476,1000,False,55.05916666666667,191,1667
946889072,20,2668,2487,994,False,56.06055555555555,181,1674
946892677,20,2679,2488,995,False,57.06194444444444,191,1684
946896282,20,2680,2493,987,False,58.06333333333333,187,1693
946899887,20,2684,2486,990,False,59.06472222222222,198,1694
946903492,20,2690,2490,983,False,60.06611111111111,200,1707
946907097,20,2690,2483,978,False,61.0675,207,1712
946910702,20,2687,2483,969,False,62.068888888888885,204,1718
946914307,20,2688,2474,972,False,63.070277777777775,214,1716
946917912,20,2689,2474,950,False,64.07166666666667,215,1739
