timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound
946687342,20,2912,2706,1643,0,0.0,206,1269,False,False,False
946690946,20,2874,2706,1974,0,1.001111111111111,168,900,False,False,False
946694549,20,2872,2693,1526,0,2.0019444444444443,179,1346,False,False,False
946698153,20,2883,2695,1978,0,3.0030555555555556,188,905,False,False,False
946701757,20,2886,2703,1599,0,4.004166666666666,183,1287,False,False,False
946705361,20,2888,2713,2000,0,5.005277777777778,175,888,False,False,False
946708965,20,2886,2704,1528,0,6.006388888888889,182,1358,False,False,False
946712569,20,2886,2702,1938,0,7.0075,184,948,False,False,False
946716172,20,2886,2702,1610,0,8.008333333333333,184,1276,False,False,False
946719776,20,2890,2695,1900,0,9.009444444444444,195,990,False,False,False
946723380,20,2894,2702,1546,0,10.010555555555555,192,1348,False,False,False
946726984,20,2879,2695,1964,0,11.011666666666667,184,915,False,False,False
946730588,20,2883,2691,1568,0,12.012777777777778,192,1315,False,False,False
946734192,20,2878,2689,1761,0,13.01388888888889,189,1117,False,False,False
946737796,20,2870,2676,1586,0,14.015,194,1284,False,False,False
946741400,20,2858,2672,1953,0,15.016111111111112,186,905,False,False,False
946745003,20,2848,2660,1402,0,16.016944444444444,188,1446,False,False,False
946748607,20,2826,2643,1533,0,17.018055555555556,183,1293,False,False,False
946752211,20,2816,2626,1362,0,18.019166666666667,190,1454,False,False,False
946755816,20,2802,2601,1391,0,19.020555555555557,201,1411,False,False,False
946759420,20,2781,2572,1319,0,20.02166666666667,209,1462,False,False,False
946763024,20,2741,2522,1270,0,21.022777777777776,219,1471,False,False,False
946766629,20,2708,2477,1128,0,22.024166666666666,231,1580,False,False,False
946770233,20,2658,2421,1064,0,23.025277777777777,237,1594,False,False,False
946773838,20,2595,2299,945,0,24.026666666666667,296,1650,False,False,False
