timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound
946686542,22,3200,3009,2083,1,0.0,191,1117,True,False,False
946688346,20,2976,2663,1464,0,0.5011111111111111,313,1512,False,False,False
946690150,20,2927,2517,1173,0,1.0022222222222221,410,1754,False,False,False
946691954,20,2921,2586,1347,0,1.5033333333333334,335,1574,False,False,False
946693758,20,2921,2639,1229,0,2.0044444444444443,282,1692,False,False,False
946695562,20,2908,2614,1459,0,2.5055555555555555,294,1449,False,False,False
946697366,20,2922,2576,1278,0,3.006666666666667,346,1644,False,False,False
946699978,20,2897,2695,1577,3,3.732222222222222,202,1320,True,True,False
946701781,20,2921,2702,1191,0,4.233055555555556,219,1730,False,False,False
946703586,20,2911,2684,1509,0,4.734444444444445,227,1402,False,False,False
946705389,20,2917,2645,1107,0,5.235277777777778,272,1810,False,False,False
946810536,20,2969,2747,1520,3,34.44277777777778,222,1449,True,True,False
946812339,20,2914,2680,1467,0,34.94361111111111,234,1447,False,False,False
946813576,20,2907,2620,962,3,35.28722222222222,287,1945,True,True,False
946814886,20,2923,2713,1363,1,35.65111111111111,210,1560,True,False,False
