timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,boostOverrideEnabled,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946686074,25,3044,2941,2903,0,0,0.0,103,141,False,False,False,False,False
946687877,25,2999,2901,2880,0,0,0.5008333333333334,98,119,False,False,False,False,False
946689681,24,2971,2867,2835,0,0,1.0019444444444445,104,136,False,False,False,False,False
946691484,24,2957,2854,2830,0,0,1.5027777777777778,103,127,False,False,False,False,False
946693287,24,2946,2839,2807,0,0,2.0036111111111112,107,139,False,False,False,False,False
946695091,25,2933,2837,2809,0,0,2.504722222222222,96,124,False,False,False,False,False
946696894,24,2927,2825,2790,0,0,3.0055555555555555,102,137,False,False,False,False,False
946698697,24,2926,2819,2795,0,0,3.506388888888889,107,131,False,False,False,False,False
946700501,24,2921,2819,2776,0,0,4.0075,102,145,False,False,False,False,False
946702304,24,2913,2812,2785,0,0,4.508333333333334,101,128,False,False,False,False,False
946704108,24,2907,2808,2770,0,0,5.009444444444444,99,137,False,False,False,False,False
946705911,24,2909,2803,2782,0,0,5.510277777777778,106,127,False,False,False,False,False
946707714,24,2906,2796,2762,0,0,6.011111111111111,110,144,False,False,False,False,False
946709518,24,2906,2796,2772,0,0,6.512222222222222,110,134,False,False,False,False,False
946711321,24,2897,2793,2759,0,0,7.013055555555556,104,138,False,False,False,False,False
946713125,24,2889,2792,2768,0,0,7.514166666666667,97,121,False,False,False,False,False
946714928,24,2891,2791,2753,0,0,8.015,100,138,False,False,False,False,False
946716731,24,2893,2789,2765,0,0,8.515833333333333,104,128,False,False,False,False,False
946718535,24,2890,2788,2752,0,0,9.016944444444444,102,138,False,False,False,False,False
946720338,24,2889,2779,2763,0,0,9.517777777777777,110,126,False,False,False,False,False
946722141,24,2886,2780,2743,0,0,10.018611111111111,106,143,False,False,False,False,False
946723945,24,2888,2782,2751,0,0,10.519722222222223,106,137,False,False,False,False,False
946725748,24,2883,2773,2739,0,0,11.020555555555555,110,144,False,False,False,False,False
946727552,24,2881,2773,2749,0,0,11.521666666666667,108,132,False,False,False,False,False
946729355,24,2879,2771,2735,0,0,12.0225,108,144,False,False,False,False,False
946731158,24,2879,2766,2743,0,0,12.523333333333333,113,136,False,False,False,False,False
946732962,24,2879,2769,2730,0,0,13.024444444444445,110,149,False,False,False,False,False
946734765,24,2879,2766,2738,0,0,13.525277777777777,113,141,False,False,False,False,False
946736568,24,2870,2758,2721,0,0,14.026111111111112,112,149,False,False,False,False,False
946738372,24,2866,2761,2735,0,0,14.527222222222223,105,131,False,False,False,False,False
946740175,24,2861,2756,2716,0,0,15.028055555555556,105,145,False,False,False,False,False
946741978,24,2862,2749,2728,0,0,15.528888888888888,113,134,False,False,False,False,False
