Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946688001,0,3202,3057,0.0,145
946691602,0,3011,2851,1.0002777777777778,160
946695203,0,2978,2821,2.0005555555555556,157
946698804,0,2976,2813,3.0008333333333335,163
946702405,0,2965,2809,4.001111111111111,156
946706006,0,2957,2814,5.001388888888889,143
946709607,0,2965,2811,6.001666666666667,154
946713208,0,2965,2807,7.001944444444445,158
946716809,0,2963,2805,8.002222222222223,158
946720410,0,2966,2808,9.0025,158
946724011,0,2961,2805,10.002777777777778,156
946727612,0,2951,2800,11.003055555555555,151
946731213,0,2957,2808,12.003333333333334,149
946734814,0,2963,2806,13.00361111111111,157
946738415,0,2958,2800,14.00388888888889,158
946742015,0,2963,2803,15.00388888888889,160
946745616,0,2956,2803,16.004166666666666,153
946749217,0,2959,2800,17.004444444444445,159
946752818,0,2953,2800,18.004722222222224,153
946756419,0,2958,2805,19.005,153
946760020,0,2958,2804,20.005277777777778,154
946763621,0,2955,2803,21.005555555555556,152
946767222,0,2955,2800,22.00583333333333,155
946770823,0,2952,2798,23.00611111111111,154
946774424,0,2956,2802,24.00638888888889,154
946778025,0,2957,2803,25.006666666666668,154
946781626,0,2951,2803,26.006944444444443,148
946785227,0,2953,2800,27.00722222222222,153
946788828,0,2953,2767,28.0075,186
946792429,0,2957,2773,29.00777777777778,184
946796030,0,2959,2763,30.008055555555554,196
946799630,0,2953,2766,31.008055555555554,187
946803231,0,2951,2764,32.00833333333333,187
946806832,0,2954,2766,33.00861111111111,188
946810433,0,2954,2765,34.00888888888889,189
946814034,0,2952,2763,35.009166666666665,189
946817635,0,2954,2766,36.00944444444445,188
946821236,0,2943,2765,37.00972222222222,178
946824837,0,2955,2762,38.01,193
946828438,0,2953,2762,39.01027777777778,191
946832039,0,2957,2760,40.010555555555555,197
946835640,0,2955,2762,41.01083333333333,193
946839241,0,2952,2761,42.01111111111111,191
946842842,0,2954,2763,43.01138888888889,191
946846443,0,2955,2764,44.01166666666666,191
946850044,0,2957,2758,45.011944444444445,199
946853645,0,2951,2762,46.01222222222222,189
946857246,0,2951,2764,47.0125,187
946860846,0,2956,2761,48.0125,195
946864447,0,2947,2762,49.01277777777778,185
946868048,0,2954,2758,50.01305555555555,196
946871649,0,2951,2753,51.013333333333335,198
946875250,0,2947,2750,52.01361111111111,197
946878851,0,2948,2752,53.013888888888886,196
946882452,0,2948,2753,54.01416666666667,195
946886053,0,2948,2750,55.01444444444444,198
946889654,0,2950,2749,56.014722222222225,201
946893255,0,2948,2742,57.015,206
946896856,0,2948,2744,58.015277777777776,204
946900457,0,2948,2736,59.01555555555556,212
946904058,0,2937,2740,60.01583333333333,197
946907659,0,2940,2734,61.01611111111111,206
946911260,0,2938,2737,62.01638888888889,201
946914861,0,2939,2732,63.016666666666666,207
946918462,0,2928,2727,64.01694444444445,201
946922062,0,2929,2720,65.01694444444445,209
946925663,0,2924,2721,66.01722222222222,203
946929264,0,2925,2702,67.0175,223
