Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946687386,0,3196,3014,0.0,182
946690987,0,2913,2745,1.0002777777777778,168
946694588,0,2893,2705,2.0005555555555556,188
946698189,0,2898,2740,3.0008333333333335,158
946701789,0,2896,2721,4.0008333333333335,175
946705390,0,2896,2745,5.001111111111111,151
946708991,0,2903,2727,6.001388888888889,176
946712592,0,2891,2730,7.001666666666667,161
946716193,0,2895,2737,8.001944444444444,158
946719793,0,2885,2722,9.001944444444444,163
946723394,0,2884,2725,10.002222222222223,159
946726995,0,2895,2736,11.0025,159
946730596,0,2880,2715,12.002777777777778,165
946734197,0,2890,2740,13.003055555555555,150
946737797,0,2876,2716,14.003055555555555,160
946741398,0,2878,2732,15.003333333333334,146
946744999,0,2883,2715,16.003611111111113,168
946748600,0,2878,2715,17.003888888888888,163
946752200,0,2872,2722,18.003888888888888,150
946755801,0,2874,2696,19.004166666666666,178
946759402,0,2871,2730,20.004444444444445,141
946763003,0,2868,2705,21.004722222222224,163
946766604,0,2872,2725,22.005,147
946770204,0,2860,2703,23.005,157
946773805,0,2869,2710,24.005277777777778,159
946777406,0,2862,2716,25.005555555555556,146
946781007,0,2855,2693,26.00583333333333,162
946784608,0,2852,2693,27.00611111111111,159
946788208,0,2862,2719,28.00611111111111,143
946791809,0,2857,2702,29.00638888888889,155
946795410,0,2862,2693,30.006666666666668,169
946799011,0,2841,2700,31.006944444444443,141
946802612,0,2849,2675,32.007222222222225,174
946806212,0,2840,2701,33.007222222222225,139
946809813,0,2833,2675,34.0075,158
946813414,0,2836,2688,35.007777777777775,148
946817015,0,2818,2661,36.00805555555556,157
946820616,0,2818,2665,37.00833333333333,153
946824216,0,2802,2642,38.00833333333333,160
946827817,0,2795,2644,39.00861111111111,151
946831418,0,2775,2625,40.00888888888889,150
946835019,0,2766,2604,41.009166666666665,162
946838620,0,2746,2601,42.00944444444445,145
946842220,0,2741,2552,43.00944444444445,189
946845821,0,2717,2564,44.00972222222222,153
946849422,0,2698,2506,45.01,192
946853023,0,2678,2507,46.01027777777778,171
946856624,0,2644,2449,47.010555555555555,195
946860224,0,2609,2422,48.010555555555555,187
946863825,0,2561,2339,49.01083333333333,222
946867426,0,2551,2343,50.01111111111111,208
946871027,0,2530,2268,51.01138888888889,262
946874628,0,2525,2288,52.01166666666666,237
946878228,0,2522,2243,53.01166666666666,279
946881829,0,2532,2230,54.011944444444445,302
946885430,0,2531,2229,55.01222222222222,302
946889031,0,2535,2190,56.0125,345
946892631,0,2545,2230,57.0125,315
946896232,0,2544,2163,58.01277777777778,381
946899833,0,2548,2204,59.01305555555555,344
946903434,0,2550,2114,60.013333333333335,436
