Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946686960,0,3212,3168,0.0,44
946690561,0,3033,3006,1.0002777777777778,27
946694162,0,3034,2990,2.0005555555555556,44
946697763,0,3030,2985,3.0008333333333335,45
946701364,0,3025,2981,4.001111111111111,44
946704964,0,3020,2981,5.001111111111111,39
946708565,0,3013,2981,6.001388888888889,32
946712166,0,3016,2972,7.001666666666667,44
946715767,0,3015,2976,8.001944444444444,39
946719368,0,3009,2972,9.002222222222223,37
946722969,0,3009,2973,10.0025,36
946726570,0,3009,2972,11.002777777777778,37
946730171,0,3017,2973,12.003055555555555,44
946733772,0,3010,2970,13.003333333333334,40
946737373,0,3013,2970,14.00361111111111,43
946740974,0,3011,2971,15.00388888888889,40
946744575,0,3011,2975,16.004166666666666,36
946748176,0,3006,2969,17.004444444444445,37
946751777,0,3008,2972,18.004722222222224,36
946755378,0,3007,2968,19.005,39
946758979,0,3014,2971,20.005277777777778,43
946762580,0,3019,2970,21.005555555555556,49
946766180,0,3007,2968,22.005555555555556,39
946769781,0,3012,2970,23.00583333333333,42
946773382,0,3007,2965,24.00611111111111,42
946776983,0,3008,2964,25.00638888888889,44
946780584,0,3006,2965,26.006666666666668,41
946784185,0,2999,2955,27.006944444444443,44
946787786,0,2998,2957,28.00722222222222,41
946791387,0,2999,2955,29.0075,44
946794988,0,3002,2955,30.00777777777778,47
946798589,0,2996,2953,31.008055555555554,43
946802190,0,2992,2949,32.00833333333333,43
946805791,0,2991,2942,33.00861111111111,49
946809392,0,2972,2938,34.00888888888889,34
946812993,0,2972,2938,35.009166666666665,34
946816594,0,2977,2929,36.00944444444445,48
946820195,0,2963,2925,37.00972222222222,38
946823796,0,2955,2920,38.01,35
946827397,0,2956,2910,39.01027777777778,46
946830998,0,2947,2900,40.010555555555555,47
946834598,0,2939,2889,41.010555555555555,50
946838199,0,2921,2882,42.01083333333333,39
946841800,0,2918,2876,43.01111111111111,42
946845401,0,2914,2866,44.01138888888889,48
946849002,0,2911,2861,45.01166666666666,50
946852603,0,2895,2849,46.011944444444445,46
946856204,0,2886,2842,47.01222222222222,44
946859805,0,2884,2835,48.0125,49
946863406,0,2876,2824,49.01277777777778,52
946867007,0,2867,2817,50.01305555555555,50
946870608,0,2862,2808,51.013333333333335,54
946874209,0,2856,2798,52.01361111111111,58
946877810,0,2850,2788,53.013888888888886,62
946881411,0,2837,2783,54.01416666666667,54
946885012,0,2831,2771,55.01444444444444,60
946888613,0,2822,2764,56.014722222222225,58
946892214,0,2820,2756,57.015,64
946895815,0,2800,2748,58.015277777777776,52
946899416,0,2793,2723,59.01555555555556,70
946903017,0,2782,2706,60.01583333333333,76
946906617,0,2767,2688,61.01583333333333,79
946910218,0,2755,2660,62.01611111111111,95
946913819,0,2742,2285,63.01638888888889,457
946917420,0,2767,2303,64.01666666666667,464
946921021,0,2780,2306,65.01694444444445,474
946924622,0,2780,2317,66.01722222222222,463
946928223,0,2783,2312,67.0175,471
946931824,0,2783,2316,68.01777777777778,467
946935425,0,2799,2310,69.01805555555555,489
946939026,0,2802,2310,70.01833333333333,492
946942627,0,2807,2300,71.01861111111111,507
946946228,0,2800,2307,72.0188888888889,493
946949829,0,2805,2291,73.01916666666666,514
946953430,0,2805,2293,74.01944444444445,512
946957031,0,2813,2281,75.01972222222223,532
946960632,0,2809,2286,76.02,523
946964233,0,2807,2292,77.02027777777778,515
946967834,0,2810,2285,78.02055555555556,525
946971435,0,2817,2285,79.02083333333333,532
946975035,0,2813,2249,80.02083333333333,564
946978636,0,2817,2088,81.02111111111111,729
946982237,0,2807,1869,82.0213888888889,938
