Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946686811,0,3195,3155,0.0,40
946690412,0,2973,2933,1.0002777777777778,40
946694013,0,2950,2917,2.0005555555555556,33
946697614,0,2942,2919,3.0008333333333335,23
946701215,0,2948,2918,4.001111111111111,30
946704815,0,2948,2915,5.001111111111111,33
946708416,0,2950,2915,6.001388888888889,35
946712017,0,2941,2913,7.001666666666667,28
946715618,0,2943,2912,8.001944444444444,31
946719219,0,2948,2909,9.002222222222223,39
946722820,0,2938,2909,10.0025,29
946726421,0,2938,2910,11.002777777777778,28
946730022,0,2938,2907,12.003055555555555,31
946733623,0,2933,2903,13.003333333333334,30
946737224,0,2940,2904,14.00361111111111,36
946740825,0,2923,2911,15.00388888888889,12
946744426,0,2930,2900,16.004166666666666,30
946748027,0,2932,2903,17.004444444444445,29
946751628,0,2930,2899,18.004722222222224,31
946755229,0,2933,2900,19.005,33
946758830,0,2935,2897,20.005277777777778,38
946762430,0,2925,2895,21.005277777777778,30
946766031,0,2925,2895,22.005555555555556,30
946769632,0,2925,2895,23.00583333333333,30
946773233,0,2926,2896,24.00611111111111,30
946776834,0,2924,2898,25.00638888888889,26
946780435,0,2921,2891,26.006666666666668,30
946784036,0,2920,2889,27.006944444444443,31
946787637,0,2920,2891,28.00722222222222,29
946791238,0,2923,2886,29.0075,37
946794839,0,2921,2878,30.00777777777778,43
946798440,0,2917,2888,31.008055555555554,29
946802041,0,2911,2878,32.00833333333333,33
946805642,0,2911,2872,33.00861111111111,39
946809243,0,2906,2869,34.00888888888889,37
946812844,0,2900,2869,35.009166666666665,31
946816445,0,2900,2865,36.00944444444445,35
946820045,0,2896,2856,37.00944444444445,40
946823646,0,2882,2852,38.00972222222222,30
946827247,0,2878,2843,39.01,35
946830848,0,2871,2835,40.01027777777778,36
946834449,0,2860,2826,41.010555555555555,34
946838050,0,2852,2822,42.01083333333333,30
946841651,0,2850,2813,43.01111111111111,37
946845252,0,2837,2803,44.01138888888889,34
946848853,0,2832,2793,45.01166666666666,39
946852454,0,2822,2775,46.011944444444445,47
946856055,0,2807,2766,47.01222222222222,41
946859656,0,2792,2751,48.0125,41
946863257,0,2784,2740,49.01277777777778,44
946866858,0,2771,2727,50.01305555555555,44
946870459,0,2747,2712,51.013333333333335,35
946874060,0,2742,2696,52.01361111111111,46
946877660,0,2722,2674,53.01361111111111,48
946881261,0,2705,2658,54.013888888888886,47
946884862,0,2692,2637,55.01416666666667,55
946888463,0,2661,2608,56.01444444444444,53
946892064,0,2638,2568,57.014722222222225,70
946895665,0,2602,2534,58.015,68
946899266,0,2563,2475,59.015277777777776,88
946902867,0,2542,2434,60.01555555555556,108
946906468,0,2534,2425,61.01583333333333,109
946910069,0,2557,2422,62.01611111111111,135
946913670,0,2556,2405,63.01638888888889,151
946917271,0,2568,2416,64.01666666666667,152
946920872,0,2561,2389,65.01694444444445,172
946924473,0,2565,2393,66.01722222222222,172
946928074,0,2580,2338,67.0175,242
946931674,0,2586,2343,68.0175,243
946935275,0,2595,2357,69.01777777777778,238
946938876,0,2606,2362,70.01805555555555,244
946942477,0,2608,2367,71.01833333333333,241
946946078,0,2617,2373,72.01861111111111,244
946949679,0,2617,2371,73.0188888888889,246
946953280,0,2622,2139,74.01916666666666,483
