timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685918,-7,3253,2457,1182,0,51,0.0,796,2071,3,3,False,False,False,False,False
946687723,-8,2935,2172,1130,0,51,0.5013888888888889,763,1805,3,3,False,False,False,False,False
946689527,-8,2870,2122,1069,0,51,1.0025,748,1801,3,3,False,False,False,False,False
946691331,-8,2853,2099,1062,0,51,1.503611111111111,754,1791,3,3,False,False,False,False,False
946693136,-8,2837,2096,1065,0,51,2.005,741,1772,3,3,False,False,False,False,False
946694941,-8,2845,2088,1065,0,51,2.506388888888889,757,1780,3,3,False,False,False,False,False
946696746,-8,2833,2089,1068,0,51,3.0077777777777777,744,1765,3,3,False,False,False,False,False
946698550,-8,2837,2090,1075,0,51,3.508888888888889,747,1762,3,3,False,False,False,False,False
946700355,-8,2836,2087,1054,0,51,4.010277777777778,749,1782,3,3,False,False,False,False,False
946702160,-8,2836,2085,1065,0,51,4.511666666666667,751,1771,3,3,False,False,False,False,False
946703965,-8,2833,2083,1059,0,51,5.013055555555556,750,1774,3,3,False,False,False,False,False
946705769,-8,2838,2079,1061,0,51,5.514166666666667,759,1777,3,3,False,False,False,False,False
946707574,-8,2834,2079,1057,0,51,6.015555555555555,755,1777,3,3,False,False,False,False,False
946709379,-8,2829,2072,1055,0,51,6.516944444444444,757,1774,3,3,False,False,False,False,False
946711184,-8,2838,2066,1054,0,51,7.0183333333333335,772,1784,3,3,False,False,False,False,False
946712988,-8,2834,2045,1052,0,51,7.519444444444445,789,1782,3,3,False,False,False,False,False
946714793,-8,2826,2033,1048,0,51,8.020833333333334,793,1778,3,3,False,False,False,False,False
946716598,-8,2831,2008,1040,0,51,8.522222222222222,823,1791,3,3,False,False,False,False,False
946718403,-8,2826,1997,1035,0,51,9.02361111111111,829,1791,3,3,False,False,False,False,False
946720208,-8,2827,1977,1034,0,51,9.525,850,1793,3,3,False,False,False,False,False
946722012,-8,2827,1962,1031,0,51,10.026111111111112,865,1796,3,3,False,False,False,False,False
946723817,-8,2827,1941,1027,0,51,10.5275,886,1800,3,3,False,False,False,False,False
946725622,-8,2826,1934,1026,0,51,11.028888888888888,892,1800,3,3,False,False,False,False,False
946727427,-8,2823,1913,1026,0,51,11.530277777777778,910,1797,3,3,False,False,False,False,False
946729231,-8,2827,1905,1018,0,51,12.03138888888889,922,1809,3,3,False,False,False,False,False
946731036,-8,2823,1890,1019,0,51,12.532777777777778,933,1804,3,3,False,False,False,False,False
946732841,-8,2827,1880,1019,0,51,13.034166666666666,947,1808,3,3,False,False,False,False,False
946734646,-8,2823,1859,1018,0,51,13.535555555555556,964,1805,3,3,False,False,False,False,False
946736450,-8,2827,1849,1018,0,51,14.036666666666667,978,1809,3,3,False,False,False,False,False
946738255,-8,2829,1821,1016,0,51,14.538055555555555,1008,1813,3,3,False,False,False,False,False
946740060,-8,2819,1817,1012,0,51,15.039444444444445,1002,1807,3,3,False,False,False,False,False
946741865,-8,2825,1778,1014,0,51,15.540833333333333,1047,1811,3,3,False,False,False,False,False
946743669,-8,2822,1775,1010,0,51,16.041944444444443,1047,1812,3,3,False,False,False,False,False
946745474,-8,2822,1762,1014,0,51,16.543333333333333,1060,1808,3,3,False,False,False,False,False
