timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,boost,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687304,20,3227,2835,2570,0,255,0.0,392,657,False,False,False,False,False
946689108,20,2986,2578,2213,0,255,0.5011111111111111,408,773,False,False,False,False,False
946690911,20,2943,2534,1997,0,255,1.0019444444444445,409,946,False,False,False,False,False
946692714,20,2925,2521,2149,0,255,1.5027777777777778,404,776,False,False,False,False,False
946694518,20,2928,2515,1933,0,255,2.003888888888889,413,995,False,False,False,False,False
946696321,20,2927,2514,1954,0,255,2.504722222222222,413,973,False,False,False,False,False
946698124,20,2928,2517,1947,0,255,3.0055555555555555,411,981,False,False,False,False,False
946699928,20,2924,2518,2095,0,255,3.506666666666667,406,829,False,False,False,False,False
946701731,20,2921,2515,2018,0,255,4.0075,406,903,False,False,False,False,False
946703535,20,2925,2513,2053,0,255,4.508611111111111,412,872,False,False,False,False,False
946705338,20,2928,2516,2058,0,255,5.009444444444444,412,870,False,False,False,False,False
946707141,20,2925,2513,2116,0,255,5.510277777777778,412,809,False,False,False,False,False
946708945,20,2923,2518,2014,0,255,6.011388888888889,405,909,False,False,False,False,False
946710748,20,2921,2510,2075,0,255,6.512222222222222,411,846,False,False,False,False,False
946712551,20,2921,2515,2003,0,255,7.013055555555556,406,918,False,False,False,False,False
946714355,20,2925,2508,1833,0,255,7.514166666666667,417,1092,False,False,False,False,False
946716158,20,2917,2521,2074,0,255,8.015,396,843,False,False,False,False,False
946717961,20,2921,2508,2113,0,255,8.515833333333333,413,808,False,False,False,False,False
946719765,20,2922,2515,2031,0,255,9.016944444444444,407,891,False,False,False,False,False
946721568,20,2926,2514,2078,0,255,9.517777777777777,412,848,False,False,False,False,False
946723371,20,2922,2519,1937,0,255,10.018611111111111,403,985,False,False,False,False,False
946725175,20,2926,2513,2080,0,255,10.519722222222223,413,846,False,False,False,False,False
946726978,20,2925,2513,1908,0,255,11.020555555555555,412,1017,False,False,False,False,False
946728781,20,2926,2515,1991,0,255,11.52138888888889,411,935,False,False,False,False,False
946730585,20,2919,2508,2053,0,255,12.0225,411,866,False,False,False,False,False
946732388,20,2924,2515,2108,0,255,12.523333333333333,409,816,False,False,False,False,False
946734192,20,2919,2513,2125,0,255,13.024444444444445,406,794,False,False,False,False,False
946735995,20,2930,2518,2041,0,255,13.525277777777777,412,889,False,False,False,False,False
946737798,20,2921,2508,2186,0,255,14.026111111111112,413,735,False,False,False,False,False
946739602,20,2919,2518,2139,0,255,14.527222222222223,401,780,False,False,False,False,False
946741405,20,2920,2518,2009,0,255,15.028055555555556,402,911,False,False,False,False,False
946743208,20,2927,2515,2187,0,255,15.528888888888888,412,740,False,False,False,False,False
946745012,20,2929,2517,2035,0,255,16.03,412,894,False,False,False,False,False
946746815,20,2930,2518,2210,0,255,16.530833333333334,412,720,False,False,False,False,False
946748618,20,2924,2513,2011,0,255,17.031666666666666,411,913,False,False,False,False,False
946750422,20,2925,2519,2082,0,255,17.532777777777778,406,843,False,False,False,False,False
946752225,20,2923,2516,2136,0,255,18.03361111111111,407,787,False,False,False,False,False
946754028,20,2925,2513,2096,0,255,18.534444444444443,412,829,False,False,False,False,False
946755832,20,2924,2515,1991,0,255,19.035555555555554,409,933,False,False,False,False,False
946757635,20,2919,2517,2086,0,255,19.53638888888889,402,833,False,False,False,False,False
946759438,20,2933,2519,2061,0,255,20.037222222222223,414,872,False,False,False,False,False
946761242,20,2919,2509,2015,0,255,20.538333333333334,410,904,False,False,False,False,False
946763045,20,2923,2515,2031,0,255,21.039166666666667,408,892,False,False,False,False,False
946764849,20,2922,2513,2147,0,255,21.540277777777778,409,775,False,False,False,False,False
946766652,20,2927,2515,1944,0,255,22.04111111111111,412,983,False,False,False,False,False
946768455,20,2923,2513,2136,0,255,22.541944444444443,410,787,False,False,False,False,False
946770259,20,2921,2513,2108,0,255,23.043055555555554,408,813,False,False,False,False,False
946772062,20,2923,2512,2194,0,255,23.54388888888889,411,729,False,False,False,False,False
946773865,20,2926,2508,2100,0,255,24.044722222222223,418,826,False,False,False,False,False
946775669,20,2925,2508,2164,0,255,24.545833333333334,417,761,False,False,False,False,False
946777472,20,2923,2502,2081,0,255,25.046666666666667,421,842,False,False,False,False,False
946779275,20,2918,2505,2127,0,255,25.5475,413,791,False,False,False,False,False
946781079,20,2927,2505,2077,0,255,26.04861111111111,422,850,False,False,False,False,False
946782882,20,2919,2505,2105,0,255,26.549444444444443,414,814,False,False,False,False,False
946784685,20,2921,2503,2111,0,255,27.05027777777778,418,810,False,False,False,False,False
946786489,20,2912,2502,2024,0,255,27.551388888888887,410,888,False,False,False,False,False
946788292,20,2915,2502,1997,0,255,28.052222222222223,413,918,False,False,False,False,False
946790096,20,2917,2501,2072,0,255,28.553333333333335,416,845,False,False,False,False,False
946791899,20,2914,2498,2151,0,255,29.054166666666667,416,763,False,False,False,False,False
946793702,20,2908,2496,2112,0,255,29.555,412,796,False,False,False,False,False
946795506,20,2912,2492,2053,0,255,30.05611111111111,420,859,False,False,False,False,False
946797309,20,2919,2496,2109,0,255,30.556944444444444,423,810,False,False,False,False,False
946799112,20,2910,2491,2072,0,255,31.057777777777776,419,838,False,False,False,False,False
946800916,20,2914,2491,2147,0,255,31.558888888888887,423,767,False,False,False,False,False
946802719,20,2907,2487,2111,0,255,32.05972222222222,420,796,False,False,False,False,False
946804523,20,2908,2489,2080,0,255,32.560833333333335,419,828,False,False,False,False,False
946806326,20,2913,2483,2142,0,255,33.06166666666667,430,771,False,False,False,False,False
946808129,20,2904,2480,2105,0,255,33.5625,424,799,False,False,False,False,False
946809933,20,2911,2475,1954,0,255,34.06361111111111,436,957,False,False,False,False,False
946811736,20,2901,2477,2014,0,255,34.56444444444445,424,887,False,False,False,False,False
946813540,20,2905,2470,1985,0,255,35.065555555555555,435,920,False,False,False,False,False
946815343,20,2899,2465,1874,0,255,35.56638888888889,434,1025,False,False,False,False,False
946817146,20,2896,2467,1917,0,255,36.06722222222222,429,979,False,False,False,False,False
946818950,20,2897,2465,2017,0,255,36.568333333333335,432,880,False,False,False,False,False
946820753,20,2896,2465,2077,0,255,37.06916666666667,431,819,False,False,False,False,False
946822556,20,2894,2460,2048,0,255,37.57,434,846,False,False,False,False,False
946824360,20,2881,2461,1880,0,255,38.07111111111111,420,1001,False,False,False,False,False
946826163,20,2896,2452,1874,0,255,38.57194444444445,444,1022,False,False,False,False,False
946827967,20,2896,2456,1879,0,255,39.073055555555555,440,1017,False,False,False,False,False
946829770,20,2878,2448,2047,0,255,39.57388888888889,430,831,False,False,False,False,False
946831573,20,2884,2449,1831,0,255,40.07472222222222,435,1053,False,False,False,False,False
946833377,20,2884,2444,1833,0,255,40.575833333333335,440,1051,False,False,False,False,False
946835180,20,2881,2440,1883,0,255,41.07666666666667,441,998,False,False,False,False,False
946836984,20,2876,2440,2029,0,255,41.577777777777776,436,847,False,False,False,False,False
946838787,20,2876,2433,1797,0,255,42.07861111111111,443,1079,False,False,False,False,False
946840590,20,2872,2430,1934,0,255,42.57944444444445,442,938,False,False,False,False,False
946842394,20,2876,2430,1961,0,255,43.080555555555556,446,915,False,False,False,False,False
946844197,20,2867,2414,1840,0,255,43.58138888888889,453,1027,False,False,False,False,False
946846001,20,2870,2419,1677,0,255,44.0825,451,1193,False,False,False,False,False
946847804,20,2864,2412,1923,0,255,44.583333333333336,452,941,False,False,False,False,False
946849607,20,2857,2407,1716,0,255,45.08416666666667,450,1141,False,False,False,False,False
946851411,20,2857,2401,1927,0,255,45.585277777777776,456,930,False,False,False,False,False
946853214,20,2848,2391,1715,0,255,46.08611111111111,457,1133,False,False,False,False,False
946855018,20,2835,2390,1885,0,255,46.58722222222222,445,950,False,False,False,False,False
946856821,20,2849,2379,1678,0,255,47.088055555555556,470,1171,False,False,False,False,False
946858625,20,2846,2378,1871,0,255,47.589166666666664,468,975,False,False,False,False,False
946860428,20,2835,2367,1673,0,255,48.09,468,1162,False,False,False,False,False
946862232,20,2836,2359,1691,0,255,48.59111111111111,477,1145,False,False,False,False,False
946864035,20,2822,2349,1639,0,255,49.091944444444444,473,1183,False,False,False,False,False
946865839,20,2818,2339,1700,0,255,49.59305555555556,479,1118,False,False,False,False,False
946867642,20,2823,2329,1534,0,255,50.09388888888889,494,1289,False,False,False,False,False
946869446,20,2814,2318,1726,0,255,50.595,496,1088,False,False,False,False,False
946871250,20,2800,2302,1497,0,255,51.096111111111114,498,1303,False,False,False,False,False
946873054,20,2798,2299,1562,0,255,51.59722222222222,499,1236,False,False,False,False,False
946874857,20,2793,2285,1570,0,255,52.098055555555554,508,1223,False,False,False,False,False
946876661,20,2788,2273,1583,0,255,52.59916666666667,515,1205,False,False,False,False,False
946878465,20,2789,2250,1453,0,255,53.10027777777778,539,1336,False,False,False,False,False
946880269,20,2768,2246,1544,0,255,53.60138888888889,522,1224,False,False,False,False,False
946882072,20,2775,2234,1523,0,255,54.102222222222224,541,1252,False,False,False,False,False
946883876,20,2766,2227,1547,0,255,54.60333333333333,539,1219,False,False,False,False,False
946885680,20,2755,2206,1443,0,255,55.10444444444445,549,1312,False,False,False,False,False
946887484,20,2749,2199,1429,0,255,55.605555555555554,550,1320,False,False,False,False,False
946889288,20,2744,2186,1467,0,255,56.10666666666667,558,1277,False,False,False,False,False
946891092,20,2733,2169,1444,0,255,56.60777777777778,564,1289,False,False,False,False,False
946892896,20,2724,2153,1348,0,255,57.10888888888889,571,1376,False,False,False,False,False
946894700,20,2721,2131,1420,0,255,57.61,590,1301,False,False,False,False,False
