timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685773,54,3189,2923,2771,0,0.0,266,418,False,False,False,False,False
946687576,57,3044,2762,2632,0,0.5008333333333334,282,412,False,False,False,False,False
946689380,58,3019,2733,2580,0,1.0019444444444445,286,439,False,False,False,False,False
946691183,58,3002,2715,2589,0,1.5027777777777778,287,413,False,False,False,False,False
946692986,58,3009,2719,2582,0,2.0036111111111112,290,427,False,False,False,False,False
946694789,58,2998,2717,2582,0,2.5044444444444443,281,416,False,False,False,False,False
946696593,58,3001,2712,2559,0,3.0055555555555555,289,442,False,False,False,False,False
946698396,59,2992,2716,2584,0,3.506388888888889,276,408,False,False,False,False,False
946700199,58,2990,2712,2573,0,4.0072222222222225,278,417,False,False,False,False,False
946702002,59,2990,2709,2576,0,4.508055555555556,281,414,False,False,False,False,False
946703806,58,2990,2710,2566,0,5.009166666666666,280,424,False,False,False,False,False
946705609,59,2998,2708,2575,0,5.51,290,423,False,False,False,False,False
946707412,58,2987,2710,2568,0,6.010833333333333,277,419,False,False,False,False,False
946709216,59,3008,2712,2569,0,6.5119444444444445,296,439,False,False,False,False,False
946711019,58,2990,2713,2569,0,7.012777777777778,277,421,False,False,False,False,False
946712822,59,2997,2712,2574,0,7.5136111111111115,285,423,False,False,False,False,False
946714625,58,2991,2711,2566,0,8.014444444444445,280,425,False,False,False,False,False
946716429,59,2999,2717,2568,0,8.515555555555556,282,431,False,False,False,False,False
946718232,58,2993,2710,2562,0,9.016388888888889,283,431,False,False,False,False,False
946720035,59,2996,2715,2581,0,9.517222222222221,281,415,False,False,False,False,False
946721839,58,2997,2712,2564,0,10.018333333333333,285,433,False,False,False,False,False
946723642,59,2994,2715,2565,0,10.519166666666667,279,429,False,False,False,False,False
946725445,58,2997,2713,2577,0,11.02,284,420,False,False,False,False,False
946727248,59,2999,2717,2576,0,11.520833333333334,282,423,False,False,False,False,False
946729052,58,3000,2715,2567,0,12.021944444444445,285,433,False,False,False,False,False
946730855,59,2997,2709,2573,0,12.522777777777778,288,424,False,False,False,False,False
946732658,58,2999,2715,2577,0,13.02361111111111,284,422,False,False,False,False,False
946734462,59,3004,2713,2565,0,13.524722222222222,291,439,False,False,False,False,False
946736265,58,2998,2716,2574,0,14.025555555555556,282,424,False,False,False,False,False
946738068,59,2992,2713,2565,0,14.526388888888889,279,427,False,False,False,False,False
946739872,58,3000,2713,2569,0,15.0275,287,431,False,False,False,False,False
946741675,59,3006,2715,2579,0,15.528333333333334,291,427,False,False,False,False,False
946743478,58,2997,2716,2562,0,16.029166666666665,281,435,False,False,False,False,False
946745281,59,2998,2715,2559,0,16.53,283,439,False,False,False,False,False
946747085,58,2998,2710,2572,0,17.031111111111112,288,426,False,False,False,False,False
946748888,59,2998,2715,2577,0,17.531944444444445,283,421,False,False,False,False,False
946750691,58,3001,2716,2569,0,18.032777777777778,285,432,False,False,False,False,False
946752495,59,2994,2713,2561,0,18.53388888888889,281,433,False,False,False,False,False
946754298,58,2996,2713,2560,0,19.03472222222222,283,436,False,False,False,False,False
946756101,59,2990,2715,2563,0,19.535555555555554,275,427,False,False,False,False,False
946757905,58,3006,2716,2572,0,20.036666666666665,290,434,False,False,False,False,False
946759708,59,2992,2712,2582,0,20.5375,280,410,False,False,False,False,False
946761511,58,3001,2710,2571,0,21.038333333333334,291,430,False,False,False,False,False
946763314,59,2990,2715,2582,0,21.539166666666667,275,408,False,False,False,False,False
946765118,58,2998,2711,2572,0,22.040277777777778,287,426,False,False,False,False,False
946766921,59,2994,2711,2570,0,22.54111111111111,283,424,False,False,False,False,False
946768724,58,2999,2710,2574,0,23.041944444444443,289,425,False,False,False,False,False
946770528,59,2996,2711,2574,0,23.543055555555554,285,422,False,False,False,False,False
946772331,58,2994,2710,2570,0,24.04388888888889,284,424,False,False,False,False,False
946774134,59,2985,2708,2567,0,24.544722222222223,277,418,False,False,False,False,False
946775938,58,2990,2706,2561,0,25.045833333333334,284,429,False,False,False,False,False
946777741,59,2998,2706,2569,0,25.546666666666667,292,429,False,False,False,False,False
946779544,58,2998,2709,2559,0,26.0475,289,439,False,False,False,False,False
946781347,59,2988,2709,2570,0,26.548333333333332,279,418,False,False,False,False,False
946783151,58,2987,2701,2559,0,27.049444444444443,286,428,False,False,False,False,False
946784954,59,2991,2704,2563,0,27.55027777777778,287,428,False,False,False,False,False
946786757,58,2991,2702,2559,0,28.051111111111112,289,432,False,False,False,False,False
946788561,59,2981,2703,2570,0,28.552222222222223,278,411,False,False,False,False,False
946790364,58,2999,2696,2554,0,29.053055555555556,303,445,False,False,False,False,False
946792167,59,2996,2702,2565,0,29.55388888888889,294,431,False,False,False,False,False
946793971,58,2990,2697,2547,0,30.055,293,443,False,False,False,False,False
946795774,59,2986,2697,2562,0,30.555833333333332,289,424,False,False,False,False,False
946797577,58,2985,2693,2548,0,31.05666666666667,292,437,False,False,False,False,False
946799380,59,2988,2698,2552,0,31.5575,290,436,False,False,False,False,False
946801184,58,2981,2690,2536,0,32.05861111111111,291,445,False,False,False,False,False
946802987,59,2975,2693,2548,0,32.559444444444445,282,427,False,False,False,False,False
946804790,58,2982,2689,2541,0,33.06027777777778,293,441,False,False,False,False,False
946806594,59,2976,2684,2544,0,33.56138888888889,292,432,False,False,False,False,False
946808397,58,2981,2683,2542,0,34.062222222222225,298,439,False,False,False,False,False
946810200,59,2978,2687,2532,0,34.56305555555556,291,446,False,False,False,False,False
946812004,58,2980,2680,2526,0,35.064166666666665,300,454,False,False,False,False,False
946813807,59,2977,2676,2530,0,35.565,301,447,False,False,False,False,False
946815610,58,2972,2681,2528,0,36.06583333333333,291,444,False,False,False,False,False
946817414,59,2968,2678,2532,0,36.566944444444445,290,436,False,False,False,False,False
946819217,58,2968,2676,2522,0,37.06777777777778,292,446,False,False,False,False,False
946821020,59,2970,2676,2532,0,37.56861111111111,294,438,False,False,False,False,False
946822823,58,2968,2672,2515,0,38.06944444444444,296,453,False,False,False,False,False
946824627,59,2959,2672,2535,0,38.57055555555556,287,424,False,False,False,False,False
