timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685829,-6,3253,2262,1138,0,51,0.0,991,2115,3,3,False,False,False,False,False
946687633,-8,2935,1968,1086,0,51,0.5011111111111111,967,1849,3,3,False,False,False,False,False
946689438,-8,2879,1882,1086,2,51,1.0025,997,1793,3,3,False,True,False,False,False
946691240,-8,2856,1839,1069,0,51,1.5030555555555556,1017,1787,3,3,False,False,False,False,False
946693045,-8,2852,1893,1076,0,51,2.0044444444444443,959,1776,3,3,False,False,False,False,False
946694850,-8,2849,1924,1080,0,51,2.5058333333333334,925,1769,3,3,False,False,False,False,False
946696654,-8,2848,1937,1085,0,51,3.0069444444444446,911,1763,3,3,False,False,False,False,False
946698459,-8,2847,1945,1080,0,51,3.5083333333333333,902,1767,3,3,False,False,False,False,False
946700264,-8,2846,1952,1085,0,51,4.009722222222222,894,1761,3,3,False,False,False,False,False
946702069,-8,2843,1951,1084,0,51,4.511111111111111,892,1759,3,3,False,False,False,False,False
946703873,-9,2840,1953,1091,0,51,5.012222222222222,887,1749,3,3,False,False,False,False,False
946705678,-9,2847,1954,1089,0,51,5.5136111111111115,893,1758,3,3,False,False,False,False,False
946707483,-9,2839,1959,1091,0,51,6.015,880,1748,3,3,False,False,False,False,False
946709287,-9,2838,1959,1088,0,51,6.516111111111111,879,1750,3,3,False,False,False,False,False
946711092,-9,2838,1960,1089,0,51,7.0175,878,1749,3,3,False,False,False,False,False
946712897,-9,2843,1957,1090,0,51,7.518888888888889,886,1753,3,3,False,False,False,False,False
946714702,-8,2842,1952,1092,0,51,8.020277777777778,890,1750,3,3,False,False,False,False,False
946716506,-9,2836,1951,1092,0,51,8.52138888888889,885,1744,3,3,False,False,False,False,False
946718311,-8,2835,1950,1096,0,51,9.022777777777778,885,1739,3,3,False,False,False,False,False
946720116,-8,2838,1939,1091,0,51,9.524166666666666,899,1747,3,3,False,False,False,False,False
