timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685919,-8,3209,2122,1450,0,51,0.0,1087,1759,3,3,False,False,False,False,False
946687724,-8,2837,2097,1322,0,51,0.5013888888888889,740,1515,3,3,False,False,False,False,False
946689528,-8,2793,1966,1210,0,51,1.0025,827,1583,3,3,False,False,False,False,False
946691333,-8,2781,1966,1209,0,51,1.5038888888888888,815,1572,3,3,False,False,False,False,False
946693138,-8,2778,1969,1196,0,51,2.0052777777777777,809,1582,3,3,False,False,False,False,False
946694942,-8,2775,1975,1213,0,51,2.506388888888889,800,1562,3,3,False,False,False,False,False
946696747,-8,2771,1983,1189,0,51,3.0077777777777777,788,1582,3,3,False,False,False,False,False
946698552,-8,2764,1985,1220,0,51,3.5091666666666668,779,1544,3,3,False,False,False,False,False
946700356,-8,2759,1979,1175,0,51,4.010277777777778,780,1584,3,3,False,False,False,False,False
946702161,-8,2762,1978,1213,0,51,4.511666666666667,784,1549,3,3,False,False,False,False,False
946703966,-8,2756,1967,1174,0,51,5.013055555555556,789,1582,3,3,False,False,False,False,False
946705770,-8,2759,1967,1219,0,51,5.514166666666667,792,1540,3,3,False,False,False,False,False
946707575,-8,2753,1950,1158,0,51,6.015555555555555,803,1595,3,3,False,False,False,False,False
946709380,-9,2749,1945,1197,0,51,6.516944444444444,804,1552,3,3,False,False,False,False,False
946711185,-8,2754,1933,1157,0,51,7.0183333333333335,821,1597,3,3,False,False,False,False,False
946712989,-9,2738,1917,1174,0,51,7.519444444444445,821,1564,3,3,False,False,False,False,False
946714794,-8,2751,1913,1158,0,51,8.020833333333334,838,1593,3,3,False,False,False,False,False
946716599,-9,2740,1908,1169,0,51,8.522222222222222,832,1571,3,3,False,False,False,False,False
946718403,-8,2740,1895,1151,0,51,9.023333333333333,845,1589,3,3,False,False,False,False,False
946720208,-8,2741,1894,1170,0,51,9.524722222222222,847,1571,3,3,False,False,False,False,False
946722013,-8,2741,1887,1147,0,51,10.026111111111112,854,1594,3,3,False,False,False,False,False
946723817,-8,2741,1887,1172,0,51,10.527222222222223,854,1569,3,3,False,False,False,False,False
946725622,-8,2741,1868,1147,0,51,11.028611111111111,873,1594,3,3,False,False,False,False,False
946727427,-8,2741,1884,1150,0,51,11.53,857,1591,3,3,False,False,False,False,False
946729231,-8,2741,1869,1148,0,51,12.03111111111111,872,1593,3,3,False,False,False,False,False
946731036,-8,2732,1873,1160,0,51,12.5325,859,1572,3,3,False,False,False,False,False
946732841,-8,2737,1863,1146,0,51,13.033888888888889,874,1591,3,3,False,False,False,False,False
946734645,-8,2732,1864,1176,0,51,13.535,868,1556,3,3,False,False,False,False,False
946736450,-8,2738,1851,1140,0,51,14.036388888888888,887,1598,3,3,False,False,False,False,False
946738255,-8,2730,1861,1156,0,51,14.537777777777778,869,1574,3,3,False,False,False,False,False
946740059,-8,2736,1851,1132,0,51,15.03888888888889,885,1604,3,3,False,False,False,False,False
946741864,-8,2726,1859,1155,0,51,15.540277777777778,867,1571,3,3,False,False,False,False,False
946743669,-8,2738,1846,1130,0,51,16.041666666666668,892,1608,3,3,False,False,False,False,False
946745473,-8,2737,1847,1148,0,51,16.54277777777778,890,1589,3,3,False,False,False,False,False
946747278,-8,2731,1827,1134,0,51,17.044166666666666,904,1597,3,3,False,False,False,False,False
946749083,-8,2733,1834,1142,0,51,17.545555555555556,899,1591,3,3,False,False,False,False,False
946750887,-8,2733,1820,1123,0,51,18.046666666666667,913,1610,3,3,False,False,False,False,False
946752692,-8,2733,1824,1137,0,51,18.548055555555557,909,1596,3,3,False,False,False,False,False
946754497,-8,2729,1811,1122,0,51,19.049444444444443,918,1607,3,3,False,False,False,False,False
946756302,-8,2724,1808,1133,0,51,19.550833333333333,916,1591,3,3,False,False,False,False,False
946758106,-8,2723,1795,1121,0,51,20.051944444444445,928,1602,3,3,False,False,False,False,False
946759911,-8,2723,1790,1127,0,51,20.553333333333335,933,1596,3,3,False,False,False,False,False
946761716,-8,2715,1771,1110,0,51,21.05472222222222,944,1605,3,3,False,False,False,False,False
946763520,-8,2715,1765,1115,0,51,21.555833333333332,950,1600,3,3,False,False,False,False,False
946765325,-8,2711,1727,1101,0,51,22.057222222222222,984,1610,3,3,False,False,False,False,False
946767130,-8,2708,1668,1113,0,51,22.558611111111112,1040,1595,3,3,False,False,False,False,False
946768934,-8,2702,1650,1099,0,51,23.059722222222224,1052,1603,3,3,False,False,False,False,False
946770739,-8,2705,1648,1105,0,51,23.56111111111111,1057,1600,3,3,False,False,False,False,False
946772544,-8,2704,1633,1097,0,51,24.0625,1071,1607,3,3,False,False,False,False,False
946774348,-8,2691,1615,1100,0,51,24.56361111111111,1076,1591,3,3,False,False,False,False,False
946776153,-8,2690,1602,1092,0,51,25.065,1088,1598,3,3,False,False,False,False,False
946777958,-8,2684,1598,1084,0,51,25.566388888888888,1086,1600,3,3,False,False,False,False,False
946779762,-8,2686,1574,1085,0,51,26.0675,1112,1601,3,3,False,False,False,False,False
946781567,-8,2681,1565,1081,0,34,26.56888888888889,1116,1600,2,2,False,False,False,False,False
946783372,-8,2671,1540,1075,0,34,27.07027777777778,1131,1596,2,2,False,False,False,False,False
946785176,-8,2662,1529,1072,0,34,27.57138888888889,1133,1590,2,2,False,False,False,False,False
946786981,-8,2654,1504,1067,0,34,28.072777777777777,1150,1587,2,2,False,False,False,False,False
