timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946686147,20,3230,3019,2184,0,0.0,211,1046,False,False,False,False,False
946687950,20,3006,2805,1640,0,0.5008333333333334,201,1366,False,False,False,False,False
946689754,20,2961,2759,1523,0,1.0019444444444445,202,1438,False,False,False,False,False
946691558,20,2957,2745,1652,0,1.5030555555555556,212,1305,False,False,False,False,False
946693362,20,2938,2742,1579,0,2.004166666666667,196,1359,False,False,False,False,False
946695166,20,2946,2749,1623,0,2.5052777777777777,197,1323,False,False,False,False,False
946696970,20,2950,2748,1648,0,3.006388888888889,202,1302,False,False,False,False,False
946698774,20,2938,2740,1614,0,3.5075,198,1324,False,False,False,False,False
946700578,20,2943,2737,1628,0,4.008611111111111,206,1315,False,False,False,False,False
946702382,20,2947,2745,1640,0,4.509722222222222,202,1307,False,False,False,False,False
946704186,20,2952,2741,1618,0,5.010833333333333,211,1334,False,False,False,False,False
946705990,20,2947,2740,1660,0,5.5119444444444445,207,1287,False,False,False,False,False
946707794,20,2943,2737,1585,0,6.013055555555556,206,1358,False,False,False,False,False
946709598,20,2940,2735,1629,0,6.514166666666667,205,1311,False,False,False,False,False
946711402,20,2940,2734,1573,0,7.0152777777777775,206,1367,False,False,False,False,False
946713206,20,2942,2738,1696,0,7.516388888888889,204,1246,False,False,False,False,False
946715010,20,2940,2736,1604,0,8.0175,204,1336,False,False,False,False,False
946716814,20,2941,2736,1689,0,8.518611111111111,205,1252,False,False,False,False,False
946718618,20,2948,2736,1611,0,9.019722222222223,212,1337,False,False,False,False,False
946720423,20,2942,2734,1629,0,9.52111111111111,208,1313,False,False,False,False,False
946722227,20,2943,2727,1653,0,10.022222222222222,216,1290,False,False,False,False,False
946724031,20,2941,2727,1552,0,10.523333333333333,214,1389,False,False,False,False,False
946725835,20,2948,2720,1542,0,11.024444444444445,228,1406,False,False,False,False,False
946727639,20,2942,2723,1554,0,11.525555555555556,219,1388,False,False,False,False,False
946729443,20,2942,2724,1524,0,12.026666666666667,218,1418,False,False,False,False,False
946731247,20,2942,2718,1580,0,12.527777777777779,224,1362,False,False,False,False,False
946733051,20,2948,2727,1637,0,13.028888888888888,221,1311,False,False,False,False,False
946734855,20,2936,2710,1668,0,13.53,226,1268,False,False,False,False,False
946736659,20,2940,2713,1582,0,14.03111111111111,227,1358,False,False,False,False,False
946738463,20,2939,2715,1639,0,14.532222222222222,224,1300,False,False,False,False,False
946740267,20,2944,2715,1555,0,15.033333333333333,229,1389,False,False,False,False,False
946742071,20,2941,2719,1650,0,15.534444444444444,222,1291,False,False,False,False,False
946743875,20,2948,2729,1571,0,16.035555555555554,219,1377,False,False,False,False,False
946745679,20,2943,2718,1612,0,16.536666666666665,225,1331,False,False,False,False,False
946747483,20,2948,2717,1586,0,17.037777777777777,231,1362,False,False,False,False,False
946749287,20,2936,2704,1666,0,17.538888888888888,232,1270,False,False,False,False,False
946751091,20,2943,2731,1582,0,18.04,212,1361,False,False,False,False,False
946752895,20,2952,2723,1691,0,18.54111111111111,229,1261,False,False,False,False,False
946754700,20,2948,2740,1581,0,19.0425,208,1367,False,False,False,False,False
946756504,20,2951,2732,1599,0,19.54361111111111,219,1352,False,False,False,False,False
946758308,20,2947,2731,1614,0,20.044722222222223,216,1333,False,False,False,False,False
946760112,20,2949,2726,1644,0,20.545833333333334,223,1305,False,False,False,False,False
946761916,20,2944,2732,1616,0,21.046944444444446,212,1328,False,False,False,False,False
946763720,20,2944,2729,1634,0,21.548055555555557,215,1310,False,False,False,False,False
946765524,20,2946,2730,1647,0,22.049166666666668,216,1299,False,False,False,False,False
946767328,20,2942,2727,1629,0,22.55027777777778,215,1313,False,False,False,False,False
946769132,20,2938,2731,1499,0,23.051388888888887,207,1439,False,False,False,False,False
946770936,20,2946,2727,1609,0,23.5525,219,1337,False,False,False,False,False
946772740,20,2942,2715,1565,0,24.05361111111111,227,1377,False,False,False,False,False
946774544,20,2949,2721,1582,0,24.55472222222222,228,1367,False,False,False,False,False
946776348,20,2938,2727,1563,0,25.055833333333332,211,1375,False,False,False,False,False
946778152,20,2934,2724,1623,0,25.556944444444444,210,1311,False,False,False,False,False
946779956,20,2939,2722,1566,0,26.058055555555555,217,1373,False,False,False,False,False
946781760,20,2941,2719,1589,0,26.559166666666666,222,1352,False,False,False,False,False
946783564,20,2939,2718,1623,0,27.060277777777777,221,1316,False,False,False,False,False
946785368,20,2930,2721,1550,0,27.56138888888889,209,1380,False,False,False,False,False
946787173,20,2938,2706,1615,0,28.06277777777778,232,1323,False,False,False,False,False
946788977,20,2937,2715,1642,0,28.56388888888889,222,1295,False,False,False,False,False
