timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946686453,20,3198,3104,2614,0,0.0,94,584,False,False,False,False,False
946688256,20,2982,2878,2330,0,0.5008333333333334,104,652,False,False,False,False,False
946690060,20,2926,2832,2187,0,1.0019444444444445,94,739,False,False,False,False,False
946691863,20,2920,2818,2110,0,1.5027777777777778,102,810,False,False,False,False,False
946693666,20,2924,2822,1807,0,2.0036111111111112,102,1117,False,False,False,False,False
946695470,20,2913,2818,2171,0,2.504722222222222,95,742,False,False,False,False,False
946697273,20,2922,2818,2057,0,3.0055555555555555,104,865,False,False,False,False,False
946699077,20,2920,2816,2183,0,3.506666666666667,104,737,False,False,False,False,False
946700880,20,2918,2818,1736,0,4.0075,100,1182,False,False,False,False,False
946702684,20,2919,2818,2192,0,4.508611111111111,101,727,False,False,False,False,False
946704487,20,2911,2816,1765,0,5.009444444444444,95,1146,False,False,False,False,False
946706291,20,2915,2813,2156,0,5.510555555555555,102,759,False,False,False,False,False
946708094,20,2917,2813,1776,0,6.011388888888889,104,1141,False,False,False,False,False
946709897,20,2913,2814,2129,0,6.512222222222222,99,784,False,False,False,False,False
946711701,20,2912,2816,1710,0,7.013333333333334,96,1202,False,False,False,False,False
946713504,20,2915,2813,2074,0,7.514166666666667,102,841,False,False,False,False,False
946715308,20,2917,2813,1834,0,8.015277777777778,104,1083,False,False,False,False,False
946717111,20,2911,2813,2036,0,8.516111111111112,98,875,False,False,False,False,False
946718915,20,2913,2813,1990,0,9.017222222222221,100,923,False,False,False,False,False
946720718,20,2918,2812,2219,0,9.518055555555556,106,699,False,False,False,False,False
946722522,20,2914,2814,2015,0,10.019166666666667,100,899,False,False,False,False,False
946724325,20,2910,2813,2067,0,10.52,97,843,False,False,False,False,False
946726128,20,2914,2812,2017,0,11.020833333333334,102,897,False,False,False,False,False
946727932,20,2912,2818,2197,0,11.521944444444445,94,715,False,False,False,False,False
946729735,20,2919,2814,2149,0,12.022777777777778,105,770,False,False,False,False,False
946731539,20,2907,2816,2097,0,12.523888888888889,91,810,False,False,False,False,False
946733342,20,2909,2819,2109,0,13.024722222222222,90,800,False,False,False,False,False
946735145,20,2912,2820,2186,0,13.525555555555556,92,726,False,False,False,False,False
946736949,20,2920,2814,2005,0,14.026666666666667,106,915,False,False,False,False,False
946738752,20,2919,2817,2160,0,14.5275,102,759,False,False,False,False,False
946740556,20,2912,2813,1958,0,15.028611111111111,99,954,False,False,False,False,False
946742359,20,2918,2818,2182,0,15.529444444444444,100,736,False,False,False,False,False
946744163,20,2912,2817,2188,0,16.030555555555555,95,724,False,False,False,False,False
946745966,20,2914,2816,2129,0,16.531388888888888,98,785,False,False,False,False,False
946747769,20,2920,2814,2052,0,17.032222222222224,106,868,False,False,False,False,False
946749573,20,2914,2813,2015,0,17.533333333333335,101,899,False,False,False,False,False
946751376,20,2913,2820,1895,0,18.034166666666668,93,1018,False,False,False,False,False
946753180,20,2918,2811,2161,0,18.53527777777778,107,757,False,False,False,False,False
946754983,20,2913,2818,1957,0,19.03611111111111,95,956,False,False,False,False,False
946756787,20,2912,2809,2060,0,19.537222222222223,103,852,False,False,False,False,False
946758590,20,2920,2813,1890,0,20.038055555555555,107,1030,False,False,False,False,False
946760394,20,2917,2818,2139,0,20.539166666666667,99,778,False,False,False,False,False
946762197,20,2926,2818,2093,0,21.04,108,833,False,False,False,False,False
946764001,20,2915,2813,2121,0,21.54111111111111,102,794,False,False,False,False,False
946765804,20,2910,2813,1964,0,22.041944444444443,97,946,False,False,False,False,False
946767607,20,2918,2818,2143,0,22.54277777777778,100,775,False,False,False,False,False
946769411,20,2920,2810,2028,0,23.04388888888889,110,892,False,False,False,False,False
946771214,20,2914,2809,1982,0,23.544722222222223,105,932,False,False,False,False,False
946773018,20,2912,2814,2148,0,24.045833333333334,98,764,False,False,False,False,False
946774821,20,2912,2810,2103,0,24.546666666666667,102,809,False,False,False,False,False
946776625,20,2912,2814,2192,0,25.047777777777778,98,720,False,False,False,False,False
946778428,20,2912,2805,1968,0,25.54861111111111,107,944,False,False,False,False,False
946780232,20,2906,2808,2061,0,26.049722222222222,98,845,False,False,False,False,False
946782035,20,2913,2809,1843,0,26.550555555555555,104,1070,False,False,False,False,False
946783838,20,2911,2809,1996,0,27.051388888888887,102,915,False,False,False,False,False
946785642,20,2910,2808,1928,0,27.5525,102,982,False,False,False,False,False
946787445,20,2912,2809,1957,0,28.053333333333335,103,955,False,False,False,False,False
946789249,20,2915,2808,1978,0,28.554444444444446,107,937,False,False,False,False,False
946791052,20,2918,2802,1622,0,29.05527777777778,116,1296,False,False,False,False,False
946792856,20,2912,2806,1822,0,29.55638888888889,106,1090,False,False,False,False,False
