timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685967,-16,3215,2615,1095,0,0.0,600,2120,False,False,False,False,False
946687772,-18,2896,2464,1070,0,0.5013888888888889,432,1826,False,False,False,False,False
946689576,-18,2835,2397,1050,0,1.0025,438,1785,False,False,False,False,False
946691381,-18,2822,2379,1041,0,1.5038888888888888,443,1781,False,False,False,False,False
946693186,-18,2820,2375,1042,0,2.0052777777777777,445,1778,False,False,False,False,False
946694991,-18,2813,2362,1043,0,2.506666666666667,451,1770,False,False,False,False,False
946696796,-18,2818,2367,1038,0,3.0080555555555555,451,1780,False,False,False,False,False
946698600,-18,2813,2361,1036,0,3.5091666666666668,452,1777,False,False,False,False,False
946700405,-18,2811,2358,1032,0,4.010555555555555,453,1779,False,False,False,False,False
946702210,-18,2812,2347,1031,0,4.5119444444444445,465,1781,False,False,False,False,False
946704015,-18,2796,2341,1024,0,5.013333333333334,455,1772,False,False,False,False,False
946705819,-18,2808,2334,1026,0,5.514444444444444,474,1782,False,False,False,False,False
946707624,-18,2808,2336,1023,0,6.015833333333333,472,1785,False,False,False,False,False
946709429,-18,2804,2328,1024,0,6.517222222222222,476,1780,False,False,False,False,False
946711234,-18,2802,2326,1024,0,7.018611111111111,476,1778,False,False,False,False,False
946713038,-18,2798,2319,1019,0,7.519722222222223,479,1779,False,False,False,False,False
946714843,-18,2796,2329,1021,0,8.02111111111111,467,1775,False,False,False,False,False
946716648,-18,2794,2326,1022,0,8.5225,468,1772,False,False,False,False,False
946718453,-18,2795,2324,1019,0,9.023888888888889,471,1776,False,False,False,False,False
946720257,-18,2790,2321,1020,0,9.525,469,1770,False,False,False,False,False
946722062,-18,2798,2321,1016,0,10.026388888888889,477,1782,False,False,False,False,False
946723867,-18,2791,2320,1019,0,10.527777777777779,471,1772,False,False,False,False,False
946725672,-18,2789,2328,1020,0,11.029166666666667,461,1769,False,False,False,False,False
946727476,-18,2793,2322,1018,0,11.530277777777778,471,1775,False,False,False,False,False
946729281,-18,2791,2324,1019,0,12.031666666666666,467,1772,False,False,False,False,False
946731086,-18,2793,2318,1020,0,12.533055555555556,475,1773,False,False,False,False,False
946732891,-18,2791,2324,1018,0,13.034444444444444,467,1773,False,False,False,False,False
946734696,-18,2793,2324,1021,0,13.535833333333333,469,1772,False,False,False,False,False
946736500,-18,2784,2322,1015,0,14.036944444444444,462,1769,False,False,False,False,False
946738305,-18,2788,2319,1021,0,14.538333333333334,469,1767,False,False,False,False,False
946740110,-18,2783,2322,1014,0,15.039722222222222,461,1769,False,False,False,False,False
946741915,-18,2783,2322,1018,0,15.54111111111111,461,1765,False,False,False,False,False
946743719,-18,2784,2317,1013,0,16.04222222222222,467,1771,False,False,False,False,False
946745524,-18,2787,2319,1017,0,16.54361111111111,468,1770,False,False,False,False,False
946747329,-18,2791,2317,1016,0,17.045,474,1775,False,False,False,False,False
946749134,-18,2783,2318,1016,0,17.546388888888888,465,1767,False,False,False,False,False
946750938,-18,2784,2316,1010,0,18.0475,468,1774,False,False,False,False,False
946752743,-18,2789,2315,1012,0,18.54888888888889,474,1777,False,False,False,False,False
946754548,-18,2788,2311,1011,0,19.05027777777778,477,1777,False,False,False,False,False
946756353,-18,2780,2315,1008,0,19.551666666666666,465,1772,False,False,False,False,False
946758157,-18,2789,2311,1010,0,20.052777777777777,478,1779,False,False,False,False,False
946759962,-18,2782,2311,1012,0,20.554166666666667,471,1770,False,False,False,False,False
946761767,-18,2782,2306,1008,0,21.055555555555557,476,1774,False,False,False,False,False
946763572,-18,2780,2307,1005,0,21.556944444444444,473,1775,False,False,False,False,False
946765376,-18,2782,2311,1006,0,22.058055555555555,471,1776,False,False,False,False,False
946767181,-18,2779,2302,1004,0,22.559444444444445,477,1775,False,False,False,False,False
946768986,-18,2775,2299,1005,0,23.060833333333335,476,1770,False,False,False,False,False
946770791,-18,2769,2300,1006,0,23.56222222222222,469,1763,False,False,False,False,False
946772596,-18,2780,2293,1001,0,24.06361111111111,487,1779,False,False,False,False,False
946774400,-18,2773,2288,1001,0,24.564722222222223,485,1772,False,False,False,False,False
946776205,-18,2766,2285,1001,0,25.066111111111113,481,1765,False,False,False,False,False
946778010,-18,2771,2281,999,0,25.5675,490,1772,False,False,False,False,False
946779815,-18,2771,2281,996,0,26.06888888888889,490,1775,False,False,False,False,False
946781619,-18,2767,2276,998,0,26.57,491,1769,False,False,False,False,False
946783424,-18,2760,2276,997,0,27.07138888888889,484,1763,False,False,False,False,False
946785229,-18,2773,2276,998,0,27.572777777777777,497,1775,False,False,False,False,False
946787034,-18,2767,2273,996,0,28.074166666666667,494,1771,False,False,False,False,False
946788838,-18,2762,2267,993,0,28.575277777777778,495,1769,False,False,False,False,False
946790643,-18,2754,2261,993,0,29.076666666666668,493,1761,False,False,False,False,False
946792448,-18,2753,2260,994,0,29.578055555555554,493,1759,False,False,False,False,False
946794253,-18,2754,2255,990,0,30.079444444444444,499,1764,False,False,False,False,False
946796057,-18,2750,2255,990,0,30.580555555555556,495,1760,False,False,False,False,False
946797862,-18,2749,2247,989,0,31.081944444444446,502,1760,False,False,False,False,False
946799667,-18,2742,2244,985,0,31.583333333333332,498,1757,False,False,False,False,False
946801472,-18,2740,2238,984,0,32.084722222222226,502,1756,False,False,False,False,False
946803276,-18,2734,2238,986,0,32.58583333333333,496,1748,False,False,False,False,False
946805081,-18,2736,2232,977,0,33.08722222222222,504,1759,False,False,False,False,False
946806886,-18,2731,2224,978,0,33.58861111111111,507,1753,False,False,False,False,False
946808691,-18,2724,2216,978,0,34.09,508,1746,False,False,False,False,False
946810496,-18,2722,2212,976,0,34.591388888888886,510,1746,False,False,False,False,False
946812300,-18,2722,2209,971,0,35.0925,513,1751,False,False,False,False,False
946814105,-18,2713,2200,970,0,35.59388888888889,513,1743,False,False,False,False,False
946815910,-18,2707,2192,968,0,36.09527777777778,515,1739,False,False,False,False,False
946817715,-18,2698,2185,964,0,36.596666666666664,513,1734,False,False,False,False,False
946819519,-18,2700,2180,964,0,37.09777777777778,520,1736,False,False,False,False,False
946821324,-18,2692,2169,962,0,37.59916666666667,523,1730,False,False,False,False,False
946823129,-18,2689,2167,960,0,38.10055555555556,522,1729,False,False,False,False,False
946824934,-18,2672,2153,955,0,38.60194444444444,519,1717,False,False,False,False,False
946826738,-18,2674,2145,951,0,39.10305555555556,529,1723,False,False,False,False,False
946828543,-18,2663,2130,950,0,39.60444444444445,533,1713,False,False,False,False,False
946830348,-18,2655,2113,942,0,40.10583333333334,542,1713,False,False,False,False,False
946832153,-18,2645,2096,935,0,40.60722222222222,549,1710,False,False,False,False,False
946833957,-18,2639,2075,928,0,41.108333333333334,564,1711,False,False,False,False,False
946835762,-18,2623,2058,921,0,41.609722222222224,565,1702,False,False,False,False,False
946837567,-18,2617,2029,914,0,42.111111111111114,588,1703,False,False,False,False,False
946839372,-18,2606,2007,904,0,42.6125,599,1702,False,False,False,False,False
946841176,-18,2587,1979,903,0,43.11361111111111,608,1684,False,False,False,False,False
946842981,-18,2573,1950,888,2,43.615,623,1685,False,True,False,False,False
946844786,-18,2554,1914,875,0,44.11638888888889,640,1679,False,False,False,False,False
946846591,-18,2534,1885,868,2,44.617777777777775,649,1666,False,True,False,False,False
946848395,-18,2388,1673,846,0,45.11888888888889,715,1542,False,False,False,False,False
946850200,-18,2277,1385,1142,2,45.62027777777778,892,1135,False,True,False,False,False
946852005,-18,2181,797,796,6,46.12166666666667,1384,1385,False,True,True,False,False
946853810,-18,2145,788,787,6,46.62305555555555,1357,1358,False,True,True,False,False
