#time,current,voltage,power,charge,energy
0.0,0.000849894,3.00692,0.00255515,0,0
0.1,0.000774249,3.00702,0.00232799,7.7425e-05,0.000232799
0.2,0.000812202,3.00705,0.00244197,0.000158645,0.000476996
0.3,0.000858189,3.00699,0.00258012,0.000244464,0.000735008
0.4,0.00083994,3.00699,0.00252466,0.000328458,0.000987474
0.5,0.000820061,3.00699,0.00246558,0.000410464,0.00123403
0.6,0.000868661,3.00689,0.0026115,0.00049733,0.00149518
0.7,0.000726234,3.00706,0.00218378,0.000569954,0.00171356
0.8,0.0008502,3.00697,0.00255609,0.000654973,0.00196917
0.9,0.000849718,3.00697,0.00255465,0.000739945,0.00222463
1.0,0.000727604,3.00707,0.0021879,0.000812706,0.00244342
1.1,0.000820444,3.00696,0.00246671,0.00089475,0.0026901
1.2,0.000839502,3.00698,0.00252333,0.0009787,0.00294243
1.3,0.000851797,3.00698,0.00256089,0.00106388,0.00319852
1.4,0.000822084,3.00701,0.00247165,0.00114609,0.00344568
1.5,0.000726476,3.00706,0.0021845,0.00121874,0.00366413
1.6,0.000881012,3.00682,0.0026485,0.00130684,0.00392898
1.7,0.000850175,3.00702,0.00255607,0.00139185,0.00418459
1.8,0.000725821,3.00714,0.0021826,0.00146444,0.00440285
1.9,0.000850766,3.00711,0.0025579,0.00154951,0.00465864
2.0,0.000931443,3.00704,0.00279957,0.00164266,0.0049386
2.1,0.000727502,3.00716,0.00218766,0.00171541,0.00515736
2.2,0.000820166,3.00708,0.00246598,0.00179742,0.00540396
2.3,0.000763757,3.00717,0.00229659,0.0018738,0.00563362
2.4,0.000855932,3.00709,0.00257339,0.00195939,0.00589096
2.5,0.000822899,3.0071,0.00247418,0.00204168,0.00613838
2.6,0.000743414,3.00715,0.00223546,0.00211602,0.00636192
2.7,0.000967355,3.00696,0.00290742,0.00221276,0.00665266
2.8,0.000880171,3.00701,0.00264614,0.00230078,0.00691728
2.9,0.000726702,3.00716,0.00218525,0.00237345,0.0071358
3.0,0.000831126,3.00705,0.00249888,0.00245656,0.00738569
3.1,0.000882428,3.00704,0.00265296,0.0025448,0.00765099
3.2,0.000725449,3.00717,0.0021815,0.00261735,0.00786914
3.3,0.000881678,3.00709,0.00265076,0.00270552,0.00813421
3.4,0.000729121,3.00715,0.00219253,0.00277843,0.00835347
3.5,0.000932749,3.00701,0.00280351,0.0028717,0.00863382
3.6,0.000881274,3.00713,0.00264958,0.00295983,0.00889878
3.7,0.000726531,3.00723,0.0021848,0.00303248,0.00911726
3.8,0.000848445,3.00715,0.00255097,0.00311733,0.00937235
3.9,0.000850255,3.00711,0.00255638,0.00320235,0.00962799
4.0,0.000726884,3.00717,0.00218581,0.00327504,0.00984657
4.1,0.000820289,3.00708,0.00246634,0.00335707,0.0100932
4.2,0.000727403,3.00722,0.00218741,0.00342981,0.0103119
4.3,0.119318,2.91238,0.346571,0.0153616,0.044969
4.4,0.15389,2.88354,0.443679,0.0307506,0.0893369
4.5,0.152331,2.88292,0.439121,0.0459837,0.133249
4.6,0.150201,2.8832,0.433013,0.0610038,0.17655
4.7,0.149123,2.88286,0.429855,0.0759161,0.219536
4.8,0.148564,2.8824,0.42818,0.0907725,0.262354
4.9,0.147972,2.882,0.426413,0.10557,0.304995
5.0,0.148139,2.88112,0.426774,0.120384,0.347673
5.1,0.148105,2.88051,0.426573,0.135194,0.39033
5.2,0.147951,2.87992,0.426044,0.149989,0.432934
5.3,0.0204713,2.97863,0.0599593,0.152036,0.43893
5.4,0.024798,2.97748,0.0723557,0.154516,0.446166
5.5,0.00129545,2.99749,0.0038825,0.154646,0.446554
5.6,0.000742343,2.99899,0.00222623,0.15472,0.446777
5.7,0.000822581,2.99969,0.00246717,0.154802,0.447023
5.8,0.000731733,3.00035,0.00219541,0.154875,0.447243
5.9,0.000855753,3.00067,0.00256735,0.154961,0.4475
6.0,0.000914132,3.00106,0.00274276,0.155052,0.447774
6.1,0.000790698,3.00149,0.0023725,0.155131,0.448011
6.2,0.00090051,3.00167,0.00270238,0.155221,0.448281
6.3,0.000821624,3.00189,0.0024661,0.155304,0.448528
6.4,0.000728883,3.00221,0.00218821,0.155377,0.448747
6.5,0.00082096,3.00237,0.00246451,0.155459,0.448993
6.6,0.000749321,3.0026,0.00224982,0.155534,0.449218
6.7,0.000817643,3.00271,0.00245482,0.155615,0.449464
6.8,0.000883748,3.00282,0.00265319,0.155704,0.449729
6.9,0.000832817,3.00302,0.0025,0.155787,0.449979
7.0,0.000862597,3.00306,0.00259,0.155873,0.450238
7.1,0.000882523,3.00317,0.00264985,0.155962,0.450503
7.2,0.000727166,3.00341,0.00218393,0.156034,0.450721
7.3,0.000914249,3.00338,0.00274519,0.156126,0.450996
7.4,0.000885787,3.00348,0.0026599,0.156214,0.451262
7.5,0.000728508,3.00369,0.00218816,0.156287,0.451481
7.6,0.000857626,3.00366,0.00257558,0.156373,0.451738
7.7,0.000839227,3.00381,0.0025199,0.156457,0.45199
7.8,0.000820475,3.00387,0.00246427,0.156539,0.452237
7.9,0.000833397,3.00396,0.00250313,0.156622,0.452487
8.0,0.000728085,3.00404,0.00218714,0.156695,0.452706
8.1,0.000835473,3.00402,0.00250944,0.156779,0.452957
8.2,0.00082038,3.00413,0.0024642,0.156861,0.453203
8.3,0.000727674,3.00427,0.00218608,0.156933,0.453422
8.4,0.00096872,3.00406,0.00290872,0.15703,0.453713
8.5,0.000888177,3.00415,0.00266767,0.157119,0.453979
8.6,0.00074537,3.00438,0.00223929,0.157194,0.454203
8.7,0.000820161,3.0043,0.00246369,0.157276,0.45445
8.8,0.000727196,3.0044,0.00218475,0.157348,0.454668
8.9,0.00085121,3.00444,0.00255696,0.157433,0.454924
9.0,0.000882552,3.00441,0.00265102,0.157522,0.455189
9.1,0.000728786,3.00456,0.00218963,0.157595,0.455408
9.2,0.000935656,3.00441,0.00280984,0.157688,0.455689
9.3,0.000885852,3.00449,0.00266099,0.157777,0.455955
9.4,0.000730117,3.00461,0.00219367,0.15785,0.456174
9.5,0.000852451,3.00461,0.00256086,0.157935,0.45643
9.6,0.000821941,3.00466,0.00246933,0.158017,0.456677
9.7,0.000735816,3.00475,0.00221087,0.158091,0.456898
9.8,0.000830268,3.00463,0.00249431,0.158174,0.457148
9.9,0.000725019,3.00482,0.0021785,0.158246,0.457366
10.0,0.00096424,3.00464,0.00289583,0.158343,0.457655
10.1,0.000821856,3.00479,0.00246913,0.158425,0.457902
10.2,0.000732512,3.00485,0.00220103,0.158498,0.458122
10.3,0.00084898,3.0048,0.00255058,0.158583,0.458377
10.4,0.000822567,3.00488,0.00247139,0.158665,0.458625
10.5,0.00072752,3.00492,0.00218609,0.158738,0.458843
10.6,0.000830093,3.00489,0.00249399,0.158821,0.459093
10.7,0.000841272,3.00493,0.00252693,0.158905,0.459345
10.8,0.000821572,3.00494,0.00246845,0.158987,0.459592
10.9,0.000825512,3.00491,0.00248026,0.15907,0.45984
11.0,0.000727455,3.00508,0.00218601,0.159143,0.460059
11.1,0.000851621,3.00498,0.00255867,0.159228,0.460315
11.2,0.000835157,3.00503,0.0025093,0.159311,0.460565
11.3,0.000726893,3.00511,0.00218435,0.159384,0.460784
11.4,0.000853244,3.00507,0.00256361,0.159469,0.46104
11.5,0.000997975,3.00491,0.00299736,0.159569,0.46134
11.6,0.000729777,3.00515,0.00219304,0.159642,0.461559
11.7,0.000820276,3.00509,0.00246468,0.159724,0.461806
11.8,0.000819548,3.0051,0.00246249,0.159806,0.462052
11.9,0.000725585,3.00523,0.0021805,0.159879,0.46227
12.0,0.000818928,3.00517,0.0024607,0.15996,0.462516
12.1,0.000726632,3.0052,0.00218363,0.160033,0.462735
12.2,0.000819526,3.00519,0.0024625,0.160115,0.462981
12.3,0.000971286,3.00505,0.00291743,0.160212,0.463273
12.4,0.000729077,3.00527,0.00219102,0.160285,0.463492
12.5,0.000819053,3.00518,0.00246108,0.160367,0.463738
12.6,0.000836879,3.00518,0.00251462,0.160451,0.463989
12.7,0.000726797,3.00533,0.00218421,0.160523,0.464208
12.8,0.000820272,3.00525,0.0024648,0.160605,0.464454
12.9,0.000820051,3.00526,0.00246413,0.160687,0.464701
13.0,0.000833861,3.00531,0.00250498,0.160771,0.464951
13.1,0.000827849,3.00531,0.00248762,0.160854,0.4652
13.2,0.000727226,3.0054,0.00218555,0.160926,0.465418
13.3,0.00082038,3.00534,0.00246515,0.161008,0.465665
13.4,0.000822592,3.00529,0.0024718,0.161091,0.465912
13.5,0.000726524,3.00543,0.00218347,0.161163,0.46613
13.6,0.000911694,3.00531,0.0027393,0.161254,0.466404
13.7,0.000819264,3.00538,0.00246188,0.161336,0.46665
13.8,0.000837652,3.00538,0.00251644,0.16142,0.466902
13.9,0.000856732,3.00538,0.00257435,0.161506,0.46716
14.0,0.000725694,3.00542,0.00218097,0.161578,0.467378
14.1,0.000865823,3.00535,0.00260167,0.161665,0.467638
14.2,0.000850514,3.00534,0.00255565,0.16175,0.467893
14.3,0.000727354,3.00548,0.002186,0.161823,0.468112
14.4,0.000861917,3.00534,0.00258991,0.161909,0.468371
14.5,0.000891321,3.00531,0.00267811,0.161998,0.468639
14.6,0.0452359,2.96948,0.133564,0.166522,0.481995
14.7,0.113572,2.91479,0.329386,0.177879,0.514934
14.8,0.166066,2.87225,0.476922,0.194485,0.562626
14.9,0.160308,2.87478,0.460794,0.210516,0.608705
15.0,0.157528,2.87553,0.452935,0.226269,0.653999
15.1,0.153832,2.87734,0.44258,0.241652,0.698257
15.2,0.152754,2.87722,0.43946,0.256928,0.742203
15.3,0.152098,2.87698,0.43754,0.272138,0.785957
15.4,0.150681,2.87724,0.433499,0.287206,0.829307
15.5,0.150892,2.87646,0.434,0.302295,0.872707
15.6,0.0549279,2.95,0.158096,0.307788,0.888517
15.7,0.000731373,2.99496,0.00219038,0.307861,0.888736
15.8,0.000854109,2.99646,0.00255885,0.307946,0.888991
15.9,0.000824897,2.99752,0.00247235,0.308029,0.889239
