timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946945416,23,3224,3083,3019,0,0.0,141,205,False,False,False,False,False
946948119,24,3015,2882,2840,0,0.7508333333333334,133,175,False,False,False,False,False
946950823,24,2979,2842,2785,0,1.5019444444444445,137,194,False,False,False,False,False
946953526,24,2966,2826,2790,0,2.2527777777777778,140,176,False,False,False,False,False
946956230,24,2959,2826,2760,0,3.003888888888889,133,199,False,False,False,False,False
946958934,24,2956,2825,2787,0,3.755,131,169,False,False,False,False,False
946961637,24,2953,2822,2765,0,4.505833333333333,131,188,False,False,False,False,False
946964341,24,2963,2825,2784,0,5.256944444444445,138,179,False,False,False,False,False
946967045,24,2956,2823,2763,0,6.008055555555556,133,193,False,False,False,False,False
946969748,24,2958,2818,2783,0,6.7588888888888885,140,175,False,False,False,False,False
946972452,24,2954,2818,2765,0,7.51,136,189,False,False,False,False,False
946975155,24,2956,2820,2782,0,8.260833333333334,136,174,False,False,False,False,False
946977859,24,2956,2826,2768,0,9.011944444444444,130,188,False,False,False,False,False
946980563,24,2949,2817,2790,0,9.763055555555555,132,159,False,False,False,False,False
946983266,24,2955,2813,2764,0,10.51388888888889,142,191,False,False,False,False,False
946985970,24,2955,2818,2784,0,11.265,137,171,False,False,False,False,False
946988674,23,2957,2817,2765,0,12.016111111111112,140,192,False,False,False,False,False
946991377,23,2953,2818,2781,0,12.766944444444444,135,172,False,False,False,False,False
946994081,23,2950,2816,2762,0,13.518055555555556,134,188,False,False,False,False,False
946996785,23,2948,2816,2785,0,14.269166666666667,132,163,False,False,False,False,False
946999488,23,2953,2820,2763,0,15.02,133,190,False,False,False,False,False
947002192,24,2950,2820,2783,0,15.77111111111111,130,167,False,False,False,False,False
947004896,23,2956,2820,2763,0,16.522222222222222,136,193,False,False,False,False,False
947007599,23,2952,2816,2782,0,17.273055555555555,136,170,False,False,False,False,False
947010303,24,2949,2817,2763,0,18.024166666666666,132,186,False,False,False,False,False
947013006,23,2953,2809,2779,0,18.775,144,174,False,False,False,False,False
947015710,23,2955,2820,2770,0,19.52611111111111,135,185,False,False,False,False,False
947018414,23,2956,2818,2780,0,20.27722222222222,138,176,False,False,False,False,False
947021117,23,2959,2818,2765,0,21.028055555555557,141,194,False,False,False,False,False
947023821,24,2951,2818,2784,0,21.779166666666665,133,167,False,False,False,False,False
947026525,24,2950,2821,2768,0,22.530277777777776,129,182,False,False,False,False,False
947029228,24,2951,2818,2786,0,23.281111111111112,133,165,False,False,False,False,False
947031932,24,2962,2816,2778,0,24.032222222222224,146,184,False,False,False,False,False
947034635,24,2961,2825,2785,0,24.783055555555556,136,176,False,False,False,False,False
947037339,24,2958,2818,2769,0,25.534166666666668,140,189,False,False,False,False,False
947040043,24,2958,2821,2790,0,26.28527777777778,137,168,False,False,False,False,False
947042746,24,2951,2818,2772,0,27.03611111111111,133,179,False,False,False,False,False
947045450,24,2959,2824,2789,0,27.787222222222223,135,170,False,False,False,False,False
947048154,24,2957,2818,2775,0,28.538333333333334,139,182,False,False,False,False,False
947050857,24,2959,2824,2788,0,29.289166666666667,135,171,False,False,False,False,False
947053561,24,2954,2824,2771,0,30.040277777777778,130,183,False,False,False,False,False
947056265,24,2954,2818,2789,0,30.79138888888889,136,165,False,False,False,False,False
947058968,24,2955,2819,2776,0,31.54222222222222,136,179,False,False,False,False,False
947061672,24,2956,2820,2787,0,32.29333333333334,136,169,False,False,False,False,False
947064375,24,2961,2813,2770,0,33.04416666666667,148,191,False,False,False,False,False
947067079,24,2953,2813,2784,0,33.79527777777778,140,169,False,False,False,False,False
947069783,23,2958,2819,2767,0,34.54638888888889,139,191,False,False,False,False,False
947072486,23,2952,2813,2778,0,35.297222222222224,139,174,False,False,False,False,False
947075190,23,2962,2816,2763,0,36.04833333333333,146,199,False,False,False,False,False
947077893,23,2951,2816,2778,0,36.799166666666665,135,173,False,False,False,False,False
947080597,23,2950,2810,2764,0,37.55027777777778,140,186,False,False,False,False,False
947083301,23,2951,2818,2780,0,38.30138888888889,133,171,False,False,False,False,False
947086004,23,2951,2816,2759,0,39.05222222222222,135,192,False,False,False,False,False
947088708,23,2949,2812,2777,0,39.803333333333335,137,172,False,False,False,False,False
947091411,23,2952,2809,2760,0,40.55416666666667,143,192,False,False,False,False,False
947094115,23,2951,2809,2770,0,41.305277777777775,142,181,False,False,False,False,False
947096819,23,2950,2807,2757,0,42.05638888888889,143,193,False,False,False,False,False
947099522,23,2947,2813,2769,0,42.80722222222222,134,178,False,False,False,False,False
947102226,23,2940,2806,2755,0,43.55833333333333,134,185,False,False,False,False,False
947104929,23,2952,2807,2772,0,44.30916666666667,145,180,False,False,False,False,False
947107633,23,2952,2800,2750,0,45.06027777777778,152,202,False,False,False,False,False
947110337,24,2952,2808,2769,0,45.81138888888889,144,183,False,False,False,False,False
947113040,24,2948,2806,2756,0,46.562222222222225,142,192,False,False,False,False,False
947115744,23,2940,2805,2763,0,47.31333333333333,135,177,False,False,False,False,False
947118447,24,2936,2804,2759,0,48.064166666666665,132,177,False,False,False,False,False
947121151,24,2938,2804,2768,0,48.81527777777778,134,170,False,False,False,False,False
947123855,24,2943,2802,2754,0,49.56638888888889,141,189,False,False,False,False,False
947126558,24,2944,2799,2765,0,50.31722222222222,145,179,False,False,False,False,False
947129262,24,2942,2792,2746,0,51.068333333333335,150,196,False,False,False,False,False
947131965,24,2939,2798,2756,0,51.81916666666667,141,183,False,False,False,False,False
947134669,24,2938,2792,2745,0,52.570277777777775,146,193,False,False,False,False,False
947137373,24,2939,2796,2755,0,53.32138888888889,143,184,False,False,False,False,False
947140076,24,2934,2792,2739,0,54.07222222222222,142,195,False,False,False,False,False
947142780,24,2930,2790,2751,0,54.82333333333333,140,179,False,False,False,False,False
947145483,24,2930,2792,2737,0,55.57416666666666,138,193,False,False,False,False,False
947148187,24,2926,2790,2748,0,56.32527777777778,136,178,False,False,False,False,False
947150891,24,2930,2783,2733,0,57.076388888888886,147,197,False,False,False,False,False
947153594,24,2929,2781,2739,0,57.827222222222225,148,190,False,False,False,False,False
947156298,24,2925,2778,2726,0,58.57833333333333,147,199,False,False,False,False,False
947159001,24,2930,2781,2741,0,59.329166666666666,149,189,False,False,False,False,False
947161705,24,2924,2776,2724,0,60.08027777777778,148,200,False,False,False,False,False
947164409,24,2915,2775,2738,0,60.83138888888889,140,177,False,False,False,False,False
947167112,24,2922,2766,2723,0,61.58222222222222,156,199,False,False,False,False,False
947169816,24,2922,2766,2724,0,62.333333333333336,156,198,False,False,False,False,False
947172519,23,2918,2766,2710,0,63.08416666666667,152,208,False,False,False,False,False
947175223,24,2908,2766,2722,0,63.835277777777776,142,186,False,False,False,False,False
947177927,23,2910,2756,2708,0,64.58638888888889,154,202,False,False,False,False,False
947180630,24,2909,2758,2715,0,65.33722222222222,151,194,False,False,False,False,False
947183334,24,2908,2753,2697,0,66.08833333333334,155,211,False,False,False,False,False
947186037,23,2913,2754,2709,0,66.83916666666667,159,204,False,False,False,False,False
