timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685847,21,3198,2792,2016,0,0.0,406,1182,False,False,False,False,False
946687650,20,2954,2493,1606,0,0.5008333333333334,461,1348,False,False,False,False,False
946689454,20,2913,2444,1643,0,1.0019444444444445,469,1270,False,False,False,False,False
946691258,20,2905,2442,1600,0,1.5030555555555556,463,1305,False,False,False,False,False
946693062,20,2904,2444,1608,0,2.004166666666667,460,1296,False,False,False,False,False
946694866,20,2909,2448,1538,0,2.5052777777777777,461,1371,False,False,False,False,False
946696670,20,2904,2444,1593,0,3.006388888888889,460,1311,False,False,False,False,False
946698474,20,2904,2440,1579,0,3.5075,464,1325,False,False,False,False,False
946700278,20,2904,2444,1569,0,4.008611111111111,460,1335,False,False,False,False,False
946702082,20,2901,2440,1574,0,4.509722222222222,461,1327,False,False,False,False,False
946703886,20,2909,2437,1530,0,5.010833333333333,472,1379,False,False,False,False,False
946705689,20,2899,2440,1625,0,5.511666666666667,459,1274,False,False,False,False,False
946707493,20,2900,2435,1599,0,6.012777777777778,465,1301,False,False,False,False,False
946709297,20,2900,2442,1580,0,6.513888888888889,458,1320,False,False,False,False,False
946711101,20,2901,2438,1561,0,7.015,463,1340,False,False,False,False,False
946712905,20,2904,2442,1714,0,7.516111111111111,462,1190,False,False,False,False,False
946714709,20,2903,2446,1626,0,8.017222222222221,457,1277,False,False,False,False,False
946716513,20,2900,2441,1665,0,8.518333333333333,459,1235,False,False,False,False,False
946718317,20,2901,2443,1570,0,9.019444444444444,458,1331,False,False,False,False,False
946720121,20,2906,2444,1619,0,9.520555555555555,462,1287,False,False,False,False,False
946721924,20,2903,2445,1547,0,10.02138888888889,458,1356,False,False,False,False,False
946723728,20,2904,2444,1675,0,10.5225,460,1229,False,False,False,False,False
946725532,20,2903,2438,1577,0,11.02361111111111,465,1326,False,False,False,False,False
946727336,20,2905,2449,1637,0,11.524722222222222,456,1268,False,False,False,False,False
946729140,20,2901,2444,1647,0,12.025833333333333,457,1254,False,False,False,False,False
946730944,20,2903,2448,1686,0,12.526944444444444,455,1217,False,False,False,False,False
946732748,20,2908,2448,1652,0,13.028055555555556,460,1256,False,False,False,False,False
946734552,20,2903,2452,1620,0,13.529166666666667,451,1283,False,False,False,False,False
946736355,20,2905,2449,1596,0,14.03,456,1309,False,False,False,False,False
946738159,20,2897,2450,1687,0,14.53111111111111,447,1210,False,False,False,False,False
946739963,20,2901,2451,1588,0,15.032222222222222,450,1313,False,False,False,False,False
946741767,20,2905,2456,1609,0,15.533333333333333,449,1296,False,False,False,False,False
946743571,20,2900,2446,1669,0,16.034444444444443,454,1231,False,False,False,False,False
946745375,20,2907,2448,1662,0,16.535555555555554,459,1245,False,False,False,False,False
946747178,20,2905,2456,1648,0,17.03638888888889,449,1257,False,False,False,False,False
946748982,20,2901,2450,1715,0,17.5375,451,1186,False,False,False,False,False
946750786,20,2903,2448,1614,0,18.038611111111113,455,1289,False,False,False,False,False
946752590,20,2905,2448,1723,0,18.539722222222224,457,1182,False,False,False,False,False
946754394,20,2895,2448,1618,0,19.04083333333333,447,1277,False,False,False,False,False
946756198,20,2899,2448,1640,0,19.541944444444443,451,1259,False,False,False,False,False
946758002,20,2896,2442,1654,0,20.043055555555554,454,1242,False,False,False,False,False
946759805,20,2897,2451,1618,0,20.54388888888889,446,1279,False,False,False,False,False
946761609,20,2897,2446,1577,0,21.045,451,1320,False,False,False,False,False
946763413,20,2901,2440,1675,0,21.54611111111111,461,1226,False,False,False,False,False
946765217,20,2900,2444,1566,0,22.04722222222222,456,1334,False,False,False,False,False
946767021,20,2898,2448,1732,0,22.548333333333332,450,1166,False,False,False,False,False
946768825,20,2892,2440,1649,0,23.049444444444443,452,1243,False,False,False,False,False
946770629,20,2891,2444,1650,0,23.550555555555555,447,1241,False,False,False,False,False
946772432,20,2905,2441,1574,0,24.051388888888887,464,1331,False,False,False,False,False
946774236,20,2898,2442,1704,0,24.5525,456,1194,False,False,False,False,False
946776040,20,2898,2440,1640,0,25.05361111111111,458,1258,False,False,False,False,False
946777844,20,2896,2442,1643,0,25.55472222222222,454,1253,False,False,False,False,False
946779648,20,2896,2437,1682,0,26.055833333333332,459,1214,False,False,False,False,False
946781452,20,2890,2437,1712,0,26.556944444444444,453,1178,False,False,False,False,False
946783255,20,2891,2432,1644,0,27.057777777777776,459,1247,False,False,False,False,False
946785059,20,2890,2431,1737,0,27.558888888888887,459,1153,False,False,False,False,False
946786863,20,2892,2435,1653,0,28.06,457,1239,False,False,False,False,False
946788667,20,2885,2430,1691,0,28.56111111111111,455,1194,False,False,False,False,False
946790471,20,2890,2429,1630,0,29.06222222222222,461,1260,False,False,False,False,False
946792275,20,2881,2421,1674,0,29.563333333333333,460,1207,False,False,False,False,False
946794079,20,2868,2425,1664,0,30.064444444444444,443,1204,False,False,False,False,False
946795883,20,2880,2420,1669,0,30.565555555555555,460,1211,False,False,False,False,False
946797686,20,2877,2422,1672,0,31.066388888888888,455,1205,False,False,False,False,False
946799490,20,2878,2422,1690,0,31.5675,456,1188,False,False,False,False,False
946801294,20,2871,2420,1574,0,32.06861111111111,451,1297,False,False,False,False,False
946803098,20,2874,2417,1567,0,32.569722222222225,457,1307,False,False,False,False,False
946804902,20,2874,2409,1587,0,33.07083333333333,465,1287,False,False,False,False,False
946806706,20,2874,2415,1685,0,33.57194444444445,459,1189,False,False,False,False,False
946808510,20,2870,2409,1609,0,34.073055555555555,461,1261,False,False,False,False,False
946810314,20,2869,2404,1655,0,34.57416666666666,465,1214,False,False,False,False,False
946812118,20,2862,2403,1509,0,35.07527777777778,459,1353,False,False,False,False,False
946813922,20,2861,2399,1631,0,35.576388888888886,462,1230,False,False,False,False,False
946815725,20,2865,2397,1621,0,36.077222222222225,468,1244,False,False,False,False,False
946817529,20,2867,2396,1634,0,36.57833333333333,471,1233,False,False,False,False,False
946819333,20,2862,2390,1608,0,37.07944444444445,472,1254,False,False,False,False,False
946821137,20,2849,2388,1601,0,37.580555555555556,461,1248,False,False,False,False,False
946822941,20,2846,2385,1572,0,38.08166666666666,461,1274,False,False,False,False,False
946824745,20,2853,2375,1604,0,38.58277777777778,478,1249,False,False,False,False,False
946826549,20,2840,2370,1530,0,39.083888888888886,470,1310,False,False,False,False,False
946828353,20,2842,2371,1588,0,39.585,471,1254,False,False,False,False,False
946830157,20,2836,2364,1590,0,40.08611111111111,472,1246,False,False,False,False,False
946831961,20,2826,2354,1588,0,40.58722222222222,472,1238,False,False,False,False,False
946833765,20,2823,2354,1506,0,41.08833333333333,469,1317,False,False,False,False,False
946835569,20,2827,2345,1554,0,41.589444444444446,482,1273,False,False,False,False,False
946837373,20,2820,2335,1563,0,42.090555555555554,485,1257,False,False,False,False,False
946839177,20,2814,2335,1545,0,42.59166666666667,479,1269,False,False,False,False,False
946840981,20,2813,2326,1549,0,43.092777777777776,487,1264,False,False,False,False,False
946842785,20,2812,2321,1518,0,43.59388888888889,491,1294,False,False,False,False,False
946844589,20,2799,2306,1497,0,44.095,493,1302,False,False,False,False,False
946846393,20,2798,2304,1549,0,44.596111111111114,494,1249,False,False,False,False,False
946848197,20,2783,2283,1503,0,45.09722222222222,500,1280,False,False,False,False,False
946850001,20,2781,2276,1509,0,45.598333333333336,505,1272,False,False,False,False,False
946851805,20,2773,2263,1455,0,46.099444444444444,510,1318,False,False,False,False,False
946853609,20,2769,2246,1535,0,46.60055555555556,523,1234,False,False,False,False,False
946855413,20,2759,2242,1473,0,47.10166666666667,517,1286,False,False,False,False,False
946857218,20,2747,2232,1490,0,47.60305555555556,515,1257,False,False,False,False,False
946859022,20,2742,2216,1436,0,48.104166666666664,526,1306,False,False,False,False,False
946860826,20,2738,2198,1439,0,48.60527777777778,540,1299,False,False,False,False,False
946862630,20,2733,2196,1388,0,49.10638888888889,537,1345,False,False,False,False,False
946864434,20,2722,2182,1451,0,49.6075,540,1271,False,False,False,False,False
946866239,20,2710,2161,1349,0,50.10888888888889,549,1361,False,False,False,False,False
946868043,20,2702,2150,1434,0,50.61,552,1268,False,False,False,False,False
946869847,20,2698,2129,1352,0,51.111111111111114,569,1346,False,False,False,False,False
946871651,20,2694,2115,1379,0,51.61222222222222,579,1315,False,False,False,False,False
946873456,20,2674,2087,1324,0,52.11361111111111,587,1350,False,False,False,False,False
946875260,20,2668,2085,1350,0,52.61472222222222,583,1318,False,False,False,False,False
946877064,20,2660,2053,1226,0,53.115833333333335,607,1434,False,False,False,False,False
946878869,20,2649,2027,1314,0,53.617222222222225,622,1335,False,False,False,False,False
946880673,20,2626,1998,1230,0,54.11833333333333,628,1396,False,False,False,False,False
946882478,20,2625,1958,1222,0,54.61972222222222,667,1403,False,False,False,False,False
946884282,20,2604,1922,1131,0,55.12083333333333,682,1473,False,False,False,False,False
946886087,20,2589,1878,1190,0,55.62222222222222,711,1399,False,False,False,False,False
946887891,20,2585,1821,1096,0,56.123333333333335,764,1489,False,False,False,False,False
946889696,20,2552,1595,1047,0,56.624722222222225,957,1505,False,False,False,False,False
946891501,20,2539,1514,1007,0,57.12611111111111,1025,1532,False,False,False,False,False
946893305,20,2507,1431,989,0,57.62722222222222,1076,1518,False,False,False,False,False
946895110,20,2487,1025,978,0,58.12861111111111,1462,1509,False,False,False,False,False
946896915,20,2462,1039,963,0,58.63,1423,1499,False,False,False,False,False
946898720,20,2430,1013,951,0,59.131388888888885,1417,1479,False,False,False,False,False
946900525,20,2384,1008,943,4,59.632777777777775,1376,1441,False,False,True,False,False
946902329,20,2313,994,915,0,60.13388888888889,1319,1398,False,False,False,False,False
946904134,20,2189,1232,893,4,60.63527777777778,957,1296,False,False,True,False,False
946905939,20,2042,994,841,4,61.13666666666666,1048,1201,False,False,True,False,False
946907744,20,1929,872,808,4,61.63805555555555,1057,1121,False,False,True,False,False
