timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685808,-7,3196,2113,1065,0,51,0.0,1083,2131,3,3,False,False,False,False,False
946687613,-8,2856,1432,1049,0,51,0.5013888888888889,1424,1807,3,3,False,False,False,False,False
946689418,-8,2819,1026,1038,4,51,1.0027777777777778,1793,1781,3,3,False,False,True,False,False
946691223,-8,2806,1045,1048,4,51,1.5041666666666667,1761,1758,3,3,False,False,True,False,False
946693027,-8,2805,1414,1046,0,51,2.0052777777777777,1391,1759,3,3,False,False,False,False,False
946694832,-8,2805,1443,1048,0,51,2.506666666666667,1362,1757,3,3,False,False,False,False,False
946696637,-8,2794,1031,1005,4,51,3.0080555555555555,1763,1789,3,3,False,False,True,False,False
946698442,-8,2797,1030,1041,4,51,3.5094444444444446,1767,1756,3,3,False,False,True,False,False
946700246,-8,2797,1040,1032,4,51,4.010555555555555,1757,1765,3,3,False,False,True,False,False
946702051,-8,2793,1037,1037,4,51,4.5119444444444445,1756,1756,3,3,False,False,True,False,False
946703856,-8,2784,1039,1029,0,51,5.013333333333334,1745,1755,3,3,False,False,False,False,False
946705661,-8,2788,1030,1034,0,51,5.514722222222222,1758,1754,3,3,False,False,False,False,False
946707465,-8,2779,1031,1025,0,51,6.015833333333333,1748,1754,3,3,False,False,False,False,False
946709270,-9,2780,1039,1031,0,51,6.517222222222222,1741,1749,3,3,False,False,False,False,False
946711075,-8,2781,1057,1029,0,51,7.018611111111111,1724,1752,3,3,False,False,False,False,False
946712880,-9,2776,1043,1036,0,51,7.52,1733,1740,3,3,False,False,False,False,False
946714685,-8,2783,1402,1031,0,51,8.02138888888889,1381,1752,3,3,False,False,False,False,False
946716489,-8,2779,1053,1036,0,51,8.5225,1726,1743,3,3,False,False,False,False,False
946718294,-8,2774,1452,1032,0,51,9.023888888888889,1322,1742,3,3,False,False,False,False,False
946720099,-8,2778,1445,1038,0,51,9.525277777777777,1333,1740,3,3,False,False,False,False,False
946721904,-8,2770,1448,1030,0,51,10.026666666666667,1322,1740,3,3,False,False,False,False,False
946723708,-8,2770,1449,1036,0,51,10.527777777777779,1321,1734,3,3,False,False,False,False,False
946725513,-8,2770,1448,1029,0,51,11.029166666666667,1322,1741,3,3,False,False,False,False,False
946727318,-8,2775,1421,1038,0,51,11.530555555555555,1354,1737,3,3,False,False,False,False,False
946729123,-8,2764,1401,1031,0,51,12.031944444444445,1363,1733,3,3,False,False,False,False,False
946730927,-8,2776,1380,1038,0,51,12.533055555555556,1396,1738,3,3,False,False,False,False,False
946732732,-8,2764,1081,1030,0,51,13.034444444444444,1683,1734,3,3,False,False,False,False,False
946734537,-8,2767,1060,1038,0,51,13.535833333333333,1707,1729,3,3,False,False,False,False,False
946736342,-8,2766,1039,1028,0,51,14.037222222222223,1727,1738,3,3,False,False,False,False,False
946738147,-8,2761,1047,1038,0,51,14.538611111111111,1714,1723,3,3,False,False,False,False,False
946739951,-8,2764,1034,1029,4,51,15.039722222222222,1730,1735,3,3,False,False,True,False,False
946741756,-8,2765,1045,1032,4,51,15.54111111111111,1720,1733,3,3,False,False,True,False,False
946743561,-8,2758,1036,1026,4,51,16.0425,1722,1732,3,3,False,False,True,False,False
946745366,-8,2755,1034,1030,4,51,16.54388888888889,1721,1725,3,3,False,False,True,False,False
946747170,-8,2752,1041,1024,4,51,17.045,1711,1728,3,3,False,False,True,False,False
946748975,-8,2752,1038,1030,0,51,17.546388888888888,1714,1722,3,3,False,False,False,False,False
946750780,-8,2756,1031,1022,4,51,18.047777777777778,1725,1734,3,3,False,False,True,False,False
946752585,-8,2748,1022,1031,4,51,18.549166666666668,1726,1717,3,3,False,False,True,False,False
946754389,-8,2748,1046,1021,0,51,19.05027777777778,1702,1727,3,3,False,False,False,False,False
946756194,-8,2746,1033,1028,0,51,19.551666666666666,1713,1718,3,3,False,False,False,False,False
946757999,-8,2747,1032,1019,0,51,20.053055555555556,1715,1728,3,3,False,False,False,False,False
946759804,-8,2736,1025,1026,0,51,20.554444444444446,1711,1710,3,3,False,False,False,False,False
946761609,-8,2741,1032,1018,4,51,21.055833333333332,1709,1723,3,3,False,False,True,False,False
946763413,-8,2742,1044,1024,0,51,21.556944444444444,1698,1718,3,3,False,False,False,False,False
946765218,-8,2742,1036,1017,4,51,22.058333333333334,1706,1725,3,3,False,False,True,False,False
946767023,-8,2735,1031,1020,0,51,22.559722222222224,1704,1715,3,3,False,False,False,False,False
946768828,-8,2733,1050,1015,0,51,23.06111111111111,1683,1718,3,3,False,False,False,False,False
946770632,-8,2727,1034,1020,4,51,23.56222222222222,1693,1707,3,3,False,False,True,False,False
946772437,-8,2729,1024,1012,0,51,24.06361111111111,1705,1717,3,3,False,False,False,False,False
946774242,-8,2719,1033,1016,0,51,24.565,1686,1703,3,3,False,False,False,False,False
946776047,-8,2722,1022,1011,4,51,25.066388888888888,1700,1711,3,3,False,False,True,False,False
946777851,-8,2725,1026,1017,0,51,25.5675,1699,1708,3,3,False,False,False,False,False
946779656,-8,2717,1042,1007,4,51,26.06888888888889,1675,1710,3,3,False,False,True,False,False
946781461,-8,2715,1027,1015,0,51,26.57027777777778,1688,1700,3,3,False,False,False,False,False
946783266,-8,2707,1026,1007,4,51,27.071666666666665,1681,1700,3,3,False,False,True,False,False
946785071,-8,2708,1033,1008,0,51,27.573055555555555,1675,1700,3,3,False,False,False,False,False
946786875,-8,2702,1029,1007,4,51,28.074166666666667,1673,1695,3,3,False,False,True,False,False
946788680,-8,2696,1030,1011,0,51,28.575555555555557,1666,1685,3,3,False,False,False,False,False
946790485,-8,2698,1027,1003,0,51,29.076944444444443,1671,1695,3,3,False,False,False,False,False
946792290,-8,2683,1024,1008,0,51,29.578333333333333,1659,1675,3,3,False,False,False,False,False
946794094,-8,2688,1018,996,0,51,30.079444444444444,1670,1692,3,3,False,False,False,False,False
946795899,-8,2680,1017,1003,0,34,30.580833333333334,1663,1677,2,2,False,False,False,False,False
946797704,-8,2677,1021,994,0,34,31.08222222222222,1656,1683,2,2,False,False,False,False,False
946799509,-8,2674,1027,1000,0,34,31.58361111111111,1647,1674,2,2,False,False,False,False,False
946801313,-8,2664,1015,989,0,34,32.084722222222226,1649,1675,2,2,False,False,False,False,False
946803118,-8,2658,1011,993,0,34,32.58611111111111,1647,1665,2,2,False,False,False,False,False
946804923,-8,2653,1013,986,0,34,33.0875,1640,1667,2,2,False,False,False,False,False
946806728,-8,2642,1023,991,0,34,33.58888888888889,1619,1651,2,2,False,False,False,False,False
946808532,-8,2642,1013,980,0,34,34.09,1629,1662,2,2,False,False,False,False,False
