subfolder,device,temp_mode_C,temp_group_C,time_at_low_batt_hours,batt_mV__value,batt_mV__d1_per_hour,batt_mV__d2_per_hour2,batt_mV__noise_std,batt_mV__spearman_pre_low,soundDroop_mV__value,soundDroop_mV__d1_per_hour,soundDroop_mV__d2_per_hour2,soundDroop_mV__noise_std,soundDroop_mV__spearman_pre_low,boltDroop_mV__value,boltDroop_mV__d1_per_hour,boltDroop_mV__d2_per_hour2,boltDroop_mV__noise_std,boltDroop_mV__spearman_pre_low,soundDroopMag_mV__value,soundDroopMag_mV__d1_per_hour,soundDroopMag_mV__d2_per_hour2,soundDroopMag_mV__noise_std,soundDroopMag_mV__spearman_pre_low,boltDroopMag_mV__value,boltDroopMag_mV__d1_per_hour,boltDroopMag_mV__d2_per_hour2,boltDroopMag_mV__noise_std,boltDroopMag_mV__spearman_pre_low
tenergy,BE-7,20.0,20,60.118611111111115,2619.0,-19.946811022452493,-8.942214721240337,27.117281183324966,-0.9374817367391676,1897.0,-128.64792064712447,-127.30010213411695,206.42862086010282,-0.9903683857628456,971.0,-70.84561783470815,1.9958260308510347,49.05889837943859,-0.975207675621424,722.0,108.70110962467197,118.35788741287627,181.72731309995922,0.956767133708998,1648.0,50.898806812255316,-10.938040752091826,27.974478164416734,0.964676155493023
amazon,BE-3,20.0,20,53.61527777777778,2674.0,-20.942659045429536,3.980074750777707,24.71387282892104,-0.9287054315492329,1862.0,-123.61450728841851,123.38231727414342,176.73547626729777,-0.9947404629381126,1219.0,-39.03818222530458,-102.48692483255121,78.6410081526509,-0.834997477630073,812.0,102.67184824298909,-119.40224252336525,154.75391920789625,0.9452207658160027,1455.0,18.095523179875272,106.46699958332958,61.159877470813306,0.6505445002175957
enegitech,BE-4,20.0,20,54.61083333333333,2465.0,-48.86426592797807,-19.919950478084623,81.52200153758417,-0.9450466894289098,961.0,-11.966759002770004,82.4845748867317,143.6034790096447,-0.958297833929647,931.0,-42.880886426592724,-13.937157303899468,50.30762509657102,-0.9070609345680213,1504.0,-36.897506925207836,-102.40452536481644,129.75329809814832,0.9392700223449351,1534.0,-5.983379501385116,-5.982793174185263,33.01267536407611,0.8954425165221549
level,BE-1,20.0,20,58.13194444444444,2725.0,-30.923250803284645,0.9950186876948983,18.35700389052458,-0.9353733880111867,2018.0,-68.80859315616885,-45.7708596339569,61.69444125391406,-0.7479535420526218,1135.0,-83.94531725363754,8.955168189256298,90.1787340875478,-0.2383475986156883,707.0,37.88534235288432,46.76587832165225,43.88900657293559,0.549905392906342,1590.0,53.02206645035267,-7.9601495015611725,81.46415262718509,-0.18110155106359213
energizer,BE-2,20.0,20,57.135,2438.0,-71.81603760038024,-44.739736215868,104.27142759282093,-0.9574444697942552,1413.0,-378.97172020412927,21.770010516246458,283.6511942509673,-0.8292461618265372,934.0,-14.941037073860798,-20.888775831873364,36.27558913852315,-0.5402605191900837,1025.0,307.1556826037489,-66.50974673211446,191.84581394059816,0.6488925619711252,1504.0,-56.87500052651967,-23.850960383994863,70.14969416780615,0.10538505400449696
tenergy,BE-7,-8.0,-8,42.11083333333333,2658.0,-16.952908587257753,-11.941880925546267,20.982986305235826,-0.9896240738948606,1545.0,-627.2576177285304,-108.83990491061749,294.8732000057527,-0.9001807798891399,917.0,-8.97506925207756,-1.9938973959233106,13.014905113063284,-0.9979379535516343,1113.0,610.304709141273,96.89802398507169,290.2258796601189,0.804778542703294,1741.0,-7.977839335180079,-9.947983529622503,8.139096876139496,-0.20199878554960626
amazon,BE-3,-8.0,-8,40.605555555555554,2678.0,-18.948751846667165,-3.975666833492344,18.3914354512959,-0.9758952785550005,1009.0,-28.92823802811847,13.935771753389444,10.555973258234951,-0.9664259370390648,977.0,-11.96012646335896,1.9949962441614666,12.623269733928296,-0.9240954248161046,1669.0,9.979486181451193,-17.911438586881335,12.613565745510924,0.8382458608913802,1701.0,-6.98862538330809,-5.97066307765347,8.08374534331149,-0.764947433512716
duracell,BE-1,-8.0,-8,38.60194444444444,2547.0,-32.913841272833,-15.90514020213509,36.18771919323134,-0.9969015239904089,989.0,-14.967570907570234,7.960149806963333,10.688540497148509,-0.7822836990353161,950.0,-8.963737783192755,-2.9922193486078967,13.844618788097963,-0.9156519660300318,1558.0,-17.94627036526299,-23.865290009098416,26.168995520092327,-0.34123732268435536,1597.0,-23.95010348964047,-12.912920853526622,24.04672322706742,-0.9893758455235314
enegitech,BE-4,-8.0,-8,34.58972222222222,2541.0,-30.91412742382272,-6.9549336299668845,31.34925055251053,-0.9888675898667414,1021.0,-18.9473684210526,-0.014332680258938524,11.623340346747424,-0.9954333111968571,975.0,-24.930747922437604,-7.945818043429529,24.45654204869511,-0.978662351664609,1520.0,-11.966759002770004,-6.940600949707832,21.49228622894593,0.9433285510769589,1566.0,-5.983379501385116,0.9908844134624184,7.395530917454163,0.2032287419409926
energizer,BE-2,-8.0,-8,41.1075,2380.0,-163.6208981265886,-86.58537070156326,130.26660260827424,-0.9955340079818028,2253.0,-204.5269518405389,-1401.9118005179407,395.93495652179837,-0.714090045402536,949.0,-78.82124662975787,-4.9745446248266525,40.429328614817464,-0.9621492103044478,127.0,40.906053713950385,1315.3264298163774,440.96304625587993,0.5475069688177412,1431.0,-84.79965149683062,-81.6108260767366,92.53416357525165,-0.9181403943550066
