timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687094,5,3154,3006,2865,0,51,0.0,148,289,3,3,False,False,False,False,False
946688898,0,2907,2672,2476,0,51,0.5011111111111111,235,431,3,3,False,False,False,False,False
946690701,0,2863,2617,2380,0,51,1.0019444444444445,246,483,3,3,False,False,False,False,False
946692505,0,2860,2603,2381,0,51,1.5030555555555556,257,479,3,3,False,False,False,False,False
946694308,0,2853,2597,2375,0,51,2.003888888888889,256,478,3,3,False,False,False,False,False
946696112,0,2857,2611,2397,0,51,2.505,246,460,3,3,False,False,False,False,False
946697916,0,2853,2605,2385,0,51,3.006111111111111,248,468,3,3,False,False,False,False,False
946699719,0,2843,2611,2393,0,51,3.5069444444444446,232,450,3,3,False,False,False,False,False
946701523,0,2851,2603,2389,0,51,4.008055555555556,248,462,3,3,False,False,False,False,False
946703326,0,2843,2606,2399,0,51,4.5088888888888885,237,444,3,3,False,False,False,False,False
946705130,0,2845,2600,2383,0,51,5.01,245,462,3,3,False,False,False,False,False
946706934,0,2842,2605,2394,0,51,5.511111111111111,237,448,3,3,False,False,False,False,False
946708737,0,2836,2595,2376,0,51,6.0119444444444445,241,460,3,3,False,False,False,False,False
946710541,0,2839,2614,2393,0,51,6.513055555555556,225,446,3,3,False,False,False,False,False
946712344,0,2836,2599,2384,0,51,7.013888888888889,237,452,3,3,False,False,False,False,False
946714148,0,2840,2601,2395,0,51,7.515,239,445,3,3,False,False,False,False,False
946715951,0,2839,2599,2389,0,51,8.015833333333333,240,450,3,3,False,False,False,False,False
946717755,0,2837,2594,2377,0,51,8.516944444444444,243,460,3,3,False,False,False,False,False
946719559,0,2831,2595,2388,0,51,9.018055555555556,236,443,3,3,False,False,False,False,False
946721362,0,2837,2601,2398,0,51,9.518888888888888,236,439,3,3,False,False,False,False,False
946723166,0,2845,2594,2390,0,51,10.02,251,455,3,3,False,False,False,False,False
946724969,0,2841,2607,2392,0,51,10.520833333333334,234,449,3,3,False,False,False,False,False
946726773,0,2835,2596,2389,0,51,11.021944444444445,239,446,3,3,False,False,False,False,False
946728577,0,2837,2602,2394,0,51,11.523055555555555,235,443,3,3,False,False,False,False,False
946730380,0,2836,2600,2384,0,51,12.023888888888889,236,452,3,3,False,False,False,False,False
946732184,0,2837,2603,2399,0,51,12.525,234,438,3,3,False,False,False,False,False
946733987,0,2835,2597,2374,0,51,13.025833333333333,238,461,3,3,False,False,False,False,False
946735791,0,2836,2599,2386,0,51,13.526944444444444,237,450,3,3,False,False,False,False,False
946737595,0,2836,2599,2375,0,51,14.028055555555556,237,461,3,3,False,False,False,False,False
946739398,0,2837,2603,2386,0,51,14.528888888888888,234,451,3,3,False,False,False,False,False
946741202,0,2831,2592,2383,0,51,15.03,239,448,3,3,False,False,False,False,False
946743005,0,2837,2593,2375,0,51,15.530833333333334,244,462,3,3,False,False,False,False,False
946744809,0,2840,2601,2371,0,51,16.031944444444445,239,469,3,3,False,False,False,False,False
946746613,0,2838,2583,2372,0,51,16.533055555555556,255,466,3,3,False,False,False,False,False
946748416,0,2832,2586,2374,0,51,17.03388888888889,246,458,3,3,False,False,False,False,False
946750220,0,2837,2590,2361,0,51,17.535,247,476,3,3,False,False,False,False,False
946752023,0,2836,2590,2374,0,51,18.035833333333333,246,462,3,3,False,False,False,False,False
946753827,0,2828,2594,2383,0,51,18.536944444444444,234,445,3,3,False,False,False,False,False
