timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685823,25,3240,3075,3006,0,51,0.0,165,234,3,3,False,False,False,False,False
946687627,20,2955,2706,2632,0,51,0.5011111111111111,249,323,3,3,False,False,False,False,False
946689431,19,2911,2701,2613,0,51,1.0022222222222221,210,298,3,3,False,False,False,False,False
946691234,19,2892,2700,2636,0,51,1.5030555555555556,192,256,3,3,False,False,False,False,False
946693038,19,2893,2715,2636,0,51,2.004166666666667,178,257,3,3,False,False,False,False,False
946694841,19,2888,2715,2660,0,51,2.505,173,228,3,3,False,False,False,False,False
946696645,19,2896,2722,2648,0,51,3.006111111111111,174,248,3,3,False,False,False,False,False
946698448,19,2896,2720,2662,0,51,3.5069444444444446,176,234,3,3,False,False,False,False,False
946700252,19,2882,2723,2646,0,51,4.008055555555556,159,236,3,3,False,False,False,False,False
946702055,19,2883,2717,2662,0,51,4.5088888888888885,166,221,3,3,False,False,False,False,False
946703859,19,2888,2720,2650,0,51,5.01,168,238,3,3,False,False,False,False,False
946705662,19,2881,2715,2658,0,51,5.510833333333333,166,223,3,3,False,False,False,False,False
946707466,19,2883,2719,2649,0,51,6.0119444444444445,164,234,3,3,False,False,False,False,False
946709269,19,2877,2719,2662,0,51,6.512777777777778,158,215,3,3,False,False,False,False,False
946711073,19,2888,2719,2648,0,51,7.013888888888889,169,240,3,3,False,False,False,False,False
946712876,19,2878,2710,2659,0,51,7.514722222222222,168,219,3,3,False,False,False,False,False
946714680,19,2881,2710,2648,0,51,8.015833333333333,171,233,3,3,False,False,False,False,False
946716483,19,2889,2706,2659,0,51,8.516666666666667,183,230,3,3,False,False,False,False,False
946718287,19,2884,2712,2648,0,51,9.017777777777777,172,236,3,3,False,False,False,False,False
946720090,19,2886,2702,2661,0,51,9.518611111111111,184,225,3,3,False,False,False,False,False
946721894,19,2884,2713,2649,0,51,10.019722222222223,171,235,3,3,False,False,False,False,False
946723697,19,2874,2706,2659,0,51,10.520555555555555,168,215,3,3,False,False,False,False,False
946725501,19,2882,2712,2650,0,51,11.021666666666667,170,232,3,3,False,False,False,False,False
946727304,19,2882,2711,2661,0,51,11.5225,171,221,3,3,False,False,False,False,False
946729108,19,2885,2715,2648,0,51,12.02361111111111,170,237,3,3,False,False,False,False,False
946730911,19,2884,2706,2664,0,51,12.524444444444445,178,220,3,3,False,False,False,False,False
946732715,19,2896,2712,2650,0,51,13.025555555555556,184,246,3,3,False,False,False,False,False
946734518,19,2888,2712,2665,0,51,13.526388888888889,176,223,3,3,False,False,False,False,False
946736322,19,2882,2707,2649,0,51,14.0275,175,233,3,3,False,False,False,False,False
946738125,19,2882,2713,2670,0,51,14.528333333333334,169,212,3,3,False,False,False,False,False
946739928,19,2888,2719,2655,0,51,15.029166666666667,169,233,3,3,False,False,False,False,False
946741732,19,2883,2715,2666,0,51,15.530277777777778,168,217,3,3,False,False,False,False,False
946743535,19,2886,2715,2651,0,51,16.031111111111112,171,235,3,3,False,False,False,False,False
946745339,19,2883,2716,2671,0,51,16.532222222222224,167,212,3,3,False,False,False,False,False
946747142,19,2890,2712,2653,0,51,17.033055555555556,178,237,3,3,False,False,False,False,False
946748946,19,2888,2711,2667,0,51,17.534166666666668,177,221,3,3,False,False,False,False,False
946750749,19,2885,2715,2653,0,51,18.035,170,232,3,3,False,False,False,False,False
946752553,19,2880,2717,2670,0,51,18.53611111111111,163,210,3,3,False,False,False,False,False
946754356,19,2894,2717,2652,0,51,19.036944444444444,177,242,3,3,False,False,False,False,False
946756160,19,2888,2715,2670,0,51,19.538055555555555,173,218,3,3,False,False,False,False,False
946757963,19,2880,2716,2651,0,51,20.038888888888888,164,229,3,3,False,False,False,False,False
946759767,19,2883,2712,2664,0,51,20.54,171,219,3,3,False,False,False,False,False
946761570,19,2884,2706,2649,0,51,21.04083333333333,178,235,3,3,False,False,False,False,False
946763374,19,2882,2711,2666,0,51,21.541944444444443,171,216,3,3,False,False,False,False,False
946765177,19,2874,2715,2653,0,51,22.04277777777778,159,221,3,3,False,False,False,False,False
946766980,19,2876,2706,2669,0,51,22.54361111111111,170,207,3,3,False,False,False,False,False
946768784,19,2879,2713,2646,0,51,23.044722222222223,166,233,3,3,False,False,False,False,False
946770587,19,2874,2707,2662,0,51,23.545555555555556,167,212,3,3,False,False,False,False,False
946772391,19,2879,2707,2645,0,51,24.046666666666667,172,234,3,3,False,False,False,False,False
946774194,19,2879,2705,2667,0,51,24.5475,174,212,3,3,False,False,False,False,False
946775998,19,2878,2707,2645,0,51,25.04861111111111,171,233,3,3,False,False,False,False,False
946777801,19,2875,2702,2658,0,51,25.549444444444443,173,217,3,3,False,False,False,False,False
946779605,19,2875,2697,2641,0,51,26.050555555555555,178,234,3,3,False,False,False,False,False
946781408,19,2870,2700,2653,0,51,26.551388888888887,170,217,3,3,False,False,False,False,False
