timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946688307,39,3184,3123,3094,0,51,0.0,61,90,3,3,False,False,False,False,False
946690111,39,3044,2975,2967,0,51,0.5011111111111111,69,77,3,3,False,False,False,False,False
946691914,39,3004,2936,2917,0,51,1.0019444444444445,68,87,3,3,False,False,False,False,False
946693718,39,2994,2929,2916,0,51,1.5030555555555556,65,78,3,3,False,False,False,False,False
946695521,38,2991,2921,2913,0,51,2.003888888888889,70,78,3,3,False,False,False,False,False
946697324,39,2979,2921,2903,0,51,2.504722222222222,58,76,3,3,False,False,False,False,False
946699128,38,2978,2920,2892,0,51,3.0058333333333334,58,86,3,3,False,False,False,False,False
946700931,38,2979,2919,2906,0,51,3.506666666666667,60,73,3,3,False,False,False,False,False
946702735,38,2971,2917,2891,0,51,4.007777777777778,54,80,3,3,False,False,False,False,False
946704538,38,2976,2915,2903,0,51,4.508611111111111,61,73,3,3,False,False,False,False,False
946706342,38,2964,2914,2895,0,51,5.009722222222222,50,69,3,3,False,False,False,False,False
946708145,38,2972,2910,2902,0,51,5.510555555555555,62,70,3,3,False,False,False,False,False
946709948,38,2978,2909,2898,0,51,6.011388888888889,69,80,3,3,False,False,False,False,False
946711752,38,2969,2904,2897,0,51,6.5125,65,72,3,3,False,False,False,False,False
946713555,38,2973,2904,2892,0,51,7.013333333333334,69,81,3,3,False,False,False,False,False
946715359,38,2969,2904,2892,0,51,7.514444444444444,65,77,3,3,False,False,False,False,False
946717162,39,2964,2908,2896,0,51,8.015277777777778,56,68,3,3,False,False,False,False,False
946718966,38,2969,2904,2898,0,51,8.516388888888889,65,71,3,3,False,False,False,False,False
946720769,39,2964,2906,2892,0,51,9.017222222222221,58,72,3,3,False,False,False,False,False
946722572,38,2970,2904,2892,0,51,9.518055555555556,66,78,3,3,False,False,False,False,False
946724376,38,2972,2904,2892,0,51,10.019166666666667,68,80,3,3,False,False,False,False,False
946726179,38,2967,2907,2892,0,51,10.52,60,75,3,3,False,False,False,False,False
946727983,38,2964,2904,2894,0,51,11.02111111111111,60,70,3,3,False,False,False,False,False
946729786,38,2967,2904,2892,0,51,11.521944444444445,63,75,3,3,False,False,False,False,False
946731589,38,2964,2900,2892,0,51,12.022777777777778,64,72,3,3,False,False,False,False,False
946733393,38,2972,2906,2892,0,51,12.523888888888889,66,80,3,3,False,False,False,False,False
946735196,38,2975,2909,2885,0,51,13.024722222222222,66,90,3,3,False,False,False,False,False
946737000,38,2968,2905,2889,0,51,13.525833333333333,63,79,3,3,False,False,False,False,False
946738803,38,2959,2906,2891,0,51,14.026666666666667,53,68,3,3,False,False,False,False,False
946740607,38,2970,2904,2892,0,51,14.527777777777779,66,78,3,3,False,False,False,False,False
946742410,38,2969,2906,2893,0,51,15.028611111111111,63,76,3,3,False,False,False,False,False
946744214,38,2972,2907,2890,0,51,15.529722222222222,65,82,3,3,False,False,False,False,False
946746017,38,2972,2907,2891,0,51,16.030555555555555,65,81,3,3,False,False,False,False,False
946747820,38,2972,2908,2897,0,51,16.531388888888888,64,75,3,3,False,False,False,False,False
946749624,38,2982,2907,2889,0,51,17.0325,75,93,3,3,False,False,False,False,False
946751427,38,2970,2907,2892,0,51,17.533333333333335,63,78,3,3,False,False,False,False,False
946753231,38,2980,2903,2891,0,51,18.034444444444443,77,89,3,3,False,False,False,False,False
946755034,38,2967,2905,2891,0,51,18.53527777777778,62,76,3,3,False,False,False,False,False
946756837,38,2968,2906,2887,0,51,19.03611111111111,62,81,3,3,False,False,False,False,False
946758641,38,2970,2907,2890,0,51,19.537222222222223,63,80,3,3,False,False,False,False,False
946760444,38,2964,2904,2893,0,51,20.038055555555555,60,71,3,3,False,False,False,False,False
946762248,38,2976,2904,2890,0,51,20.539166666666667,72,86,3,3,False,False,False,False,False
