timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687720,36,3117,3041,3015,0,51,0.0,76,102,3,3,False,False,False,False,False
946689524,38,2967,2897,2876,0,51,0.5011111111111111,70,91,3,3,False,False,False,False,False
946691327,39,2956,2870,2854,0,51,1.0019444444444445,86,102,3,3,False,False,False,False,False
946693130,39,2941,2869,2851,0,51,1.5027777777777778,72,90,3,3,False,False,False,False,False
946694934,39,2954,2868,2847,0,51,2.003888888888889,86,107,3,3,False,False,False,False,False
946696737,39,2942,2863,2848,0,51,2.504722222222222,79,94,3,3,False,False,False,False,False
946698540,39,2947,2869,2851,0,51,3.0055555555555555,78,96,3,3,False,False,False,False,False
946700344,39,2936,2863,2847,0,51,3.506666666666667,73,89,3,3,False,False,False,False,False
946702147,39,2949,2867,2848,0,51,4.0075,82,101,3,3,False,False,False,False,False
946703950,39,2949,2866,2848,0,51,4.508333333333334,83,101,3,3,False,False,False,False,False
946705754,39,2942,2860,2846,0,51,5.009444444444444,82,96,3,3,False,False,False,False,False
946707557,39,2943,2863,2849,0,51,5.510277777777778,80,94,3,3,False,False,False,False,False
946709360,39,2942,2865,2851,0,51,6.011111111111111,77,91,3,3,False,False,False,False,False
946711163,39,2944,2864,2851,0,51,6.5119444444444445,80,93,3,3,False,False,False,False,False
946712967,39,2948,2868,2850,0,51,7.013055555555556,80,98,3,3,False,False,False,False,False
946714770,39,2942,2861,2848,0,51,7.513888888888889,81,94,3,3,False,False,False,False,False
946716573,39,2942,2868,2851,0,51,8.014722222222222,74,91,3,3,False,False,False,False,False
946718377,39,2950,2866,2849,0,51,8.515833333333333,84,101,3,3,False,False,False,False,False
946720180,39,2946,2865,2851,0,51,9.016666666666667,81,95,3,3,False,False,False,False,False
946721983,39,2936,2870,2852,0,51,9.5175,66,84,3,3,False,False,False,False,False
946723787,39,2953,2860,2844,0,51,10.018611111111111,93,109,3,3,False,False,False,False,False
946725590,39,2950,2869,2847,0,51,10.519444444444444,81,103,3,3,False,False,False,False,False
946727393,39,2948,2869,2845,0,51,11.020277777777778,79,103,3,3,False,False,False,False,False
946729197,39,2947,2870,2850,0,51,11.52138888888889,77,97,3,3,False,False,False,False,False
946731000,39,2950,2871,2850,0,51,12.022222222222222,79,100,3,3,False,False,False,False,False
946732803,39,2948,2861,2852,0,51,12.523055555555555,87,96,3,3,False,False,False,False,False
946734607,39,2952,2869,2853,0,51,13.024166666666666,83,99,3,3,False,False,False,False,False
946736410,39,2954,2868,2853,0,51,13.525,86,101,3,3,False,False,False,False,False
946738213,39,2950,2869,2852,0,51,14.025833333333333,81,98,3,3,False,False,False,False,False
946740017,39,2961,2872,2856,0,51,14.526944444444444,89,105,3,3,False,False,False,False,False
946741820,39,2946,2868,2853,0,51,15.027777777777779,78,93,3,3,False,False,False,False,False
946743623,39,2944,2865,2854,0,51,15.528611111111111,79,90,3,3,False,False,False,False,False
946745427,39,2956,2870,2850,0,51,16.029722222222222,86,106,3,3,False,False,False,False,False
946747230,39,2956,2869,2852,0,51,16.530555555555555,87,104,3,3,False,False,False,False,False
946749033,39,2949,2874,2847,0,51,17.031388888888888,75,102,3,3,False,False,False,False,False
946750836,39,2947,2868,2852,0,51,17.532222222222224,79,95,3,3,False,False,False,False,False
946752640,39,2944,2869,2853,0,51,18.033333333333335,75,91,3,3,False,False,False,False,False
946754443,39,2949,2869,2851,0,51,18.534166666666668,80,98,3,3,False,False,False,False,False
946756246,39,2946,2870,2850,0,51,19.035,76,96,3,3,False,False,False,False,False
946758050,39,2940,2869,2849,0,51,19.53611111111111,71,91,3,3,False,False,False,False,False
946759853,39,2949,2867,2854,0,51,20.036944444444444,82,95,3,3,False,False,False,False,False
946761656,39,2938,2868,2848,0,51,20.537777777777777,70,90,3,3,False,False,False,False,False
946763460,39,2948,2871,2851,0,51,21.038888888888888,77,97,3,3,False,False,False,False,False
946765263,39,2943,2865,2848,0,51,21.539722222222224,78,95,3,3,False,False,False,False,False
946767066,39,2946,2860,2849,0,51,22.040555555555557,86,97,3,3,False,False,False,False,False
946768870,39,2949,2865,2849,0,51,22.541666666666668,84,100,3,3,False,False,False,False,False
946770673,39,2947,2869,2848,0,51,23.0425,78,99,3,3,False,False,False,False,False
946772476,39,2946,2866,2852,0,51,23.543333333333333,80,94,3,3,False,False,False,False,False
946774279,39,2949,2869,2848,0,51,24.044166666666666,80,101,3,3,False,False,False,False,False
946776083,39,2951,2865,2852,0,51,24.545277777777777,86,99,3,3,False,False,False,False,False
946777886,39,2937,2862,2844,0,51,25.04611111111111,75,93,3,3,False,False,False,False,False
946779689,39,2947,2862,2848,0,51,25.546944444444446,85,99,3,3,False,False,False,False,False
