timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946686756,51,3214,3123,3090,0,51,0.0,91,124,3,3,False,False,False,False,False
946688560,59,3066,2979,2962,0,51,0.5011111111111111,87,104,3,3,False,False,False,False,False
945899776,59,2432,512,0,0,17,-218.60555555555555,1920,2432,1,1,False,False,False,False,False
946692166,60,3025,2946,2918,0,51,1.5027777777777778,79,107,3,3,False,False,False,False,False
946693969,59,3024,2939,2909,0,51,2.0036111111111112,85,115,3,3,False,False,False,False,False
946695773,60,3027,2936,2907,0,51,2.504722222222222,91,120,3,3,False,False,False,False,False
946697576,59,3020,2938,2910,0,51,3.0055555555555555,82,110,3,3,False,False,False,False,False
946699380,60,3011,2929,2905,0,51,3.506666666666667,82,106,3,3,False,False,False,False,False
946701183,59,3015,2935,2911,0,51,4.0075,80,104,3,3,False,False,False,False,False
946702986,60,3013,2934,2906,0,51,4.508333333333334,79,107,3,3,False,False,False,False,False
946704790,59,3014,2929,2896,0,51,5.009444444444444,85,118,3,3,False,False,False,False,False
946706593,60,3006,2933,2901,0,51,5.510277777777778,73,105,3,3,False,False,False,False,False
946708396,59,3013,2927,2899,0,51,6.011111111111111,86,114,3,3,False,False,False,False,False
946710200,60,3012,2932,2903,0,51,6.512222222222222,80,109,3,3,False,False,False,False,False
946712003,59,3017,2929,2899,0,51,7.013055555555556,88,118,3,3,False,False,False,False,False
946713806,60,3012,2929,2904,0,51,7.513888888888889,83,108,3,3,False,False,False,False,False
946715610,59,3011,2925,2908,0,51,8.015,86,103,3,3,False,False,False,False,False
946717413,60,3013,2937,2902,0,51,8.515833333333333,76,111,3,3,False,False,False,False,False
946719216,59,3006,2927,2902,0,51,9.016666666666667,79,104,3,3,False,False,False,False,False
946721020,60,3016,2924,2903,0,51,9.517777777777777,92,113,3,3,False,False,False,False,False
946722823,59,3011,2932,2903,0,51,10.018611111111111,79,108,3,3,False,False,False,False,False
946724626,60,3009,2929,2906,0,51,10.519444444444444,80,103,3,3,False,False,False,False,False
946726429,59,3020,2938,2907,0,51,11.020277777777778,82,113,3,3,False,False,False,False,False
946728233,60,3016,2935,2904,0,51,11.52138888888889,81,112,3,3,False,False,False,False,False
946730036,59,3014,2933,2905,0,51,12.022222222222222,81,109,3,3,False,False,False,False,False
946731839,60,3017,2929,2906,0,51,12.523055555555555,88,111,3,3,False,False,False,False,False
946733643,59,3015,2933,2912,0,51,13.024166666666666,82,103,3,3,False,False,False,False,False
946735446,60,3012,2934,2902,0,51,13.525,78,110,3,3,False,False,False,False,False
946737249,59,3016,2934,2908,0,51,14.025833333333333,82,108,3,3,False,False,False,False,False
946739052,60,3013,2929,2909,0,51,14.526666666666667,84,104,3,3,False,False,False,False,False
946740856,59,3014,2935,2905,0,51,15.027777777777779,79,109,3,3,False,False,False,False,False
946742659,60,3013,2930,2907,0,51,15.528611111111111,83,106,3,3,False,False,False,False,False
946744462,59,3014,2934,2908,0,51,16.029444444444444,80,106,3,3,False,False,False,False,False
946746266,60,3023,2935,2906,0,51,16.530555555555555,88,117,3,3,False,False,False,False,False
946748069,59,3020,2934,2908,0,51,17.031388888888888,86,112,3,3,False,False,False,False,False
946749872,60,3016,2932,2906,0,51,17.532222222222224,84,110,3,3,False,False,False,False,False
946751675,59,3017,2935,2896,0,51,18.033055555555556,82,121,3,3,False,False,False,False,False
946753479,60,3007,2927,2905,0,51,18.534166666666668,80,102,3,3,False,False,False,False,False
946755282,59,3020,2930,2914,0,51,19.035,90,106,3,3,False,False,False,False,False
946757085,60,3020,2935,2906,0,51,19.535833333333333,85,114,3,3,False,False,False,False,False
946758889,59,3021,2929,2909,0,51,20.036944444444444,92,112,3,3,False,False,False,False,False
946760692,60,3011,2929,2910,0,51,20.537777777777777,82,101,3,3,False,False,False,False,False
946762495,59,3023,2936,2908,0,51,21.038611111111113,87,115,3,3,False,False,False,False,False
946764298,60,3022,2929,2905,0,51,21.539444444444445,93,117,3,3,False,False,False,False,False
946766102,59,3012,2934,2910,0,51,22.040555555555557,78,102,3,3,False,False,False,False,False
946767905,60,3011,2929,2905,0,51,22.54138888888889,82,106,3,3,False,False,False,False,False
946769708,59,3012,2928,2906,0,51,23.04222222222222,84,106,3,3,False,False,False,False,False
946771511,60,3015,2929,2909,0,51,23.543055555555554,86,106,3,3,False,False,False,False,False
946773315,59,3016,2932,2902,0,51,24.044166666666666,84,114,3,3,False,False,False,False,False
946775118,60,3010,2925,2905,0,51,24.545,85,105,3,3,False,False,False,False,False
946776921,59,3021,2926,2904,0,51,25.045833333333334,95,117,3,3,False,False,False,False,False
946778725,60,3014,2921,2906,0,51,25.546944444444446,93,108,3,3,False,False,False,False,False
946780528,59,3015,2925,2903,0,51,26.047777777777778,90,112,3,3,False,False,False,False,False
946782331,60,3015,2925,2900,0,51,26.54861111111111,90,115,3,3,False,False,False,False,False
946784134,59,3017,2921,2900,0,51,27.049444444444443,96,117,3,3,False,False,False,False,False
946785938,60,3008,2924,2897,0,51,27.550555555555555,84,111,3,3,False,False,False,False,False
946787741,59,3012,2924,2896,0,51,28.051388888888887,88,116,3,3,False,False,False,False,False
946789544,60,3000,2922,2898,0,51,28.552222222222223,78,102,3,3,False,False,False,False,False
946791348,59,3011,2921,2894,0,51,29.053333333333335,90,117,3,3,False,False,False,False,False
946793151,60,3001,2920,2893,0,51,29.554166666666667,81,108,3,3,False,False,False,False,False
946794954,59,3008,2918,2893,0,51,30.055,90,115,3,3,False,False,False,False,False
946796757,60,3000,2917,2894,0,51,30.555833333333332,83,106,3,3,False,False,False,False,False
946798561,59,3004,2914,2891,0,51,31.056944444444444,90,113,3,3,False,False,False,False,False
946800364,60,3007,2908,2886,0,51,31.557777777777776,99,121,3,3,False,False,False,False,False
946802167,59,3001,2912,2889,0,51,32.05861111111111,89,112,3,3,False,False,False,False,False
946803971,60,3002,2909,2888,0,51,32.55972222222222,93,114,3,3,False,False,False,False,False
946805774,59,2997,2908,2886,0,51,33.06055555555555,89,111,3,3,False,False,False,False,False
946807577,60,2994,2910,2879,0,51,33.56138888888889,84,115,3,3,False,False,False,False,False
946809381,59,2997,2908,2884,0,51,34.0625,89,113,3,3,False,False,False,False,False
946811184,60,2987,2904,2878,0,51,34.56333333333333,83,109,3,3,False,False,False,False,False
946812987,59,2999,2904,2877,0,51,35.064166666666665,95,122,3,3,False,False,False,False,False
946814791,60,2990,2901,2874,0,51,35.56527777777778,89,116,3,3,False,False,False,False,False
946816594,59,2999,2899,2877,0,51,36.06611111111111,100,122,3,3,False,False,False,False,False
946818397,60,2988,2898,2872,0,51,36.566944444444445,90,116,3,3,False,False,False,False,False
946820200,59,2992,2895,2875,0,51,37.06777777777778,97,117,3,3,False,False,False,False,False
946822004,60,2985,2895,2869,0,51,37.568888888888885,90,116,3,3,False,False,False,False,False
946823807,59,2984,2895,2868,0,51,38.069722222222225,89,116,3,3,False,False,False,False,False
946825610,60,2981,2886,2864,0,51,38.57055555555556,95,117,3,3,False,False,False,False,False
946827414,59,2986,2892,2869,0,51,39.071666666666665,94,117,3,3,False,False,False,False,False
946829217,60,2985,2890,2861,0,51,39.5725,95,124,3,3,False,False,False,False,False
946831020,59,2979,2888,2864,0,51,40.07333333333333,91,115,3,3,False,False,False,False,False
946832824,60,2976,2882,2858,0,51,40.574444444444445,94,118,3,3,False,False,False,False,False
946834627,59,2977,2884,2856,0,51,41.07527777777778,93,121,3,3,False,False,False,False,False
946836430,60,2975,2878,2850,0,51,41.57611111111111,97,125,3,3,False,False,False,False,False
946838234,59,2969,2878,2853,0,51,42.077222222222225,91,116,3,3,False,False,False,False,False
946840037,60,2968,2865,2843,0,51,42.57805555555556,103,125,3,3,False,False,False,False,False
946841840,59,2965,2868,2844,0,51,43.07888888888889,97,121,3,3,False,False,False,False,False
946843644,60,2962,2869,2839,0,51,43.58,93,123,3,3,False,False,False,False,False
946845447,59,2955,2866,2837,0,51,44.08083333333333,89,118,3,3,False,False,False,False,False
946847250,60,2951,2857,2827,0,51,44.58166666666666,94,124,3,3,False,False,False,False,False
946849053,59,2953,2846,2826,0,51,45.0825,107,127,3,3,False,False,False,False,False
946850857,60,2943,2848,2816,0,51,45.58361111111111,95,127,3,3,False,False,False,False,False
