timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687645,48,3153,3100,3075,0,51,0.0,53,78,3,3,False,False,False,False,False
946689449,55,3060,3007,2997,0,51,0.5011111111111111,53,63,3,3,False,False,False,False,False
946691252,57,3021,2963,2956,0,51,1.0019444444444445,58,65,3,3,False,False,False,False,False
946693055,58,3016,2964,2948,0,51,1.5027777777777778,52,68,3,3,False,False,False,False,False
946694859,58,3002,2955,2940,0,51,2.003888888888889,47,62,3,3,False,False,False,False,False
946696662,58,2999,2950,2940,0,51,2.504722222222222,49,59,3,3,False,False,False,False,False
946698465,58,2998,2950,2934,0,51,3.0055555555555555,48,64,3,3,False,False,False,False,False
946700268,58,2996,2947,2940,0,51,3.506388888888889,49,56,3,3,False,False,False,False,False
946702072,58,2992,2943,2926,0,51,4.0075,49,66,3,3,False,False,False,False,False
946703875,58,2994,2947,2935,0,51,4.508333333333334,47,59,3,3,False,False,False,False,False
946705678,58,2987,2943,2930,0,51,5.009166666666666,44,57,3,3,False,False,False,False,False
946707482,58,2997,2938,2934,0,51,5.510277777777778,59,63,3,3,False,False,False,False,False
946709285,58,2987,2940,2927,0,51,6.011111111111111,47,60,3,3,False,False,False,False,False
946711088,58,2987,2938,2931,0,51,6.5119444444444445,49,56,3,3,False,False,False,False,False
946712891,58,2987,2938,2926,0,51,7.012777777777778,49,61,3,3,False,False,False,False,False
946714695,58,2985,2936,2932,0,51,7.513888888888889,49,53,3,3,False,False,False,False,False
946716498,58,2990,2938,2930,0,51,8.014722222222222,52,60,3,3,False,False,False,False,False
946718301,58,2994,2944,2928,0,51,8.515555555555556,50,66,3,3,False,False,False,False,False
946720105,58,2990,2938,2928,0,51,9.016666666666667,52,62,3,3,False,False,False,False,False
946721908,58,2994,2937,2931,0,51,9.5175,57,63,3,3,False,False,False,False,False
946723711,58,2986,2940,2928,0,51,10.018333333333333,46,58,3,3,False,False,False,False,False
946725514,58,2992,2937,2935,0,51,10.519166666666667,55,57,3,3,False,False,False,False,False
946727318,58,2993,2938,2927,0,51,11.020277777777778,55,66,3,3,False,False,False,False,False
946729121,58,2993,2942,2932,0,51,11.52111111111111,51,61,3,3,False,False,False,False,False
946730924,58,2995,2938,2929,0,51,12.021944444444445,57,66,3,3,False,False,False,False,False
946732728,58,2995,2938,2932,0,51,12.523055555555555,57,63,3,3,False,False,False,False,False
946734531,58,2995,2938,2931,0,51,13.023888888888889,57,64,3,3,False,False,False,False,False
946736334,58,2995,2942,2929,0,51,13.524722222222222,53,66,3,3,False,False,False,False,False
946738137,58,2985,2938,2932,0,51,14.025555555555556,47,53,3,3,False,False,False,False,False
946739941,58,2999,2938,2933,0,51,14.526666666666667,61,66,3,3,False,False,False,False,False
946741744,58,2990,2939,2926,0,51,15.0275,51,64,3,3,False,False,False,False,False
946743547,58,2993,2947,2931,0,51,15.528333333333334,46,62,3,3,False,False,False,False,False
946745351,58,2994,2944,2932,0,51,16.029444444444444,50,62,3,3,False,False,False,False,False
946747154,58,3000,2942,2930,0,51,16.530277777777776,58,70,3,3,False,False,False,False,False
946748957,58,2993,2938,2928,0,51,17.031111111111112,55,65,3,3,False,False,False,False,False
946750760,58,2987,2939,2929,0,51,17.531944444444445,48,58,3,3,False,False,False,False,False
946752564,58,2990,2938,2933,0,51,18.033055555555556,52,57,3,3,False,False,False,False,False
946754367,58,2996,2943,2930,0,51,18.53388888888889,53,66,3,3,False,False,False,False,False
946756170,58,2988,2934,2933,0,51,19.03472222222222,54,55,3,3,False,False,False,False,False
946757974,58,2990,2938,2930,0,51,19.535833333333333,52,60,3,3,False,False,False,False,False
946759777,58,2992,2946,2928,0,51,20.036666666666665,46,64,3,3,False,False,False,False,False
946761580,58,2993,2940,2935,0,51,20.5375,53,58,3,3,False,False,False,False,False
946763383,58,2995,2942,2930,0,51,21.038333333333334,53,65,3,3,False,False,False,False,False
946765187,58,2995,2947,2930,0,51,21.539444444444445,48,65,3,3,False,False,False,False,False
946766990,58,2993,2939,2928,0,51,22.040277777777778,54,65,3,3,False,False,False,False,False
946768793,58,2988,2937,2928,0,51,22.54111111111111,51,60,3,3,False,False,False,False,False
946770597,58,2987,2937,2927,0,51,23.04222222222222,50,60,3,3,False,False,False,False,False
946772400,58,2995,2937,2928,0,51,23.543055555555554,58,67,3,3,False,False,False,False,False
946774203,58,2992,2940,2926,0,51,24.04388888888889,52,66,3,3,False,False,False,False,False
946776006,58,2991,2929,2925,0,51,24.544722222222223,62,66,3,3,False,False,False,False,False
946777810,58,2993,2934,2928,0,51,25.045833333333334,59,65,3,3,False,False,False,False,False
946779613,58,2991,2934,2925,0,51,25.546666666666667,57,66,3,3,False,False,False,False,False
946781416,58,2991,2933,2924,0,51,26.0475,58,67,3,3,False,False,False,False,False
946783220,58,2990,2938,2927,0,51,26.54861111111111,52,63,3,3,False,False,False,False,False
946785023,58,2987,2935,2920,0,51,27.049444444444443,52,67,3,3,False,False,False,False,False
946786826,58,2992,2935,2919,0,51,27.55027777777778,57,73,3,3,False,False,False,False,False
946788629,58,2986,2933,2921,0,51,28.051111111111112,53,65,3,3,False,False,False,False,False
946790433,58,2986,2934,2917,0,51,28.552222222222223,52,69,3,3,False,False,False,False,False
946792236,58,2985,2929,2912,0,51,29.053055555555556,56,73,3,3,False,False,False,False,False
946794039,58,2991,2932,2915,0,51,29.55388888888889,59,76,3,3,False,False,False,False,False
946795843,58,2979,2917,2917,0,51,30.055,62,62,3,3,False,False,False,False,False
946797646,58,2981,2926,2917,0,51,30.555833333333332,55,64,3,3,False,False,False,False,False
946799449,58,2984,2921,2911,0,51,31.05666666666667,63,73,3,3,False,False,False,False,False
946801252,58,2972,2923,2911,0,51,31.5575,49,61,3,3,False,False,False,False,False
946803056,58,2977,2925,2906,0,51,32.05861111111111,52,71,3,3,False,False,False,False,False
946804859,58,2982,2915,2909,0,51,32.559444444444445,67,73,3,3,False,False,False,False,False
946806662,58,2981,2920,2904,0,51,33.06027777777778,61,77,3,3,False,False,False,False,False
946808466,58,2972,2920,2900,0,51,33.56138888888889,52,72,3,3,False,False,False,False,False
946810269,58,2978,2915,2895,0,51,34.062222222222225,63,83,3,3,False,False,False,False,False
946812072,58,2978,2913,2900,0,51,34.56305555555556,65,78,3,3,False,False,False,False,False
946813875,58,2976,2910,2896,0,51,35.06388888888889,66,80,3,3,False,False,False,False,False
946815679,58,2965,2908,2893,0,51,35.565,57,72,3,3,False,False,False,False,False
946817482,58,2968,2909,2889,0,51,36.06583333333333,59,79,3,3,False,False,False,False,False
946819285,58,2962,2904,2887,0,51,36.56666666666667,58,75,3,3,False,False,False,False,False
946821089,58,2963,2897,2883,0,51,37.06777777777778,66,80,3,3,False,False,False,False,False
946822892,58,2950,2897,2886,0,51,37.56861111111111,53,64,3,3,False,False,False,False,False
946824695,58,2958,2896,2881,0,51,38.06944444444444,62,77,3,3,False,False,False,False,False
946826498,58,2955,2895,2881,0,51,38.570277777777775,60,74,3,3,False,False,False,False,False
946828302,58,2955,2886,2869,0,51,39.07138888888889,69,86,3,3,False,False,False,False,False
946830105,58,2937,2886,2873,0,51,39.57222222222222,51,64,3,3,False,False,False,False,False
946831908,58,2948,2885,2865,0,51,40.073055555555555,63,83,3,3,False,False,False,False,False
946833712,58,2948,2869,2864,0,51,40.57416666666666,79,84,3,3,False,False,False,False,False
946835515,58,2939,2869,2852,0,51,41.075,70,87,3,3,False,False,False,False,False
946837318,58,2923,2865,2848,0,51,41.575833333333335,58,75,3,3,False,False,False,False,False
946839122,58,2930,2862,2841,0,51,42.07694444444444,68,89,3,3,False,False,False,False,False
946840925,58,2927,2852,2836,0,51,42.577777777777776,75,91,3,3,False,False,False,False,False
946842728,58,2922,2850,2829,0,51,43.07861111111111,72,93,3,3,False,False,False,False,False
946844531,58,2914,2846,2828,0,51,43.57944444444445,68,86,3,3,False,False,False,False,False
946846335,58,2909,2842,2823,0,51,44.080555555555556,67,86,3,3,False,False,False,False,False
946848138,58,2905,2833,2815,0,51,44.58138888888889,72,90,3,3,False,False,False,False,False
946849941,58,2905,2836,2815,0,51,45.08222222222222,69,90,3,3,False,False,False,False,False
946851745,58,2888,2822,2803,0,51,45.583333333333336,66,85,3,3,False,False,False,False,False
946853548,58,2905,2818,2806,0,51,46.08416666666667,87,99,3,3,False,False,False,False,False
946855351,58,2878,2818,2801,0,51,46.585,60,77,3,3,False,False,False,False,False
946857154,58,2882,2811,2793,0,51,47.08583333333333,71,89,3,3,False,False,False,False,False
946858958,58,2885,2809,2791,0,51,47.58694444444444,76,94,3,3,False,False,False,False,False
946860761,58,2880,2800,2786,0,51,48.08777777777778,80,94,3,3,False,False,False,False,False
946862564,58,2869,2797,2774,0,51,48.58861111111111,72,95,3,3,False,False,False,False,False
946864368,58,2870,2796,2773,0,51,49.08972222222222,74,97,3,3,False,False,False,False,False
946866171,58,2856,2785,2769,0,51,49.590555555555554,71,87,3,3,False,False,False,False,False
946867974,58,2862,2783,2763,0,51,50.091388888888886,79,99,3,3,False,False,False,False,False
946869778,58,2854,2779,2759,0,51,50.5925,75,95,3,3,False,False,False,False,False
946871581,58,2856,2775,2756,0,51,51.093333333333334,81,100,3,3,False,False,False,False,False
946873384,58,2857,2776,2755,0,51,51.594166666666666,81,102,3,3,False,False,False,False,False
946875187,58,2848,2773,2748,0,51,52.095,75,100,3,3,False,False,False,False,False
946876991,58,2846,2758,2747,0,51,52.596111111111114,88,99,3,3,False,False,False,False,False
946878794,58,2837,2762,2734,0,51,53.096944444444446,75,103,3,3,False,False,False,False,False
946880597,58,2839,2752,2738,0,51,53.59777777777778,87,101,3,3,False,False,False,False,False
946882401,58,2829,2754,2728,0,51,54.09888888888889,75,101,3,3,False,False,False,False,False
946884204,58,2837,2749,2723,0,51,54.59972222222222,88,114,3,3,False,False,False,False,False
946886007,58,2826,2742,2720,0,51,55.10055555555556,84,106,3,3,False,False,False,False,False
946887810,58,2829,2739,2716,0,51,55.60138888888889,90,113,3,3,False,False,False,False,False
946889614,58,2818,2736,2708,0,51,56.1025,82,110,3,3,False,False,False,False,False
946891417,58,2811,2734,2709,0,51,56.60333333333333,77,102,3,3,False,False,False,False,False
946893220,58,2821,2725,2702,0,51,57.104166666666664,96,119,3,3,False,False,False,False,False
946895024,58,2817,2723,2694,0,51,57.60527777777778,94,123,3,3,False,False,False,False,False
946896827,58,2808,2721,2696,0,51,58.10611111111111,87,112,3,3,False,False,False,False,False
946898630,58,2804,2715,2686,0,51,58.606944444444444,89,118,3,3,False,False,False,False,False
946900434,58,2805,2713,2683,0,51,59.10805555555555,92,122,3,3,False,False,False,False,False
946902237,58,2797,2706,2681,0,34,59.60888888888889,91,116,2,2,False,False,False,False,False
946904040,58,2808,2702,2673,0,51,60.109722222222224,106,135,3,3,False,False,False,False,False
946905843,58,2804,2701,2674,0,51,60.61055555555556,103,130,3,3,False,False,False,False,False
946907647,58,2797,2687,2659,0,34,61.111666666666665,110,138,2,2,False,False,False,False,False
946909450,58,2791,2691,2666,0,34,61.6125,100,125,2,2,False,False,False,False,False
946911253,58,2788,2684,2652,0,34,62.11333333333334,104,136,2,2,False,False,False,False,False
946913057,58,2791,2684,2653,0,34,62.614444444444445,107,138,2,2,False,False,False,False,False
946914860,58,2779,2676,2640,0,34,63.11527777777778,103,139,2,2,False,False,False,False,False
946916663,58,2780,2671,2637,0,34,63.61611111111111,109,143,2,2,False,False,False,False,False
946918466,58,2770,2668,2634,0,34,64.11694444444444,102,136,2,2,False,False,False,False,False
946920270,58,2760,2661,2619,0,34,64.61805555555556,99,141,2,2,False,False,False,False,False
946922073,58,2761,2649,2606,0,34,65.11888888888889,112,155,2,2,False,False,False,False,False
946923876,58,2764,2637,2596,0,34,65.61972222222222,127,168,2,2,False,False,False,False,False
946925680,58,2759,2629,2589,0,34,66.12083333333334,130,170,2,2,False,False,False,False,False
946927483,58,2750,2625,2583,0,34,66.62166666666667,125,167,2,2,False,False,False,False,False
946929286,58,2737,2620,2562,0,34,67.1225,117,175,2,2,False,False,False,False,False
946931089,58,2741,2603,2564,0,34,67.62333333333333,138,177,2,2,False,False,False,False,False
946932893,58,2715,2588,2548,0,34,68.12444444444445,127,167,2,2,False,False,False,False,False
946934696,58,2717,2587,2542,0,34,68.62527777777778,130,175,2,2,False,False,False,False,False
946936499,58,2711,2573,2520,0,34,69.12611111111111,138,191,2,2,False,False,False,False,False
946938303,58,2700,2564,2515,0,34,69.62722222222222,136,185,2,2,False,False,False,False,False
946940106,58,2689,2547,2490,0,18,70.12805555555556,142,199,2,1,False,False,False,False,False
946941909,58,2681,2525,2470,0,18,70.6288888888889,156,211,2,1,False,False,False,False,False
946943712,58,2674,2512,2440,0,18,71.12972222222223,162,234,2,1,False,False,False,False,False
946945516,58,2657,2487,2428,0,17,71.63083333333333,170,229,1,1,False,False,False,False,False
946947319,58,2632,2466,2392,0,17,72.13166666666666,166,240,1,1,False,False,False,False,False
946949122,58,2624,2427,2358,0,17,72.6325,197,266,1,1,False,False,False,False,False
946950926,58,2605,2375,2287,0,17,73.13361111111111,230,318,1,1,False,False,False,False,False
946952729,58,2574,2336,2252,0,17,73.63444444444444,238,322,1,1,False,False,False,False,False
946954532,58,2544,2288,2152,0,17,74.13527777777777,256,392,1,1,False,False,False,False,False
