timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946693621,-19,3109,2504,2098,2,51,0.0,605,1011,3,3,False,True,False,False,False
946695423,-19,2882,2374,2022,2,51,0.5005555555555555,508,860,3,3,False,True,False,False,False
946697224,-19,2819,2333,1978,2,51,1.0008333333333332,486,841,3,3,False,True,False,False,False
946699026,-19,2802,2313,1951,2,51,1.5013888888888889,489,851,3,3,False,True,False,False,False
946700827,-19,2802,2317,1959,2,51,2.0016666666666665,485,843,3,3,False,True,False,False,False
946702629,-19,2795,2315,1948,2,51,2.502222222222222,480,847,3,3,False,True,False,False,False
946704430,-19,2784,2315,1952,2,51,3.0025,469,832,3,3,False,True,False,False,False
946706232,-19,2793,2312,1948,2,51,3.5030555555555556,481,845,3,3,False,True,False,False,False
946708033,-19,2790,2320,1951,2,51,4.003333333333333,470,839,3,3,False,True,False,False,False
946709835,-19,2791,2315,1937,2,51,4.503888888888889,476,854,3,3,False,True,False,False,False
946711636,-19,2793,2313,1935,2,51,5.004166666666666,480,858,3,3,False,True,False,False,False
946713438,-19,2787,2308,1916,2,51,5.504722222222222,479,871,3,3,False,True,False,False,False
946715239,-19,2783,2313,1884,2,51,6.005,470,899,3,3,False,True,False,False,False
946717041,-19,2785,2300,1887,2,51,6.5055555555555555,485,898,3,3,False,True,False,False,False
946718842,-19,2779,2305,1909,2,51,7.005833333333333,474,870,3,3,False,True,False,False,False
946720644,-19,2781,2302,1899,2,51,7.506388888888889,479,882,3,3,False,True,False,False,False
946722445,-19,2783,2289,1881,2,51,8.006666666666666,494,902,3,3,False,True,False,False,False
946724247,-19,2776,2264,1807,2,51,8.507222222222222,512,969,3,3,False,True,False,False,False
946726048,-19,2777,2238,1750,2,51,9.0075,539,1027,3,3,False,True,False,False,False
946727850,-19,2770,2212,1710,2,51,9.508055555555556,558,1060,3,3,False,True,False,False,False
946729651,-19,2774,2195,1283,0,51,10.008333333333333,579,1491,3,3,False,False,False,False,False
946731454,-19,2771,2136,1315,0,51,10.509166666666667,635,1456,3,3,False,False,False,False,False
946733259,-19,2762,2155,1429,0,51,11.010555555555555,607,1333,3,3,False,False,False,False,False
946735063,-19,2768,2147,1278,0,51,11.511666666666667,621,1490,3,3,False,False,False,False,False
946736867,-19,2769,2141,1111,0,51,12.012777777777778,628,1658,3,3,False,False,False,False,False
946738672,-19,2766,2139,1162,0,51,12.514166666666666,627,1604,3,3,False,False,False,False,False
946740476,-19,2766,2134,1087,0,51,13.015277777777778,632,1679,3,3,False,False,False,False,False
946742281,-19,2759,2126,1202,0,51,13.516666666666667,633,1557,3,3,False,False,False,False,False
