timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946693280,-19,3030,2490,2091,0,51,0.0,540,939,3,3,False,False,False,False,False
946695084,-20,2860,2392,1826,0,51,0.5011111111111111,468,1034,3,3,False,False,False,False,False
946696888,-20,2823,2355,1836,0,51,1.0022222222222221,468,987,3,3,False,False,False,False,False
946698693,-20,2814,2363,1719,0,51,1.503611111111111,451,1095,3,3,False,False,False,False,False
946700497,-20,2800,2364,1742,0,51,2.004722222222222,436,1058,3,3,False,False,False,False,False
946702301,-20,2800,2375,1717,0,51,2.5058333333333334,425,1083,3,3,False,False,False,False,False
946704105,-20,2796,2370,1722,0,51,3.0069444444444446,426,1074,3,3,False,False,False,False,False
946705909,-20,2800,2379,1686,0,51,3.5080555555555555,421,1114,3,3,False,False,False,False,False
946707713,-20,2785,2373,1727,0,51,4.009166666666666,412,1058,3,3,False,False,False,False,False
946709518,-20,2779,2376,1706,0,51,4.510555555555555,403,1073,3,3,False,False,False,False,False
946711322,-20,2784,2372,1720,0,51,5.011666666666667,412,1064,3,3,False,False,False,False,False
946713126,-20,2773,2371,1678,0,51,5.512777777777778,402,1095,3,3,False,False,False,False,False
946714930,-20,2774,2372,1691,0,51,6.013888888888889,402,1083,3,3,False,False,False,False,False
946716734,-20,2764,2371,1646,0,51,6.515,393,1118,3,3,False,False,False,False,False
946718538,-20,2768,2367,1671,0,51,7.016111111111111,401,1097,3,3,False,False,False,False,False
946720343,-20,2767,2370,1657,0,51,7.5175,397,1110,3,3,False,False,False,False,False
946722147,-20,2763,2358,1617,0,51,8.018611111111111,405,1146,3,3,False,False,False,False,False
946723951,-20,2759,2348,1590,0,51,8.519722222222223,411,1169,3,3,False,False,False,False,False
946725755,-20,2758,2336,1572,0,51,9.020833333333334,422,1186,3,3,False,False,False,False,False
946727559,-20,2749,2331,1577,0,51,9.521944444444445,418,1172,3,3,False,False,False,False,False
946729363,-20,2752,2319,1540,0,51,10.023055555555555,433,1212,3,3,False,False,False,False,False
946731168,-20,2740,2314,1565,0,51,10.524444444444445,426,1175,3,3,False,False,False,False,False
946732972,-20,2736,2298,1511,0,51,11.025555555555556,438,1225,3,3,False,False,False,False,False
946734776,-20,2741,2295,1526,0,51,11.526666666666667,446,1215,3,3,False,False,False,False,False
946736580,-20,2737,2282,1487,0,51,12.027777777777779,455,1250,3,3,False,False,False,False,False
946738385,-20,2736,2281,1471,0,51,12.529166666666667,455,1265,3,3,False,False,False,False,False
946740188,-20,2734,2271,1400,0,51,13.03,463,1334,3,3,False,False,False,False,False
946741993,-20,2729,2270,1414,0,51,13.53138888888889,459,1315,3,3,False,False,False,False,False
946743797,-20,2736,2262,1303,0,51,14.0325,474,1433,3,3,False,False,False,False,False
946745601,-20,2722,2257,1373,0,51,14.533611111111112,465,1349,3,3,False,False,False,False,False
946747405,-20,2721,2252,1242,0,51,15.034722222222221,469,1479,3,3,False,False,False,False,False
946749210,-20,2718,2248,1246,0,51,15.536111111111111,470,1472,3,3,False,False,False,False,False
946751014,-20,2713,2247,1202,0,51,16.037222222222223,466,1511,3,3,False,False,False,False,False
946752818,-20,2712,2241,1214,0,51,16.538333333333334,471,1498,3,3,False,False,False,False,False
946754622,-20,2709,2235,1202,0,51,17.039444444444445,474,1507,3,3,False,False,False,False,False
946756427,-20,2708,2235,1171,0,51,17.54083333333333,473,1537,3,3,False,False,False,False,False
946758231,-20,2696,2227,1128,0,51,18.041944444444443,469,1568,3,3,False,False,False,False,False
946760035,-20,2696,2228,1167,0,51,18.543055555555554,468,1529,3,3,False,False,False,False,False
946761840,-20,2698,2217,1089,0,51,19.044444444444444,481,1609,3,3,False,False,False,False,False
946763644,-20,2698,2215,1107,0,51,19.545555555555556,483,1591,3,3,False,False,False,False,False
946765449,-20,2692,2199,1019,0,51,20.046944444444446,493,1673,3,3,False,False,False,False,False
946767253,-20,2678,2199,1058,0,51,20.548055555555557,479,1620,3,3,False,False,False,False,False
946769058,-20,2674,2201,957,0,51,21.049444444444443,473,1717,3,3,False,False,False,False,False
946770863,-20,2667,2197,994,0,51,21.550833333333333,470,1673,3,3,False,False,False,False,False
946772667,-20,2663,2187,942,0,51,22.051944444444445,476,1721,3,3,False,False,False,False,False
946774472,-20,2663,2184,927,0,51,22.553333333333335,479,1736,3,3,False,False,False,False,False
946776277,-20,2655,2175,943,0,50,23.05472222222222,480,1712,2,3,False,False,False,False,False
946778081,-20,2646,2170,911,0,34,23.555833333333332,476,1735,2,2,False,False,False,False,False
946779886,-20,2639,2162,914,0,34,24.057222222222222,477,1725,2,2,False,False,False,False,False
946781691,-20,2634,2148,899,0,34,24.558611111111112,486,1735,2,2,False,False,False,False,False
946783496,-20,2624,2148,889,0,34,25.06,476,1735,2,2,False,False,False,False,False
946785300,-20,2618,2131,916,0,34,25.56111111111111,487,1702,2,2,False,False,False,False,False
946787105,-20,2613,2118,937,0,34,26.0625,495,1676,2,2,False,False,False,False,False
946788910,-20,2599,2104,919,0,34,26.56388888888889,495,1680,2,2,False,False,False,False,False
946790715,-20,2588,2089,914,0,18,27.065277777777776,499,1674,2,1,False,False,False,False,False
946792520,-20,2578,2078,932,0,18,27.566666666666666,500,1646,2,1,False,False,False,False,False
946794325,-20,2567,2060,897,0,17,28.068055555555556,507,1670,1,1,False,False,False,False,False
946796130,-20,2551,2042,911,0,17,28.569444444444443,509,1640,1,1,False,False,False,False,False
946797934,-20,2534,2016,876,0,17,29.070555555555554,518,1658,1,1,False,False,False,False,False
946799739,-20,2522,2000,892,0,17,29.571944444444444,522,1630,1,1,False,False,False,False,False
946801544,-20,2503,1969,853,0,17,30.073333333333334,534,1650,1,1,False,False,False,False,False
946803349,-20,2473,1939,856,0,17,30.57472222222222,534,1617,1,1,False,False,False,False,False
946805154,-20,2434,1890,835,0,17,31.07611111111111,544,1599,1,1,False,False,False,False,False
946806959,-20,2388,1808,827,0,17,31.5775,580,1561,1,1,False,False,False,False,False
946808763,-20,2328,1707,804,0,17,32.07861111111111,621,1524,1,1,False,False,False,False,False
946810568,-20,2228,1557,800,0,17,32.58,671,1428,1,1,False,False,False,False,False
946812373,-20,2132,1402,791,0,17,33.08138888888889,730,1341,1,1,False,False,False,False,False
946814178,-20,2129,1364,791,2,17,33.58277777777778,765,1338,1,1,False,True,False,False,False
946815983,-20,2103,1351,780,0,17,34.08416666666667,752,1323,1,1,False,False,False,False,False
946817788,-20,2070,1315,795,2,17,34.58555555555556,755,1275,1,1,False,True,False,False,False
946819592,-20,2024,1254,778,0,17,35.086666666666666,770,1246,1,1,False,False,False,False,False
946821397,-20,2008,1205,779,2,17,35.588055555555556,803,1229,1,1,False,True,False,False,False
946823202,-20,1983,1177,773,0,17,36.089444444444446,806,1210,1,1,False,False,False,False,False
946825007,-20,2010,1213,780,2,17,36.590833333333336,797,1230,1,1,False,True,False,False,False
946826811,-20,1994,1185,773,0,17,37.091944444444444,809,1221,1,1,False,False,False,False,False
946828616,-20,1974,1156,792,2,17,37.593333333333334,818,1182,1,1,False,True,False,False,False
946830421,-20,1957,1113,775,0,17,38.094722222222224,844,1182,1,1,False,False,False,False,False
946832226,-20,1964,1120,780,0,17,38.596111111111114,844,1184,1,1,False,False,False,False,False
946834031,-20,1957,1076,779,0,17,39.0975,881,1178,1,1,False,False,False,False,False
946835836,-20,1905,989,775,0,17,39.59888888888889,916,1130,1,1,False,False,False,False,False
946837641,-20,1869,854,794,2,17,40.10027777777778,1015,1075,1,1,False,True,False,False,False
946839445,-20,1935,1023,773,0,17,40.60138888888889,912,1162,1,1,False,False,False,False,False
946841250,-20,1854,878,759,2,17,41.102777777777774,976,1095,1,1,False,True,False,False,False
946843055,-20,1865,873,769,0,17,41.604166666666664,992,1096,1,1,False,False,False,False,False
946844860,-20,1847,850,780,2,17,42.105555555555554,997,1067,1,1,False,True,False,False,False
946846665,-20,1909,973,799,2,17,42.606944444444444,936,1110,1,1,False,True,False,False,False
946848470,-20,1863,822,801,2,17,43.108333333333334,1041,1062,1,1,False,True,False,False,False
946850274,-20,1897,879,768,0,17,43.60944444444444,1018,1129,1,1,False,False,False,False,False
946852079,-20,1884,908,772,0,17,44.11083333333333,976,1112,1,1,False,False,False,False,False
946853884,-20,1876,878,794,2,17,44.61222222222222,998,1082,1,1,False,True,False,False,False
946855689,-20,1871,773,766,0,17,45.11361111111111,1098,1105,1,1,False,False,False,False,False
946857494,-20,1837,744,751,2,17,45.615,1093,1086,1,1,False,True,False,False,False
946859299,-20,1869,854,770,0,17,46.11638888888889,1015,1099,1,1,False,False,False,False,False
946861104,-20,1841,746,790,2,17,46.617777777777775,1095,1051,1,1,False,True,False,False,False
946862908,-20,1848,773,784,2,17,47.11888888888889,1075,1064,1,1,False,True,False,False,False
946864713,-20,1820,796,789,6,17,47.62027777777778,1024,1031,1,1,False,True,True,False,False
946866518,-20,1841,800,798,2,17,48.12166666666667,1041,1043,1,1,False,True,False,False,False
946868323,-20,1826,811,832,6,17,48.62305555555555,1015,994,1,1,False,True,True,False,False
946870128,-20,1850,798,830,2,17,49.12444444444444,1052,1020,1,1,False,True,False,False,False
946871933,-20,1804,797,815,6,17,49.62583333333333,1007,989,1,1,False,True,True,False,False
946873738,-20,1783,804,762,0,17,50.12722222222222,979,1021,1,1,False,False,False,False,False
946875542,-20,1803,807,769,6,17,50.62833333333333,996,1034,1,1,False,True,True,False,False
946877347,-20,1772,791,784,2,17,51.12972222222222,981,988,1,1,False,True,False,False,False
946879152,-20,1745,1673,769,4,17,51.63111111111111,72,976,1,1,False,False,True,False,False
946880957,-20,1718,1642,1501,6,17,52.1325,76,217,1,1,False,True,True,False,False
946882762,-20,1801,795,773,2,17,52.63388888888889,1006,1028,1,1,False,True,False,False,False
946884567,-20,1832,792,777,2,17,53.13527777777778,1040,1055,1,1,False,True,False,False,False
946886372,-20,1735,791,793,6,17,53.63666666666666,944,942,1,1,False,True,True,False,False
946888177,-20,1813,809,802,6,17,54.13805555555555,1004,1011,1,1,False,True,True,False,False
946889981,-20,1609,1531,1476,4,17,54.63916666666667,78,133,1,1,False,False,True,False,False
946891786,-20,1782,773,762,2,17,55.14055555555556,1009,1020,1,1,False,True,False,False,False
946893591,-20,1821,801,774,2,17,55.64194444444445,1020,1047,1,1,False,True,False,False,False
946895396,-20,1736,784,783,2,17,56.14333333333333,952,953,1,1,False,True,False,False,False
946897201,-20,1784,764,776,6,17,56.64472222222222,1020,1008,1,1,False,True,True,False,False
946899006,-20,1809,790,769,0,17,57.14611111111111,1019,1040,1,1,False,False,False,False,False
946900811,-20,1783,787,770,6,17,57.6475,996,1013,1,1,False,True,True,False,False
946902615,-20,1815,798,772,2,17,58.14861111111111,1017,1043,1,1,False,True,False,False,False
946904420,-20,1817,809,789,2,17,58.65,1008,1028,1,1,False,True,False,False,False
946906225,-20,1762,793,1476,4,17,59.15138888888889,969,286,1,1,False,False,True,False,False
946908030,-20,1666,1582,1491,6,17,59.65277777777778,84,175,1,1,False,True,True,False,False
946909835,-20,1693,1607,1497,6,17,60.15416666666667,86,196,1,1,False,True,True,False,False
946911640,-20,1745,793,768,6,17,60.65555555555556,952,977,1,1,False,True,True,False,False
946913445,-20,1613,1526,1474,6,17,61.15694444444444,87,139,1,1,False,True,True,False,False
946915250,-20,1751,798,771,6,17,61.65833333333333,953,980,1,1,False,True,True,False,False
946917054,-20,1756,790,772,2,17,62.159444444444446,966,984,1,1,False,True,False,False,False
946918859,-20,1765,784,772,2,17,62.660833333333336,981,993,1,1,False,True,False,False,False
946920664,-20,1598,1513,1469,6,17,63.16222222222222,85,129,1,1,False,True,True,False,False
946922469,-20,1727,1649,1505,6,17,63.66361111111111,78,222,1,1,False,True,True,False,False
946924274,-20,1714,1638,1503,6,17,64.165,76,211,1,1,False,True,True,False,False
946926079,-20,1734,1654,784,6,17,64.66638888888889,80,950,1,1,False,True,True,False,False
946927884,-20,1738,801,777,6,17,65.16777777777777,937,961,1,1,False,True,True,False,False
946929689,-20,1763,792,836,2,17,65.66916666666667,971,927,1,1,False,True,False,False,False
946931493,-20,1767,796,791,0,17,66.17027777777778,971,976,1,1,False,False,False,False,False
946933298,-20,1763,792,773,6,17,66.67166666666667,971,990,1,1,False,True,True,False,False
946935103,-20,1615,1531,1476,6,17,67.17305555555555,84,139,1,1,False,True,True,False,False
946936908,-20,1735,1649,784,6,17,67.67444444444445,86,951,1,1,False,True,True,False,False
