timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946693340,-19,3036,1946,1275,0,51,0.0,1090,1761,3,3,False,False,False,False,False
946695144,-19,2783,2220,1827,0,51,0.5011111111111111,563,956,3,3,False,False,False,False,False
946696948,-19,2744,2165,1705,0,51,1.0022222222222221,579,1039,3,3,False,False,False,False,False
946698753,-19,2722,2179,1765,0,51,1.503611111111111,543,957,3,3,False,False,False,False,False
946700557,-19,2729,2165,1669,0,51,2.004722222222222,564,1060,3,3,False,False,False,False,False
946702361,-19,2703,2173,1745,0,51,2.5058333333333334,530,958,3,3,False,False,False,False,False
946704165,-19,2713,2169,1651,0,51,3.0069444444444446,544,1062,3,3,False,False,False,False,False
946705969,-19,2702,2156,1706,0,51,3.5080555555555555,546,996,3,3,False,False,False,False,False
946707773,-19,2696,2146,1630,0,51,4.009166666666666,550,1066,3,3,False,False,False,False,False
946709577,-19,2697,2146,1701,0,51,4.510277777777778,551,996,3,3,False,False,False,False,False
946711381,-19,2698,2130,1602,0,51,5.011388888888889,568,1096,3,3,False,False,False,False,False
946713185,-19,2684,2139,1681,0,51,5.5125,545,1003,3,3,False,False,False,False,False
946714989,-19,2691,2125,1583,0,51,6.0136111111111115,566,1108,3,3,False,False,False,False,False
946716793,-19,2681,2130,1667,0,51,6.514722222222222,551,1014,3,3,False,False,False,False,False
946718597,-19,2681,2117,1570,0,51,7.015833333333333,564,1111,3,3,False,False,False,False,False
946720401,-19,2672,2109,1664,0,51,7.516944444444444,563,1008,3,3,False,False,False,False,False
946722205,-19,2677,2108,1563,0,51,8.018055555555556,569,1114,3,3,False,False,False,False,False
946724010,-19,2662,2099,1650,0,51,8.519444444444444,563,1012,3,3,False,False,False,False,False
946725813,-19,2674,2101,1544,0,51,9.020277777777778,573,1130,3,3,False,False,False,False,False
946727618,-19,2668,2099,1624,0,51,9.521666666666667,569,1044,3,3,False,False,False,False,False
946729422,-19,2659,2083,1551,0,50,10.022777777777778,576,1108,2,3,False,False,False,False,False
946731226,-19,2662,2086,1619,0,51,10.523888888888889,576,1043,3,3,False,False,False,False,False
946733030,-19,2663,2082,1539,0,51,11.025,581,1124,3,3,False,False,False,False,False
946734834,-19,2654,2084,1618,0,50,11.526111111111112,570,1036,2,3,False,False,False,False,False
946736638,-19,2654,2079,1525,0,50,12.027222222222223,575,1129,2,3,False,False,False,False,False
946738442,-19,2653,2085,1600,0,34,12.528333333333334,568,1053,2,2,False,False,False,False,False
946740246,-19,2648,2082,1505,0,34,13.029444444444444,566,1143,2,2,False,False,False,False,False
