timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946689739,-16,3164,2669,2205,2,51,0.0,495,959,3,3,False,True,False,False,False
946691543,-18,2888,2436,1945,2,51,0.5011111111111111,452,943,3,3,False,True,False,False,False
946693347,-18,2840,2388,1992,0,51,1.0022222222222221,452,848,3,3,False,False,False,False,False
946695150,-18,2826,2384,1962,0,51,1.5030555555555556,442,864,3,3,False,False,False,False,False
946696955,-18,2823,2387,1920,0,51,2.0044444444444443,436,903,3,3,False,False,False,False,False
946698758,-18,2809,2388,1929,0,51,2.5052777777777777,421,880,3,3,False,False,False,False,False
946700562,-18,2810,2398,1921,0,51,3.006388888888889,412,889,3,3,False,False,False,False,False
946702366,-18,2807,2400,1909,0,51,3.5075,407,898,3,3,False,False,False,False,False
946704170,-18,2802,2394,1903,0,51,4.008611111111111,408,899,3,3,False,False,False,False,False
946705974,-18,2799,2392,1890,0,51,4.509722222222222,407,909,3,3,False,False,False,False,False
946707778,-18,2795,2399,1889,0,51,5.010833333333333,396,906,3,3,False,False,False,False,False
946709582,-18,2796,2397,1869,0,51,5.5119444444444445,399,927,3,3,False,False,False,False,False
946711386,-18,2788,2401,1894,0,51,6.013055555555556,387,894,3,3,False,False,False,False,False
946713190,-18,2793,2394,1827,0,51,6.514166666666667,399,966,3,3,False,False,False,False,False
946714994,-18,2793,2401,1886,0,51,7.0152777777777775,392,907,3,3,False,False,False,False,False
946716798,-18,2780,2397,1820,0,51,7.516388888888889,383,960,3,3,False,False,False,False,False
946718602,-18,2777,2397,1865,0,51,8.0175,380,912,3,3,False,False,False,False,False
946720406,-18,2774,2390,1760,0,51,8.518611111111111,384,1014,3,3,False,False,False,False,False
946722210,-18,2768,2378,1843,0,51,9.019722222222223,390,925,3,3,False,False,False,False,False
946724014,-18,2774,2374,1711,0,51,9.520833333333334,400,1063,3,3,False,False,False,False,False
946725819,-18,2771,2363,1789,0,51,10.022222222222222,408,982,3,3,False,False,False,False,False
946727622,-18,2766,2350,1710,0,51,10.523055555555555,416,1056,3,3,False,False,False,False,False
946729427,-18,2762,2336,1755,0,51,11.024444444444445,426,1007,3,3,False,False,False,False,False
946731231,-18,2763,2332,1680,0,51,11.525555555555556,431,1083,3,3,False,False,False,False,False
946733035,-18,2767,2319,1746,0,51,12.026666666666667,448,1021,3,3,False,False,False,False,False
946734839,-18,2762,2311,1628,0,51,12.527777777777779,451,1134,3,3,False,False,False,False,False
946736643,-18,2761,2308,1672,0,51,13.028888888888888,453,1089,3,3,False,False,False,False,False
946738447,-18,2760,2302,1557,0,51,13.53,458,1203,3,3,False,False,False,False,False
946740251,-18,2750,2296,1636,0,51,14.03111111111111,454,1114,3,3,False,False,False,False,False
946742055,-18,2751,2295,1523,0,51,14.532222222222222,456,1228,3,3,False,False,False,False,False
946743859,-18,2740,2289,1587,0,51,15.033333333333333,451,1153,3,3,False,False,False,False,False
946745663,-18,2742,2281,1434,0,51,15.534444444444444,461,1308,3,3,False,False,False,False,False
946747467,-18,2739,2278,1566,0,51,16.035555555555554,461,1173,3,3,False,False,False,False,False
946749271,-18,2736,2277,1343,0,51,16.536666666666665,459,1393,3,3,False,False,False,False,False
946751075,-18,2737,2273,1513,0,51,17.037777777777777,464,1224,3,3,False,False,False,False,False
946752879,-18,2727,2268,1265,0,51,17.538888888888888,459,1462,3,3,False,False,False,False,False
946754683,-18,2726,2268,1474,0,51,18.04,458,1252,3,3,False,False,False,False,False
946756487,-18,2730,2266,1175,0,51,18.54111111111111,464,1555,3,3,False,False,False,False,False
946758292,-18,2725,2259,1410,0,51,19.0425,466,1315,3,3,False,False,False,False,False
946760095,-18,2731,2256,1170,0,51,19.543333333333333,475,1561,3,3,False,False,False,False,False
946761900,-18,2710,2250,1443,0,51,20.044722222222223,460,1267,3,3,False,False,False,False,False
946763704,-18,2717,2247,1124,0,51,20.545833333333334,470,1593,3,3,False,False,False,False,False
946765508,-18,2706,2240,1152,0,51,21.046944444444446,466,1554,3,3,False,False,False,False,False
946767312,-18,2716,2229,1057,0,51,21.548055555555557,487,1659,3,3,False,False,False,False,False
946769116,-18,2698,2229,1248,0,51,22.049166666666668,469,1450,3,3,False,False,False,False,False
946770920,-18,2694,2220,1055,0,51,22.55027777777778,474,1639,3,3,False,False,False,False,False
946772725,-18,2690,2227,1170,0,51,23.051666666666666,463,1520,3,3,False,False,False,False,False
946774528,-18,2696,2217,1019,0,51,23.5525,479,1677,3,3,False,False,False,False,False
946776333,-18,2680,2206,1159,0,51,24.05388888888889,474,1521,3,3,False,False,False,False,False
946778137,-18,2684,2201,984,0,51,24.555,483,1700,3,3,False,False,False,False,False
946779942,-18,2665,2191,1157,0,51,25.05638888888889,474,1508,3,3,False,False,False,False,False
946781746,-18,2668,2188,918,0,51,25.5575,480,1750,3,3,False,False,False,False,False
946783550,-18,2658,2185,1041,0,50,26.058611111111112,473,1617,2,3,False,False,False,False,False
946785355,-18,2659,2175,887,0,50,26.56,484,1772,2,3,False,False,False,False,False
946787159,-18,2646,2168,951,0,34,27.06111111111111,478,1695,2,2,False,False,False,False,False
946788964,-18,2634,2152,907,0,34,27.5625,482,1727,2,2,False,False,False,False,False
946790768,-18,2629,2138,931,0,34,28.06361111111111,491,1698,2,2,False,False,False,False,False
946792573,-18,2619,2132,898,0,34,28.565,487,1721,2,2,False,False,False,False,False
946794378,-18,2601,2113,897,0,34,29.066388888888888,488,1704,2,2,False,False,False,False,False
946796182,-18,2599,2102,898,0,34,29.5675,497,1701,2,2,False,False,False,False,False
946797987,-18,2579,2082,910,0,18,30.06888888888889,497,1669,2,1,False,False,False,False,False
946799792,-18,2562,2064,883,0,17,30.57027777777778,498,1679,1,1,False,False,False,False,False
946801596,-18,2541,2038,896,0,17,31.07138888888889,503,1645,1,1,False,False,False,False,False
946803401,-18,2525,2013,868,0,17,31.572777777777777,512,1657,1,1,False,False,False,False,False
946805206,-18,2494,1969,897,0,17,32.07416666666666,525,1597,1,1,False,False,False,False,False
946807010,-18,2466,1928,850,0,17,32.57527777777778,538,1616,1,1,False,False,False,False,False
946808815,-18,2408,1826,837,0,17,33.07666666666667,582,1571,1,1,False,False,False,False,False
946810620,-18,2333,1698,820,0,17,33.57805555555556,635,1513,1,1,False,False,False,False,False
946812425,-18,2220,1511,811,0,17,34.07944444444445,709,1409,1,1,False,False,False,False,False
946814229,-18,2140,1430,802,0,17,34.580555555555556,710,1338,1,1,False,False,False,False,False
946816034,-18,2051,1332,795,0,17,35.081944444444446,719,1256,1,1,False,False,False,False,False
946817839,-18,2050,1319,791,0,17,35.583333333333336,731,1259,1,1,False,False,False,False,False
946819644,-18,2040,1306,794,0,17,36.084722222222226,734,1246,1,1,False,False,False,False,False
946821448,-18,2000,1249,790,0,17,36.58583333333333,751,1210,1,1,False,False,False,False,False
946823253,-18,2012,1267,802,2,17,37.08722222222222,745,1210,1,1,False,True,False,False,False
946825058,-18,1966,1202,792,0,17,37.58861111111111,764,1174,1,1,False,False,False,False,False
946826863,-18,1981,1227,794,2,17,38.09,754,1187,1,1,False,True,False,False,False
946828667,-18,1970,1212,786,0,17,38.59111111111111,758,1184,1,1,False,False,False,False,False
946830472,-18,1989,1238,797,2,17,39.0925,751,1192,1,1,False,True,False,False,False
946832277,-18,1911,1125,788,0,17,39.59388888888889,786,1123,1,1,False,False,False,False,False
946834082,-18,1926,1114,778,2,17,40.09527777777778,812,1148,1,1,False,True,False,False,False
