timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946693115,-20,3171,2545,1841,2,51,0.0,626,1330,3,3,False,True,False,False,False
946694918,-20,2921,2391,2012,2,51,0.5008333333333334,530,909,3,3,False,True,False,False,False
946696719,-20,2852,2329,1802,0,51,1.001111111111111,523,1050,3,3,False,False,False,False,False
946698522,-20,2836,2306,1626,2,51,1.5019444444444445,530,1210,3,3,False,True,False,False,False
946700324,-20,2827,2296,1877,2,51,2.0025,531,950,3,3,False,True,False,False,False
946702125,-20,2827,2288,1707,0,51,2.5027777777777778,539,1120,3,3,False,False,False,False,False
946703928,-20,2814,2277,1577,2,51,3.0036111111111112,537,1237,3,3,False,True,False,False,False
946705730,-20,2825,2283,1854,2,51,3.504166666666667,542,971,3,3,False,True,False,False,False
946707532,-20,2814,2261,1612,0,51,4.004722222222222,553,1202,3,3,False,False,False,False,False
946709334,-20,2805,2138,1341,2,51,4.505277777777778,667,1464,3,3,False,True,False,False,False
946711137,-20,2810,2122,1246,2,51,5.006111111111111,688,1564,3,3,False,True,False,False,False
946712942,-20,2804,2115,1405,0,51,5.5075,689,1399,3,3,False,False,False,False,False
946714745,-20,2810,2115,1316,2,51,6.008333333333334,695,1494,3,3,False,True,False,False,False
946716548,-20,2808,2090,1239,2,51,6.509166666666666,718,1569,3,3,False,True,False,False,False
946718352,-20,2800,2079,1400,0,51,7.010277777777778,721,1400,3,3,False,False,False,False,False
946720156,-20,2803,2087,1292,2,51,7.511388888888889,716,1511,3,3,False,True,False,False,False
946721959,-20,2793,2071,1242,2,51,8.012222222222222,722,1551,3,3,False,True,False,False,False
946723763,-20,2796,2066,1317,0,51,8.513333333333334,730,1479,3,3,False,False,False,False,False
946725567,-20,2797,2072,1318,2,51,9.014444444444445,725,1479,3,3,False,True,False,False,False
946727369,-20,2793,2051,1275,2,51,9.515,742,1518,3,3,False,True,False,False,False
946729174,-20,2794,2053,1303,0,51,10.016388888888889,741,1491,3,3,False,False,False,False,False
946730978,-20,2785,2053,1251,2,51,10.5175,732,1534,3,3,False,True,False,False,False
946732780,-20,2792,2037,1213,2,51,11.018055555555556,755,1579,3,3,False,True,False,False,False
946734585,-20,2789,2036,1290,0,51,11.519444444444444,753,1499,3,3,False,False,False,False,False
946736389,-20,2783,2044,1253,2,51,12.020555555555555,739,1530,3,3,False,True,False,False,False
946738191,-20,2785,2026,1232,2,51,12.52111111111111,759,1553,3,3,False,True,False,False,False
946739996,-20,2788,2029,1248,0,51,13.0225,759,1540,3,3,False,False,False,False,False
946741799,-20,2788,2035,1172,2,51,13.523333333333333,753,1616,3,3,False,True,False,False,False
946743602,-20,2785,2010,1226,2,51,14.024166666666666,775,1559,3,3,False,True,False,False,False
946745407,-20,2783,2014,1210,0,51,14.525555555555556,769,1573,3,3,False,False,False,False,False
946747210,-20,2789,2024,1162,2,51,15.026388888888889,765,1627,3,3,False,True,False,False,False
946749013,-20,2783,2003,1205,2,51,15.527222222222223,780,1578,3,3,False,True,False,False,False
946750817,-20,2791,2006,1232,0,51,16.028333333333332,785,1559,3,3,False,False,False,False,False
946752621,-20,2789,2010,1055,0,51,16.529444444444444,779,1734,3,3,False,False,False,False,False
946754426,-20,2778,2009,1208,0,51,17.030833333333334,769,1570,3,3,False,False,False,False,False
946756230,-20,2779,1996,1157,2,51,17.531944444444445,783,1622,3,3,False,True,False,False,False
946758032,-20,2784,1980,1173,2,51,18.0325,804,1611,3,3,False,True,False,False,False
946759837,-20,2775,1969,1166,0,51,18.53388888888889,806,1609,3,3,False,False,False,False,False
946761641,-20,2779,1979,1073,2,51,19.035,800,1706,3,3,False,True,False,False,False
