timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV
946688272,20,3153,2748,2303,False,0.0,405,850
946691875,20,2961,2550,1899,False,1.0008333333333332,411,1062
946695479,20,2956,2535,1574,False,2.0019444444444443,421,1382
946699083,20,2947,2524,1645,False,3.0030555555555556,423,1302
946702686,20,2959,2517,1577,False,4.003888888888889,442,1382
946706290,20,2950,2520,1588,False,5.005,430,1362
946709894,20,2950,2510,1500,False,6.006111111111111,440,1450
946713498,20,2949,2508,1622,False,7.0072222222222225,441,1327
946717102,20,2949,2502,1627,False,8.008333333333333,447,1322
946720705,20,2938,2502,1679,False,9.009166666666667,436,1259
946724309,20,2938,2505,1614,False,10.010277777777778,433,1324
946727913,20,2941,2499,1673,False,11.011388888888888,442,1268
946731517,20,2943,2495,1505,False,12.0125,448,1438
946735121,20,2938,2494,1690,False,13.01361111111111,444,1248
946738724,20,2939,2493,1620,False,14.014444444444445,446,1319
946742328,20,2934,2489,1652,False,15.015555555555556,445,1282
946745932,20,2933,2487,1629,False,16.016666666666666,446,1304
946749536,20,2934,2493,1665,False,17.017777777777777,441,1269
946753139,20,2935,2486,1675,False,18.01861111111111,449,1260
946756743,20,2930,2489,1631,False,19.01972222222222,441,1299
946760347,20,2932,2487,1718,False,20.020833333333332,445,1214
946763950,20,2936,2487,1658,False,21.02166666666667,449,1278
946767554,20,2925,2490,1645,False,22.022777777777776,435,1280
946771158,20,2925,2483,1681,False,23.023888888888887,442,1244
946774762,20,2921,2481,1657,False,24.025,440,1264
946778365,20,2920,2483,1657,False,25.025833333333335,437,1263
946781969,20,2922,2475,1687,False,26.026944444444446,447,1235
946785573,20,2922,2479,1647,False,27.028055555555557,443,1275
946789176,20,2914,2462,1585,False,28.02888888888889,452,1329
946792780,20,2907,2465,1610,False,29.03,442,1297
946796384,20,2904,2457,1558,False,30.031111111111112,447,1346
946799988,20,2896,2452,1709,False,31.032222222222224,444,1187
946803592,20,2891,2447,1598,False,32.03333333333333,444,1293
946807196,20,2881,2427,1580,False,33.034444444444446,454,1301
946810799,20,2869,2422,1563,False,34.03527777777778,447,1306
946814403,20,2866,2409,1636,False,35.03638888888889,457,1230
946818007,20,2852,2391,1512,False,36.0375,461,1340
946821611,20,2845,2377,1596,False,37.03861111111111,468,1249
946825215,20,2833,2362,1471,False,38.039722222222224,471,1362
946828819,20,2817,2342,1506,False,39.04083333333333,475,1311
946832423,20,2798,2303,1394,False,40.04194444444445,495,1404
946836027,20,2784,2268,1464,False,41.043055555555554,516,1320
946839631,20,2762,2241,1388,False,42.04416666666667,521,1374
946843236,20,2740,2201,1348,False,43.04555555555555,539,1392
946846840,20,2718,2130,1234,False,44.04666666666667,588,1484
946850444,20,2696,2051,1164,False,45.047777777777775,645,1532
946854049,20,2668,1869,1033,False,46.049166666666665,799,1635
946857654,20,2675,1945,1053,False,47.050555555555555,730,1622
946861258,20,2673,1877,1036,False,48.05166666666667,796,1637
946864863,20,2673,1847,1027,False,49.05305555555555,826,1646
946868468,20,2680,1823,1019,False,50.05444444444444,857,1661
946872073,20,2690,1829,1005,False,51.05583333333333,861,1685
946875678,20,2697,1615,1003,False,52.05722222222222,1082,1694
946879283,20,2696,1607,1003,False,53.05861111111111,1089,1693
946882888,20,2701,1577,990,False,54.06,1124,1711
946886493,20,2707,1557,992,False,55.06138888888889,1150,1715
946890097,20,2706,1446,978,False,56.0625,1260,1728
