timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946685918,-17,3197,2762,1207,0,0.0,435,1990,False,False,False,False,False
946687723,-18,2864,2565,1164,0,0.5013888888888889,299,1700,False,False,False,False,False
946689528,-18,2809,2500,1125,0,1.0027777777777778,309,1684,False,False,False,False,False
946691332,-18,2802,2479,1127,0,1.5038888888888888,323,1675,False,False,False,False,False
946693137,-18,2792,2478,1111,0,2.0052777777777777,314,1681,False,False,False,False,False
946694942,-18,2794,2478,1117,0,2.506666666666667,316,1677,False,False,False,False,False
946696746,-18,2788,2474,1104,0,3.0077777777777777,314,1684,False,False,False,False,False
946698551,-18,2782,2465,1110,0,3.5091666666666668,317,1672,False,False,False,False,False
946700356,-18,2784,2461,1104,0,4.010555555555555,323,1680,False,False,False,False,False
946702161,-18,2788,2445,1101,0,4.5119444444444445,343,1687,False,False,False,False,False
946703965,-18,2781,2442,1092,0,5.013055555555556,339,1689,False,False,False,False,False
946705770,-18,2780,2436,1094,0,5.514444444444444,344,1686,False,False,False,False,False
946707575,-18,2774,2433,1091,0,6.015833333333333,341,1683,False,False,False,False,False
946709379,-18,2782,2425,1091,0,6.516944444444444,357,1691,False,False,False,False,False
946711184,-18,2781,2429,1090,0,7.0183333333333335,352,1691,False,False,False,False,False
946712989,-18,2774,2427,1082,0,7.519722222222223,347,1692,False,False,False,False,False
946714793,-18,2776,2423,1085,0,8.020833333333334,353,1691,False,False,False,False,False
946716598,-18,2766,2420,1088,0,8.522222222222222,346,1678,False,False,False,False,False
946718403,-18,2764,2422,1081,0,9.02361111111111,342,1683,False,False,False,False,False
946720207,-18,2768,2420,1085,0,9.524722222222222,348,1683,False,False,False,False,False
946722012,-18,2769,2418,1084,0,10.026111111111112,351,1685,False,False,False,False,False
946723817,-18,2767,2416,1086,0,10.5275,351,1681,False,False,False,False,False
946725622,-18,2767,2416,1086,0,11.028888888888888,351,1681,False,False,False,False,False
946727426,-18,2758,2416,1085,0,11.53,342,1673,False,False,False,False,False
946729231,-18,2768,2420,1081,0,12.03138888888889,348,1687,False,False,False,False,False
946731036,-18,2762,2417,1081,0,12.532777777777778,345,1681,False,False,False,False,False
946732840,-18,2769,2414,1081,0,13.033888888888889,355,1688,False,False,False,False,False
946734645,-18,2762,2418,1082,0,13.535277777777777,344,1680,False,False,False,False,False
946736450,-18,2761,2414,1081,0,14.036666666666667,347,1680,False,False,False,False,False
946738254,-18,2764,2414,1081,0,14.537777777777778,350,1683,False,False,False,False,False
946740059,-18,2763,2422,1077,0,15.039166666666667,341,1686,False,False,False,False,False
946741864,-18,2756,2409,1079,0,15.540555555555555,347,1677,False,False,False,False,False
946743669,-18,2764,2412,1079,0,16.041944444444443,352,1685,False,False,False,False,False
946745473,-18,2762,2409,1081,0,16.543055555555554,353,1681,False,False,False,False,False
946747278,-18,2756,2412,1077,0,17.044444444444444,344,1679,False,False,False,False,False
946749083,-18,2763,2411,1078,0,17.545833333333334,352,1685,False,False,False,False,False
946750887,-18,2759,2409,1074,0,18.046944444444446,350,1685,False,False,False,False,False
946752692,-18,2763,2409,1077,0,18.548333333333332,354,1686,False,False,False,False,False
946754497,-18,2749,2406,1073,0,19.049722222222222,343,1676,False,False,False,False,False
946756301,-18,2759,2405,1076,0,19.550833333333333,354,1683,False,False,False,False,False
946758106,-18,2760,2405,1073,0,20.052222222222223,355,1687,False,False,False,False,False
946759911,-18,2750,2405,1071,0,20.55361111111111,345,1679,False,False,False,False,False
946761716,-18,2751,2407,1070,0,21.055,344,1681,False,False,False,False,False
946763520,-18,2747,2397,1069,0,21.55611111111111,350,1678,False,False,False,False,False
946765325,-18,2744,2399,1068,0,22.0575,345,1676,False,False,False,False,False
946767130,-18,2747,2396,1068,0,22.558888888888887,351,1679,False,False,False,False,False
946768934,-18,2744,2396,1066,0,23.06,348,1678,False,False,False,False,False
946770739,-18,2748,2392,1066,0,23.56138888888889,356,1682,False,False,False,False,False
