Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946951193,0,3190,3117,0.0,73
946954794,0,2982,2912,1.0002777777777778,70
946958394,0,2961,2904,2.000277777777778,57
946961995,0,2951,2901,3.0005555555555556,50
946965596,0,2961,2899,4.0008333333333335,62
946969197,0,2961,2899,5.001111111111111,62
946972798,0,2965,2898,6.001388888888889,67
946976399,0,2952,2895,7.001666666666667,57
946980000,0,2956,2896,8.001944444444444,60
946983601,0,2947,2896,9.002222222222223,51
946987201,0,2942,2895,10.002222222222223,47
946990802,0,2952,2891,11.0025,61
946994403,0,2951,2892,12.002777777777778,59
946998004,0,2942,2891,13.003055555555555,51
947001605,0,2950,2889,14.003333333333334,61
947005206,0,2956,2884,15.00361111111111,72
947008807,0,2941,2889,16.003888888888888,52
947012408,0,2947,2885,17.004166666666666,62
947016008,0,2942,2885,18.004166666666666,57
947019609,0,2943,2885,19.004444444444445,58
947023210,0,2942,2882,20.004722222222224,60
947026811,0,2937,2886,21.005,51
947030412,0,2939,2883,22.005277777777778,56
947034013,0,2940,2882,23.005555555555556,58
947037614,0,2936,2882,24.00583333333333,54
947041215,0,2928,2877,25.00611111111111,51
947044815,0,2929,2878,26.00611111111111,51
947048416,0,2939,2880,27.00638888888889,59
947052017,0,2928,2869,28.006666666666668,59
947055618,0,2925,2871,29.006944444444443,54
947059219,0,2926,2864,30.00722222222222,62
947062820,0,2928,2868,31.0075,60
947066421,0,2919,2863,32.007777777777775,56
947070022,0,2914,2861,33.00805555555556,53
947073622,0,2915,2852,34.00805555555556,63
947077223,0,2913,2851,35.00833333333333,62
947080824,0,2900,2839,36.00861111111111,61
947084425,0,2895,2835,37.00888888888889,60
947088026,0,2888,2835,38.009166666666665,53
947091627,0,2880,2822,39.00944444444445,58
947095228,0,2883,2818,40.00972222222222,65
947098829,0,2870,2805,41.01,65
947102429,0,2858,2800,42.01,58
947106030,0,2851,2790,43.01027777777778,61
947109631,0,2848,2781,44.010555555555555,67
947113232,0,2828,2765,45.01083333333333,63
947116833,0,2818,2753,46.01111111111111,65
947120434,0,2807,2732,47.01138888888889,75
947124035,0,2788,2722,48.01166666666666,66
947127636,0,2776,2708,49.011944444444445,68
947131236,0,2768,2689,50.011944444444445,79
947134837,0,2754,2674,51.01222222222222,80
947138438,0,2733,2650,52.0125,83
947142039,0,2722,2632,53.01277777777778,90
947145640,0,2695,2603,54.01305555555555,92
947149241,0,2665,2577,55.013333333333335,88
947152842,0,2648,2532,56.01361111111111,116
947156443,0,2605,2476,57.013888888888886,129
947160043,0,2554,2327,58.013888888888886,227
947163644,0,2559,2324,59.01416666666667,235
947167245,0,2560,2311,60.01444444444444,249
947170846,0,2579,2233,61.014722222222225,346
947174447,0,2586,2245,62.015,341
947178048,0,2600,2253,63.015277777777776,347
947181649,0,2604,2250,64.01555555555555,354
947185249,0,2621,2246,65.01555555555555,375
947188850,0,2622,2247,66.01583333333333,375
947192451,0,2622,2254,67.01611111111112,368
947196052,0,2628,2239,68.01638888888888,389
947199653,0,2630,2225,69.01666666666667,405
