Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946686927,24,3210,3078,0.0,132
946690528,24,2988,2863,1.0002777777777778,125
946694129,24,2975,2851,2.0005555555555556,124
946697730,24,2978,2849,3.0008333333333335,129
946701330,24,2966,2851,4.0008333333333335,115
946704931,24,2967,2847,5.001111111111111,120
946708532,24,2968,2847,6.001388888888889,121
946712133,24,2971,2848,7.001666666666667,123
946715734,24,2968,2843,8.001944444444444,125
946719335,24,2970,2843,9.002222222222223,127
946722935,24,2959,2835,10.002222222222223,124
946726536,24,2973,2843,11.0025,130
946730137,24,2957,2842,12.002777777777778,115
946733738,24,2962,2837,13.003055555555555,125
946737339,23,2961,2839,14.003333333333334,122
946740939,23,2957,2833,15.003333333333334,124
946744540,23,2961,2837,16.003611111111113,124
946748141,23,2961,2835,17.003888888888888,126
946751742,23,2956,2834,18.004166666666666,122
946755343,23,2957,2831,19.004444444444445,126
946758943,24,2953,2831,20.004444444444445,122
946762544,24,2955,2833,21.004722222222224,122
946766145,23,2948,2828,22.005,120
946769746,23,2956,2828,23.005277777777778,128
946773347,23,2955,2824,24.005555555555556,131
946776947,23,2944,2818,25.005555555555556,126
946780548,23,2942,2822,26.00583333333333,120
946784149,24,2947,2820,27.00611111111111,127
946787750,23,2938,2823,28.00638888888889,115
946791351,23,2941,2821,29.006666666666668,120
946794952,23,2943,2816,30.006944444444443,127
946798552,23,2939,2814,31.006944444444443,125
946802153,23,2941,2807,32.007222222222225,134
946805754,23,2933,2800,33.0075,133
946809355,23,2927,2802,34.007777777777775,125
946812956,23,2934,2795,35.00805555555556,139
946816556,23,2912,2796,36.00805555555556,116
946820157,23,2925,2792,37.00833333333333,133
946823758,23,2922,2783,38.00861111111111,139
946827359,23,2914,2775,39.00888888888889,139
946830960,23,2909,2766,40.009166666666665,143
946834560,23,2892,2763,41.009166666666665,129
946838161,23,2888,2756,42.00944444444445,132
946841762,23,2880,2745,43.00972222222222,135
946845363,23,2863,2736,44.01,127
946848964,23,2870,2727,45.01027777777778,143
946852564,23,2856,2719,46.01027777777778,137
946856165,23,2847,2697,47.010555555555555,150
946859766,23,2831,2691,48.01083333333333,140
946863367,24,2824,2674,49.01111111111111,150
946866968,24,2808,2654,50.01138888888889,154
946870568,23,2799,2637,51.01138888888889,162
946874169,23,2783,2620,52.01166666666666,163
946877770,23,2771,2594,53.011944444444445,177
946881371,23,2752,2581,54.01222222222222,171
946884972,23,2744,2560,55.0125,184
946888573,23,2717,2536,56.01277777777778,181
946892173,23,2704,2506,57.01277777777778,198
946895774,23,2681,2467,58.01305555555555,214
946899375,23,2645,2404,59.013333333333335,241
946902976,23,2614,2328,60.01361111111111,286
946906577,23,2567,2170,61.013888888888886,397
946910177,23,2550,2094,62.013888888888886,456
946913778,23,2565,2051,63.01416666666667,514
946917379,23,2560,1928,64.01444444444445,632
946920980,23,2575,1924,65.01472222222222,651
946924581,23,2571,1858,66.015,713
946928181,23,2588,1835,67.015,753
946931782,23,2596,1807,68.01527777777778,789
946935383,24,2603,1287,69.01555555555555,1316
946938984,24,2609,1286,70.01583333333333,1323
946942585,24,2619,1235,71.01611111111112,1384
946946185,25,2622,1240,72.01611111111112,1382
946949786,24,2626,1052,73.01638888888888,1574
946953387,24,2636,816,74.01666666666667,1820
946956988,24,2636,764,75.01694444444445,1872
946960589,24,2639,761,76.01722222222222,1878
946964189,24,2640,758,77.01722222222222,1882
946967790,24,2651,758,78.0175,1893
946971391,24,2646,824,79.01777777777778,1822
946974992,24,2650,793,80.01805555555555,1857
946978593,24,2654,676,81.01833333333333,1978
