"Time","Voltage","Temperature"
2025-06-24 08:34:16,2.98 V,19 °C
2025-06-24 12:34:17,2.98 V,25 °C
2025-06-25 02:04:12,2.98 V,17 °C
2025-06-26 19:14:22,2.99 V,22 °C
2025-06-26 23:14:23,2.98 V,18 °C
2025-06-27 03:14:24,2.98 V,16 °C
2025-06-27 07:14:25,2.98 V,34 °C
2025-06-27 11:14:26,2.99 V,31 °C
2025-06-27 15:14:27,3.00 V,28 °C
2025-06-27 19:14:28,2.99 V,23 °C
2025-06-27 23:17:47,2.99 V,19 °C
2025-06-28 03:17:48,2.99 V,17 °C
2025-06-28 07:17:49,2.98 V,35 °C
2025-06-28 11:39:01,2.99 V,31 °C
2025-06-28 16:07:29,3.00 V,31 °C
2025-06-28 20:07:30,3.00 V,24 °C
2025-06-29 00:26:00,2.98 V,19 °C
2025-06-29 04:26:01,2.99 V,17 °C
2025-06-29 08:26:03,2.99 V,47 °C
2025-06-29 12:26:04,2.99 V,29 °C
2025-06-29 16:26:05,2.99 V,28 °C
2025-06-29 21:13:13,2.99 V,21 °C
2025-06-30 01:16:19,2.99 V,19 °C
2025-06-30 09:16:21,3.00 V,52 °C
2025-06-30 13:33:54,2.99 V,29 °C
2025-06-30 17:33:55,3.00 V,27 °C
2025-06-30 22:02:16,2.97 V,19 °C
2025-07-01 02:02:17,2.98 V,18 °C
2025-07-01 06:02:18,2.98 V,18 °C
2025-07-01 10:18:38,2.99 V,33 °C
2025-07-01 15:23:57,2.98 V,29 °C
2025-07-01 19:53:53,2.98 V,22 °C
2025-07-02 00:05:41,2.97 V,18 °C
2025-07-02 04:05:42,2.98 V,18 °C
2025-07-02 08:05:43,2.97 V,19 °C
2025-07-02 12:05:44,2.98 V,29 °C
2025-07-02 16:05:45,2.98 V,25 °C
2025-07-02 20:33:25,2.98 V,20 °C
2025-07-03 00:47:19,2.97 V,17 °C
2025-07-03 04:47:21,2.97 V,15 °C
2025-07-03 08:47:22,2.98 V,41 °C
2025-07-03 13:34:43,2.98 V,26 °C
2025-07-03 18:11:35,2.97 V,23 °C
2025-07-04 14:11:40,2.98 V,26 °C
2025-07-05 01:48:52,2.97 V,15 °C
2025-07-05 05:48:53,2.97 V,14 °C
2025-07-05 09:48:54,2.98 V,42 °C
2025-07-05 18:34:04,2.97 V,22 °C
2025-07-05 22:34:05,2.98 V,17 °C
2025-07-06 02:34:06,2.97 V,17 °C
2025-07-06 06:34:07,2.97 V,17 °C
2025-07-06 10:34:08,2.97 V,31 °C
2025-07-06 14:34:09,2.98 V,27 °C
2025-07-06 19:06:12,2.98 V,23 °C
2025-07-06 23:27:00,2.97 V,18 °C
2025-07-07 03:27:01,2.97 V,18 °C
2025-07-07 07:27:02,2.96 V,18 °C
2025-07-07 11:27:03,2.97 V,28 °C
2025-07-07 16:06:33,2.96 V,26 °C
2025-07-08 00:06:35,2.97 V,18 °C
2025-07-08 04:06:36,2.96 V,16 °C
2025-07-08 08:06:37,2.97 V,47 °C
2025-07-08 12:06:38,2.97 V,28 °C
2025-07-08 16:37:27,2.97 V,26 °C
2025-07-08 21:59:47,2.96 V,19 °C
2025-07-09 01:59:49,2.97 V,18 °C
2025-07-09 05:59:50,2.96 V,18 °C
2025-07-09 10:12:38,2.97 V,27 °C
2025-07-09 14:33:50,2.97 V,26 °C
2025-07-10 21:53:21,2.96 V,22 °C
2025-07-11 02:01:54,2.96 V,18 °C
2025-07-11 06:01:55,2.96 V,18 °C
2025-07-11 10:01:56,2.97 V,40 °C
2025-07-11 14:01:57,2.96 V,30 °C
2025-07-11 18:43:50,2.96 V,27 °C
2025-07-11 22:43:51,2.95 V,21 °C
2025-07-12 02:43:52,2.95 V,19 °C
2025-07-12 06:43:53,2.95 V,19 °C
2025-07-12 10:10:42,2.93 V,34 °C
2025-07-12 10:11:02,2.93 V,34 °C
2025-07-12 14:14:43,2.96 V,29 °C
2025-07-12 18:42:56,2.96 V,24 °C
2025-07-13 16:01:46,2.95 V,27 °C
2025-07-13 20:21:57,2.94 V,22 °C
2025-07-14 00:21:58,2.95 V,18 °C
2025-07-14 04:21:59,2.94 V,18 °C
2025-07-14 08:22:00,2.95 V,21 °C
2025-07-14 12:35:51,2.95 V,30 °C
2025-07-14 16:56:30,2.95 V,27 °C
2025-07-14 21:41:48,2.94 V,20 °C
2025-07-15 05:41:50,2.94 V,19 °C
2025-07-16 15:53:17,2.94 V,25 °C
2025-07-16 20:06:13,2.91 V,21 °C
2025-07-16 23:45:09,2.94 V,18 °C
2025-07-17 03:45:10,2.93 V,18 °C
2025-07-17 11:45:12,2.94 V,28 °C
2025-07-17 15:59:15,2.94 V,26 °C
2025-07-17 20:45:03,2.94 V,20 °C
2025-07-18 01:23:40,2.93 V,18 °C
2025-07-18 05:23:41,2.93 V,18 °C
2025-07-18 09:23:42,2.93 V,26 °C
2025-07-18 14:20:54,2.93 V,26 °C
2025-07-18 19:08:43,2.92 V,22 °C
2025-07-18 23:08:44,2.92 V,18 °C
2025-07-19 03:08:45,2.92 V,17 °C
2025-07-19 07:08:46,2.92 V,18 °C
2025-07-19 11:08:47,2.92 V,26 °C
2025-07-19 13:20:47,2.89 V,25 °C
2025-07-20 01:26:24,2.92 V,18 °C
2025-07-20 05:26:25,2.91 V,18 °C
2025-07-20 09:26:26,2.92 V,27 °C
2025-07-20 13:26:27,2.92 V,26 °C
2025-07-20 17:50:41,2.92 V,23 °C
2025-07-20 21:25:30,2.89 V,20 °C
2025-07-21 00:55:34,2.92 V,18 °C
2025-07-21 04:55:35,2.91 V,16 °C
2025-07-21 08:55:36,2.92 V,41 °C
2025-07-21 10:56:03,2.90 V,31 °C
2025-07-21 14:37:03,2.91 V,27 °C
2025-07-21 18:46:17,2.90 V,23 °C
2025-07-21 18:46:39,2.90 V,23 °C
2025-07-21 18:47:36,2.89 V,23 °C
2025-07-21 23:12:15,2.91 V,18 °C
2025-07-22 02:42:17,2.91 V,16 °C
2025-07-22 06:12:19,2.91 V,17 °C
2025-07-22 09:42:21,2.91 V,26 °C
2025-07-22 13:12:22,2.92 V,28 °C
2025-07-22 17:15:34,2.91 V,25 °C
2025-07-22 21:08:33,2.91 V,19 °C
2025-07-22 21:10:22,2.88 V,19 °C
2025-07-23 00:40:27,2.91 V,17 °C
2025-07-23 04:10:28,2.91 V,17 °C
2025-07-23 07:40:30,2.91 V,19 °C
2025-07-23 11:10:32,2.91 V,26 °C
2025-07-23 15:08:28,2.91 V,25 °C
2025-07-24 14:15:02,2.88 V,25 °C
2025-07-24 18:28:27,2.91 V,23 °C
2025-07-25 16:23:00,2.90 V,24 °C
2025-07-26 09:53:08,2.92 V,42 °C
2025-07-26 16:55:16,2.91 V,24 °C
2025-07-29 13:37:29,2.91 V,27 °C
2025-07-29 21:07:05,2.91 V,20 °C
2025-07-30 00:37:06,2.91 V,18 °C
2025-07-30 04:07:08,2.90 V,18 °C
2025-07-30 07:37:10,2.90 V,19 °C
2025-07-30 11:07:12,2.90 V,31 °C
2025-07-30 14:37:13,2.91 V,26 °C
2025-07-30 20:51:04,2.90 V,20 °C
2025-07-31 00:51:05,2.89 V,18 °C
2025-07-31 04:51:06,2.90 V,19 °C
2025-07-31 08:51:07,2.90 V,48 °C
2025-07-31 12:51:08,2.90 V,30 °C
2025-07-31 16:51:09,2.90 V,28 °C
