signal,column,SoC_point_%,detectability,SoC_uncertainty_%,threshold_direction,theta_mV,TPR,FPR,N_files,avg_days_early,worst_days_early,avg_days_late,worst_days_late,frac_late,N_files_with_time
bolt,boltDroopMag_mV,2,0.628,1.59,>=,611,0.929,0.0,14,0.08,0.21,0.03,0.04,0.357,14
sound,soundDroopMag_mV,2,0.623,1.6,>=,213,0.929,0.643,14,0.65,2.99,0.0,0.0,0.0,14
relaxed,batt_mV,2,0.15,6.65,<=,2647,0.929,0.286,14,0.25,0.48,0.06,0.06,0.071,14
bolt,boltDroopMag_mV,3,0.63,1.59,>=,470,0.929,0.0,14,0.1,0.22,0.02,0.04,0.286,14
sound,soundDroopMag_mV,3,0.599,1.67,>=,223,0.929,0.429,14,0.68,2.96,0.02,0.04,0.143,14
relaxed,batt_mV,3,0.149,6.71,<=,2673,0.929,0.429,14,0.27,0.51,0.04,0.04,0.071,14
sound,soundDroopMag_mV,8,0.461,2.17,>=,175,0.929,0.714,14,0.96,2.8,0.04,0.05,0.143,14
bolt,boltDroopMag_mV,8,0.322,3.1,>=,312,0.929,0.071,14,0.33,2.8,0.02,0.03,0.143,14
relaxed,batt_mV,8,0.284,3.52,<=,2736,0.929,0.429,14,0.29,0.57,0.04,0.04,0.071,14
bolt,boltDroopMag_mV,13,0.325,3.08,>=,248,0.929,0.143,14,0.74,2.65,0.01,0.01,0.071,14
relaxed,batt_mV,13,0.199,5.02,<=,2784,0.929,0.429,14,0.3,0.62,0.03,0.03,0.071,14
sound,soundDroopMag_mV,13,0.195,5.12,>=,157,0.929,0.714,14,1.04,2.67,0.02,0.03,0.143,14
bolt,boltDroopMag_mV,18,0.201,4.98,>=,214,0.929,0.357,14,0.85,2.52,0.0,0.0,0.0,14
relaxed,batt_mV,18,0.189,5.28,<=,2818,0.929,0.357,14,0.3,0.68,0.02,0.02,0.071,14
sound,soundDroopMag_mV,18,0.141,7.08,>=,143,0.929,0.714,14,1.1,2.52,0.02,0.02,0.071,14
