timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687809,50,3211,3113,3083,0,51,0.0,98,128,3,3,False,False,False,False,False
946689612,57,3057,2998,2981,0,51,0.5008333333333334,59,76,3,3,False,False,False,False,False
946691415,58,3014,2956,2940,0,51,1.0016666666666667,58,74,3,3,False,False,False,False,False
946693219,58,3008,2951,2931,0,51,1.5027777777777778,57,77,3,3,False,False,False,False,False
946695022,58,3004,2938,2921,0,51,2.0036111111111112,66,83,3,3,False,False,False,False,False
946696825,59,3000,2937,2922,0,51,2.5044444444444443,63,78,3,3,False,False,False,False,False
946698628,58,3002,2937,2913,0,51,3.0052777777777777,65,89,3,3,False,False,False,False,False
946700432,59,2994,2935,2915,0,51,3.506388888888889,59,79,3,3,False,False,False,False,False
946702235,58,2993,2928,2910,0,51,4.0072222222222225,65,83,3,3,False,False,False,False,False
946704038,59,2990,2923,2909,0,51,4.508055555555556,67,81,3,3,False,False,False,False,False
946705841,58,2993,2928,2909,0,51,5.0088888888888885,65,84,3,3,False,False,False,False,False
946707645,59,2991,2925,2902,0,51,5.51,66,89,3,3,False,False,False,False,False
946709448,58,2990,2926,2910,0,51,6.010833333333333,64,80,3,3,False,False,False,False,False
946711251,59,2988,2923,2900,0,51,6.511666666666667,65,88,3,3,False,False,False,False,False
946713054,58,2999,2933,2909,0,51,7.0125,66,90,3,3,False,False,False,False,False
946714858,59,2991,2926,2904,0,51,7.5136111111111115,65,87,3,3,False,False,False,False,False
946716661,58,2997,2929,2911,0,51,8.014444444444445,68,86,3,3,False,False,False,False,False
946718464,59,2996,2925,2908,0,51,8.515277777777778,71,88,3,3,False,False,False,False,False
946720267,58,2994,2929,2911,0,51,9.016111111111112,65,83,3,3,False,False,False,False,False
946722071,59,2992,2925,2905,0,51,9.517222222222221,67,87,3,3,False,False,False,False,False
946723874,58,2996,2927,2915,0,51,10.018055555555556,69,81,3,3,False,False,False,False,False
946725677,59,2991,2929,2912,0,51,10.518888888888888,62,79,3,3,False,False,False,False,False
946727480,58,3000,2929,2920,0,51,11.019722222222223,71,80,3,3,False,False,False,False,False
946729284,59,2991,2920,2906,0,51,11.520833333333334,71,85,3,3,False,False,False,False,False
946731087,58,2997,2937,2919,0,51,12.021666666666667,60,78,3,3,False,False,False,False,False
946732890,59,2994,2925,2911,0,51,12.5225,69,83,3,3,False,False,False,False,False
946734693,58,2990,2936,2914,0,51,13.023333333333333,54,76,3,3,False,False,False,False,False
